sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
1026,E,2,6.0,baseline,1,1,0,0,2,2,0,37.45312400860712,37.45312400860712,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[29, 111, 8, 45, 86, 34, 37, 50, 124, 77]",[],0,0,0,0,0,0,0,0
1026,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.6005600045900792,0.022499996703118086,0.0,0,18,1,1,0.9975817203521729,9.658851195126772e-05,ai,ai_success,standard,[1],"[0, 1, 2]","[111, 8, 86, 124, 63, 60, 45, 74, 77, 103]","[0.0005840699886903167, 0.997921884059906, 0.0013526735128834844, 2.7265381504548714e-05, 1.7526044757687487e-05, 9.658851195126772e-05]",1200,4,0,0,0,1,0,0
1027,E,2,6.0,baseline,0,1,0,0,0,0,0,0.015739991795271635,0.015739991795271635,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1027,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011530006304383278,0.011530006304383278,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1028,E,2,6.0,baseline,1,1,0,0,1,1,0,38.09814099804498,38.09814099804498,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[74, 105, 66, 73, 68, 98, 99, 84, 81, 79]",[],0,0,0,0,0,0,0,0
1028,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.679128996329382,0.022669992176815867,0.0,0,18,1,1,0.9963022470474243,0.00011816535698017105,ai,ai_success,standard,[1],"[0, 1, 2]","[74, 105, 5, 73, 66, 98, 99, 81, 124, 68]","[0.0004494861059356481, 0.9983447790145874, 0.0010510756401345134, 2.059403050225228e-05, 1.5845005691517144e-05, 0.00011816535698017105]",1200,4,0,0,0,1,0,0
1029,E,2,6.0,baseline,0,1,0,0,0,0,0,0.014990015188232064,0.014990015188232064,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1029,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011550000635907054,0.011550000635907054,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1030,E,2,6.0,baseline,0,1,0,0,0,0,0,0.011199997970834374,0.011199997970834374,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1030,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.01069900463335216,0.01069900463335216,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1031,E,2,6.0,baseline,3,1,0,0,56,56,0,38.617426995188,38.617426995188,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[34, 120, 25, 18, 26, 116, 42, 89, 20, 43]",[],0,0,0,0,0,0,0,0
1031,E,2,6.0,nsgrand,3,1,0,0,1,1,0,3.9968040073290467,0.024450011551380157,0.0,0,18,1,3,0.9910762310028076,0.00022902216005604714,ai,ai_success,standard,[3],"[0, 1, 2]","[34, 20, 120, 116, 89, 26, 118, 104, 15, 25]","[5.404616240411997e-05, 3.4226817660965025e-05, 0.11226481944322586, 0.864378809928894, 0.02303909882903099, 0.00022902216005604714]",1200,4,0,0,0,1,0,0
1032,E,2,6.0,baseline,0,1,0,0,0,0,0,0.016779988072812557,0.016779988072812557,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1032,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.01179997343569994,0.01179997343569994,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1033,E,2,6.0,baseline,5,0,1,5,2499,2499,0,65.2750929875765,65.2750929875765,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[59, 62, 57, 56, 58, 52, 120, 1, 55, 61]",[],0,0,0,0,0,0,0,0
1033,E,2,6.0,nsgrand,5,0,1,5,5199,1200,3999,247.26427998393774,12.663286994211376,223.84916301234625,1,18,1,4,0.9488426446914673,0.16817519068717957,fallback_fail,postsearch_exhausted,standard,[4],"[0, 1, 2]","[56, 1, 62, 59, 54, 52, 120, 57, 40, 22]","[0.0005692949052900076, 1.5140475625230465e-05, 0.00019050005357712507, 0.06176290661096573, 0.7692870497703552, 0.16817519068717957]",1200,4,4000,24,5,0,0,0
1034,E,2,6.0,baseline,0,1,0,0,0,0,0,0.019759987480938435,0.019759987480938435,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1034,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.012169999536126852,0.012169999536126852,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1035,E,2,6.0,baseline,1,1,0,0,2,2,0,40.34549600328319,40.34549600328319,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[125, 8, 127, 102, 115, 16, 21, 29, 90, 118]",[],0,0,0,0,0,0,0,0
1035,E,2,6.0,nsgrand,1,1,0,0,1,1,0,2.2771749936509877,0.024959997972473502,0.0,0,18,1,1,0.9964509010314941,9.459942521061748e-05,ai,ai_success,standard,[1],"[0, 1, 2]","[8, 125, 127, 102, 16, 115, 111, 90, 121, 118]","[0.0004891579155810177, 0.9986224174499512, 0.0007676150999031961, 1.5602008716086857e-05, 1.0563956493570004e-05, 9.459942521061748e-05]",1200,4,0,0,0,1,0,0
1036,E,2,6.0,baseline,1,1,0,0,2,2,0,38.79807598423213,38.79807598423213,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[37, 0, 36, 39, 21, 72, 125, 15, 20, 31]",[],0,0,0,0,0,0,0,0
1036,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.6258890100289136,0.023119006073102355,0.0,0,18,1,1,0.9949080348014832,0.00012252505985088646,ai,ai_success,standard,[1],"[0, 1, 2]","[0, 45, 49, 36, 72, 125, 126, 24, 31, 15]","[0.0003717406652867794, 0.9985729455947876, 0.0009009162313304842, 2.0139576008659787e-05, 1.181810239359038e-05, 0.00012252505985088646]",1200,4,0,0,0,1,0,0
1037,E,2,6.0,baseline,1,1,0,0,1,1,0,38.24741899734363,38.24741899734363,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[62, 55, 57, 59, 85, 45, 58, 0, 121, 125]",[],0,0,0,0,0,0,0,0
