sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
704,E,2,6.0,nsgrand,3,1,0,0,1,1,0,3.8152600172907114,0.022490043193101883,0.0,0,18,1,3,0.9262999892234802,0.0015472278464585543,ai,ai_success,standard,ai_search,[3],"[0, 1, 2]","[47, 4, 44, 16, 29, 107, 10, 12, 104, 2]","[4.32226006523706e-05, 2.2034739231457934e-05, 0.0906185582280159, 0.8686233758926392, 0.039145614951848984, 0.0015472278464585543]",1200,4,0,0,0,1,0,0
704,E,2,6.0,strong_symbolic,3,1,0,0,111,111,0,157.69785293377936,157.69785293377936,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[4, 47, 16, 8, 55, 34, 2, 13, 29, 31]",[],0,0,0,0,0,0,0,0
705,E,2,6.0,baseline,1,1,0,0,1,1,0,32.656903145834804,32.656903145834804,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[26, 5, 17, 62, 45, 53, 63, 38, 50, 107]",[],0,0,0,0,0,0,0,0
705,E,2,6.0,nsgrand,1,1,0,0,1,1,0,2.21580290235579,0.01985998824238777,0.0,0,18,1,1,0.9953672885894775,0.00011896514479303733,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[26, 107, 35, 69, 120, 127, 38, 45, 50, 17]","[0.00045813783071935177, 0.988149106502533, 0.011061985045671463, 0.00013316744298208505, 7.869762339396402e-05, 0.00011896514479303733]",1200,4,0,0,0,1,0,0
705,E,2,6.0,strong_symbolic,1,1,0,0,1,1,0,160.11735401116312,160.11735401116312,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[26, 5, 17, 62, 45, 53, 63, 38, 50, 107]",[],0,0,0,0,0,0,0,0
706,E,2,6.0,baseline,0,1,0,0,0,0,0,0.019630184397101402,0.019630184397101402,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
706,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010260147973895073,0.010260147973895073,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
706,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008780043572187424,0.008780043572187424,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
707,E,2,6.0,baseline,0,1,0,0,0,0,0,0.009119976311922073,0.009119976311922073,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
707,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008809845894575119,0.008809845894575119,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
707,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008570030331611633,0.008570030331611633,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
708,E,2,6.0,baseline,0,1,0,0,0,0,0,0.0086191575974226,0.0086191575974226,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
708,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008539995178580284,0.008539995178580284,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
708,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008440110832452774,0.008440110832452774,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
709,E,2,6.0,baseline,0,1,0,0,0,0,0,0.008970033377408981,0.008970033377408981,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
709,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.00858004204928875,0.00858004204928875,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
709,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.00858004204928875,0.00858004204928875,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
710,E,2,6.0,baseline,0,1,0,0,0,0,0,0.00872020609676838,0.00872020609676838,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
710,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008560018613934517,0.008560018613934517,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
710,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008659902960062027,0.008659902960062027,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
711,E,2,6.0,baseline,0,1,0,0,0,0,0,0.008499016985297203,0.008499016985297203,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
711,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008459901437163353,0.008459901437163353,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
711,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008479924872517586,0.008479924872517586,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
712,E,2,6.0,baseline,0,1,0,0,0,0,0,0.008539995178580284,0.008539995178580284,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
712,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008360017091035843,0.008360017091035843,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
712,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008360017091035843,0.008360017091035843,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
713,E,2,6.0,baseline,2,1,0,0,8,8,0,32.70084387622774,32.70084387622774,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[29, 20, 47, 39, 36, 7, 19, 11, 61, 22]",[],0,0,0,0,0,0,0,0
713,E,2,6.0,nsgrand,2,1,0,0,1,1,0,2.4681100621819496,0.019049039110541344,0.0,0,18,1,2,0.8895370364189148,0.0005390946753323078,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[47, 20, 115, 29, 61, 39, 43, 17, 16, 124]","[3.200528954039328e-05, 0.004171083681285381, 0.976529598236084, 0.01821998879313469, 0.0005082338466309011, 0.0005390946753323078]",1200,4,0,0,0,1,0,0
713,E,2,6.0,strong_symbolic,2,1,0,0,8,8,0,156.97635896503925,156.97635896503925,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[29, 20, 47, 39, 36, 7, 19, 11, 61, 22]",[],0,0,0,0,0,0,0,0
714,E,2,6.0,baseline,1,1,0,0,2,2,0,33.76716515049338,33.76716515049338,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[96, 42, 98, 20, 84, 70, 72, 88, 78, 31]",[],0,0,0,0,0,0,0,0
714,E,2,6.0,nsgrand,1,1,0,0,1,1,0,2.2573021706193686,0.024638837203383446,0.0,0,18,1,1,0.9949402809143066,0.000324416410876438,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[42, 96, 31, 98, 72, 83, 70, 84, 88, 50]","[0.0008379637729376554, 0.8524722456932068, 0.14481979608535767, 0.0012861760333180428, 0.00025958611513487995, 0.000324416410876438]",1200,4,0,0,0,1,0,0
