epoch,train_loss,val_loss,val_weight_acc,val_rescue_acc,val_std_brier,lr,train_samples_seen,val_samples_seen,framework,num_gpus
1,1.8280315589904785,1.3000930377415247,1.0,1.0,0.0005971268734096416,0.0006099999882280827,800,200,tensorflow,1
2,1.2984418678283691,1.2556839670453752,1.0,1.0,9.126596705755219e-05,0.00022999996144790202,800,200,tensorflow,1
3,1.2734790992736817,1.2497938360486711,1.0,1.0,7.633655643855621e-05,3.9999998989515007e-05,800,200,tensorflow,1
