stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,1,12,0.0,1.0,2.3794437292963266
ai,2,53,0.07547169811320754,7.30188679245283,4.3694079010132345
ai,3,99,0.030303030303030304,8.424242424242424,12.35808245132141
ai,4,121,0.05785123966942149,19.206611570247933,53.68104160855686
ai,5,102,0.09803921568627451,108.17647058823529,98.00562833654968
ai,6,5,1.0,84.4,89.08888911828399
ai,7,2,1.0,22.5,121.37341999914497
fallback,1,1,0.0,154.0,34.72755802795291
fallback,3,2,0.0,240.5,39.427688461728394
fallback,4,1,0.0,1807.0,50.447011133655906
fallback_fail,3,2,1.0,3060.0,62.35825247131288
fallback_fail,4,2,1.0,3699.0,80.46055398881435
fallback_fail,5,5,1.0,3699.0,79.53704502433538
fallback_fail,6,2,1.0,3699.0,77.23766902927309
hard_decision,0,1,0.0,0.0,0.009390059858560562
skip_after_ai_fail,3,2,1.0,2400.0,127.2762386361137
skip_after_ai_fail,5,1,1.0,2400.0,109.43103511817753
skip_after_ai_fail,6,32,1.0,2400.0,117.22912030381849
skip_after_ai_fail,7,9,1.0,2400.0,122.64627326900761
skip_after_ai_fail,8,3,1.0,2400.0,107.25944497001667
skip_hopeless,4,3,1.0,0.0,1.5116080952187378
skip_hopeless,5,42,1.0,0.0,1.8099243420043163
skip_hopeless,6,124,1.0,0.0,1.8767154599059253
skip_hopeless,7,115,1.0,0.0,1.81243225891629
skip_hopeless,8,110,1.0,0.0,1.8556900724599308
skip_hopeless,9,78,1.0,0.0,1.7799805008018246
skip_hopeless,10,62,1.0,0.0,1.8465352439952474
skip_hopeless,11,57,1.0,0.0,1.778938766699611
skip_hopeless,12,35,1.0,0.0,1.7862677640680755
skip_hopeless,13,30,1.0,0.0,1.9114809576421976
skip_hopeless,14,18,1.0,0.0,1.8110890458855364
skip_hopeless,15,17,1.0,0.0,1.856285982820041
skip_hopeless,16,10,1.0,0.0,1.8498903140425682
skip_hopeless,17,9,1.0,0.0,1.9140007336520486
skip_hopeless,18,11,1.0,0.0,1.7204520250247284
skip_hopeless,19,11,1.0,0.0,105.22363734939559
skip_hopeless,20,5,1.0,0.0,1.8327216152101755
skip_hopeless,21,4,1.0,0.0,1.7385862302035093
skip_hopeless,22,1,1.0,0.0,1.8619149923324585
skip_hopeless,24,1,1.0,0.0,1.1685111094266176
