epoch,train_loss,train_bit_loss,train_segment_loss,train_weight_loss,train_confidence_loss,val_loss,val_bit_loss,val_segment_loss,val_weight_loss,val_confidence_loss,train_bit_precision,train_bit_recall,train_segment_acc,train_weight_acc,train_overflow_recall,train_confidence_acc,train_confidence_brier,val_bit_precision,val_bit_recall,val_segment_acc,val_weight_acc,val_overflow_recall,val_confidence_acc,val_confidence_brier
1,0.9367264448165894,0.5524539329051972,0.30193108150959014,0.6033846204280853,0.2616966600418091,0.7248379111289978,0.43540856790542604,0.19287516570091248,0.49154843091964723,0.17473705315589905,0.31331690366297504,0.885069569052825,0.886403125,0.785125,0.9800405156201385,0.892425,0.07803266966342925,0.35116390449614837,0.9225822243985393,0.9186406259536744,0.7713749990463257,1.0,0.9175000004768371,0.05442947906255722
2,0.6382777637481689,0.4427164947509766,0.190635924243927,0.27618221101760865,0.13948802723884582,0.6162664089202881,0.4312592549324036,0.17963297367095948,0.25930971920490264,0.13696686178445816,0.3525841593730948,0.9172313806094622,0.920803125,0.88905,0.9840612233447551,0.94495,0.04012064831852913,0.335539156047598,0.9356810443328806,0.9225625,0.8847500009536743,0.9985265179234344,0.9406249995231628,0.041852521151304244
3,0.6101781982421876,0.43335714845657347,0.18115014476776123,0.24027224872112274,0.13183554174900056,0.6072840189933777,0.4482214279174805,0.18149028789997101,0.2025193853378296,0.11803870999813079,0.34850883944378575,0.9239899279693494,0.922571875,0.90225,0.9821901993102865,0.9467,0.03888706464767456,0.29604382103285515,0.9620945900697292,0.9206562509536743,0.921375,0.9906933783872183,0.9522499990463257,0.03516176524758339
4,0.5853774646759033,0.42881455583572387,0.17695743386745452,0.1976611454963684,0.12205611474514008,0.5600012254714966,0.4231499886512756,0.16869390273094179,0.1616305935382843,0.10795411038398743,0.3513964970723478,0.9233062635711414,0.924053125,0.923125,0.9825414797565454,0.950575,0.03621187123656273,0.35134729816228377,0.9267409151912621,0.9275937509536744,0.9389999990463257,0.981362065198581,0.9566249990463257,0.03237888513505459
5,0.5766101997375488,0.42836395711898806,0.17619999780654907,0.17973353003263473,0.1174641310453415,0.5653756604194641,0.426694046497345,0.17320621085166932,0.15735877811908722,0.11888115960359573,0.3481440720490891,0.9267460156366755,0.923734375,0.93005,0.9814830990601944,0.951,0.03536934230327606,0.34203302430378735,0.9322856115511949,0.9242656245231629,0.9416249995231628,0.9924489112533454,0.9486250004768372,0.036604596376419066
6,0.5643583911418915,0.4222260518074036,0.17180017597675323,0.17168960480690001,0.10958221561908722,0.5540278997421265,0.42087712669372557,0.16900603008270262,0.15406713581085205,0.1041104816198349,0.3515267018642833,0.9263328219407962,0.92625,0.933275,0.9819674057295801,0.95465,0.03294682549834251,0.34565639378405394,0.9323115263610885,0.9270937490463257,0.940625,0.9793444166927798,0.9561250004768371,0.03205000963807106
7,0.559525036907196,0.4199241151809692,0.17017455995082856,0.16794107518196105,0.10686059789657593,0.5392334995269775,0.42304698562622073,0.16911821115016937,0.1174847720861435,0.09228567272424698,0.3531741391129745,0.9259958687137745,0.92680625,0.932875,0.9807359431685198,0.954625,0.03241324088573456,0.3240966865720968,0.9474911784204976,0.9265156259536743,0.9558749995231628,0.9876488193784407,0.9591250009536744,0.02816130854189396
8,0.5492753461837768,0.4192489040374756,0.16895799701213837,0.1488391324043274,0.09901694312095642,0.5282548875808716,0.4168598213195801,0.16364771819114685,0.11062985837459564,0.09024403756856918,0.3536394072064485,0.9266850785674753,0.9272375,0.942575,0.9837511041106741,0.9577,0.030111766001582146,0.3461435034386552,0.9338193018257135,0.9293750009536743,0.9595,0.981406598003527,0.9624999995231629,0.027142508655786515
9,0.5478031843185425,0.4178668453216553,0.16766930758953094,0.15314236543178558,0.09189299402236939,0.5575773468017579,0.42057520055770875,0.1662471934556961,0.1722622604370117,0.09111540853977203,0.3537739429062334,0.9269091851221632,0.927559375,0.93855,0.9824923494365603,0.961725,0.02770590797662735,0.3236895512717944,0.9491007709202038,0.928171875,0.9327499990463257,0.9974099518538225,0.962125,0.028143705815076827
10,0.5361920512199402,0.41627055106163025,0.16561851108074188,0.13355920453071593,0.08406131409406661,0.5804504976272583,0.4332114601135254,0.16855072140693664,0.19252073800563813,0.09832762289047241,0.3539778969934534,0.9275051279974367,0.92853125,0.9488,0.9848486386594699,0.965275,0.025355136147141456,0.400643547861845,0.8895534524744294,0.9269531259536743,0.9268749995231629,0.9482931327436352,0.9587500009536744,0.029854257091879846
11,0.5334720052719116,0.416230002117157,0.1650636780023575,0.12996686225831508,0.07868075267076492,0.5399792647361755,0.42225115942955016,0.16986950981616974,0.12949242901802063,0.07485135459899903,0.35404583160611747,0.9278767898499672,0.9286,0.94955,0.9847466552918639,0.9674,0.02358910990357399,0.32426166489920344,0.9488518363359228,0.9253125009536743,0.9487499990463257,0.9824769452768022,0.9676250004768372,0.022791179284453393
