stage,count,bler,avg_queries
skip_hopeless,13392,1.0,0.0
ai,5695,0.025636523266022827,15.2828797190518
hard_decision,2038,0.0,0.0
skip_after_ai_fail,260,1.0,2400.0
fallback_fail,129,1.0,3565.813953488372
fallback,86,0.011627906976744186,837.7790697674419
