profile,snr_db,decoder,samples,frame_errors,bler,ci_low,ci_high,plot_eligible,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,stop_target_errors,max_samples_cap
C,6.0,bp_10,23984,23984,1.0,0.9998462059796931,1.0,1,144.23230550242738,148.362619522959,151.00758654531091,10.0,10.0,0.0,0.0,0.0,200,80000
C,6.0,bp_20,23984,23984,1.0,0.9998462059796931,1.0,1,288.4154490938945,296.3117354316637,301.0320914909243,20.0,20.0,0.0,0.0,0.0,200,80000
C,6.0,bp_50,23984,23984,1.0,0.9998462059796931,1.0,1,721.1741391510197,740.3105760458857,751.1240358510985,50.0,50.0,0.0,0.0,0.0,200,80000
C,6.0,bp_cdf_rescue,23984,213,0.008880920613742495,0.007732534517573572,0.010150566239716557,1,15.36624155623473,25.29320870526135,72.96820569783293,0.8605737158105403,0.0,0.008964309539693129,0.0,0.9910356904603068,200,80000
C,6.0,bp_nms_20,23984,215,0.008964309539693129,0.007810400331665944,0.010239445202114037,1,15.119348550127606,25.236119865439832,73.13094222918153,3.033647431621081,5.0,0.0,0.0,0.9910356904603068,200,80000
C,6.0,bp_nms_50,23984,200,0.008338892595063376,0.0072270741485009685,0.009572190160583903,1,16.353571024661065,25.247628288343538,72.40452123805808,3.288025350233489,5.0,0.0,0.0,0.9916611074049366,200,80000
C,6.0,bp_orb_rescue,23984,214,0.008922615076717813,0.007771464113935108,0.01019500900929397,1,15.333912394883539,25.29320870526135,72.96820569783293,0.7171447631754503,0.0,0.008964309539693129,0.0,0.9910356904603068,200,80000
C,6.0,bp_segmented_rescue,23984,213,0.008880920613742495,0.007732534517573572,0.010150566239716557,1,15.32609653574125,25.29320870526135,72.96820569783293,0.7171447631754503,0.0,0.008964309539693129,0.0,0.9910356904603068,200,80000
C,6.0,bp_wbf_post,23984,212,0.008839226150767179,0.007693611588878963,0.010106116847605129,1,15.241991357552912,25.29320870526135,72.96820569783293,0.08872581721147432,0.0,0.008964309539693129,0.0,0.9910356904603068,200,80000
C,6.0,hybrid_bp_nsg,23984,211,0.00879753168779186,0.007654695374694979,0.010061660786645533,1,15.789080716562697,25.29320870526135,72.96820569783293,0.016010673782521682,0.0,0.0001667778519012675,0.0,0.9910356904603068,200,80000
