baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,E,2,4.0,baseline,0,1,0,0,0,0,0,0.021370011381804943,0.021370011381804943,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,0,E,2,4.0,nsgrand,0,1,0,0,0,0,0,0.011319993063807487,0.011319993063807487,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,0,E,4.0,0,0,-0.010050018317997456,0,0,0
1,E,2,4.0,baseline,2,1,0,0,3,3,0,34.36616499675438,34.36616499675438,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[118, 20, 74, 26, 43, 106, 47, 93, 121, 115]",[],0,0,0,0,0,0,0,0,1,E,2,4.0,nsgrand,2,1,0,0,1,1,0,2.3680849990341812,0.0221800000872463,0.0,0,18,1,2,0.9968157410621643,8.222360338550061e-05,ai,ai_success,standard,[2],"[0, 1, 2]","[20, 118, 101, 95, 74, 61, 50, 93, 106, 26]","[0.0003895204281434417, 0.0158523116260767, 0.9515937566757202, 0.0315711572766304, 0.0005110711790621281, 8.222360338550061e-05]",1200,4,0,0,0,1,0,0,1,E,4.0,2,-2,-31.998079997720197,0,0,0
2,E,2,4.0,baseline,1,1,0,0,1,1,0,33.1895420094952,33.1895420094952,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[98, 23, 86, 66, 115, 64, 45, 20, 113, 35]",[],0,0,0,0,0,0,0,0,2,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.5722689859103411,0.02103002043440938,0.0,0,18,1,1,0.9956926703453064,0.00012176029849797487,ai,ai_success,standard,[1],"[0, 1, 2]","[98, 48, 86, 59, 64, 66, 115, 113, 30, 107]","[0.00044047253322787583, 0.9983097314834595, 0.0010926749091595411, 2.0901612515444867e-05, 1.4377433217305224e-05, 0.00012176029849797487]",1200,4,0,0,0,1,0,0,2,E,4.0,1,0,-31.617273023584858,0,0,0
3,E,2,4.0,baseline,6,0,1,6,2499,2499,0,56.13377198460512,56.13377198460512,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[64, 90, 10, 67, 40, 34, 65, 52, 31, 111]",[],0,0,0,0,0,0,0,0,3,E,2,4.0,nsgrand,6,0,1,6,5199,1200,3999,211.1552569840569,10.888958990108222,189.10214101197198,1,18,1,4,0.9130218029022217,0.04332331195473671,fallback_fail,postsearch_exhausted,standard,"[3, 4]","[0, 1, 2]","[34, 65, 111, 10, 63, 31, 24, 104, 8, 64]","[0.00038275530096143484, 1.1024644663848449e-05, 0.001634401036426425, 0.3813963830471039, 0.5732521414756775, 0.04332331195473671]",1200,4,4000,24,5,0,0,0,3,E,4.0,6,2700,155.0214849994518,0,0,0
4,E,2,4.0,baseline,3,1,0,0,550,550,0,37.72850299719721,37.72850299719721,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[123, 107, 103, 90, 11, 24, 74, 78, 82, 68]",[],0,0,0,0,0,0,0,0,4,E,2,4.0,nsgrand,3,1,0,0,4,4,0,4.252131999237463,0.05197001155465841,0.0,0,18,1,3,0.8696873784065247,0.002859129337593913,ai,ai_success,standard,"[2, 3]","[0, 1, 2]","[23, 123, 78, 103, 107, 90, 74, 82, 84, 69]","[6.526443030452356e-05, 4.187360900687054e-05, 0.09631714224815369, 0.8404266238212585, 0.060290008783340454, 0.002859129337593913]",1200,4,0,0,0,1,0,0,4,E,4.0,3,-546,-33.47637099795975,0,0,0
5,E,2,4.0,baseline,1,1,0,0,1,1,0,32.27426900411956,32.27426900411956,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[29, 8, 92, 75, 79, 15, 42, 88, 9, 74]",[],0,0,0,0,0,0,0,0,5,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.836387993535027,0.021320011001080275,0.0,0,18,1,1,0.9960688352584839,0.0005787602858617902,ai,ai_success,standard,[1],"[0, 1, 2]","[29, 75, 71, 109, 58, 92, 79, 37, 66, 88]","[0.0023423992097377777, 0.9121308922767639, 0.08225158601999283, 0.0023771515116095543, 0.00031924599898047745, 0.0005787602858617902]",1200,4,0,0,0,1,0,0,5,E,4.0,1,0,-30.437881010584533,0,0,0
6,E,2,4.0,baseline,3,1,0,0,132,132,0,33.89456798322499,33.89456798322499,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[113, 91, 83, 75, 117, 65, 92, 104, 5, 46]",[],0,0,0,0,0,0,0,0,6,E,2,4.0,nsgrand,3,1,0,0,1,1,0,3.4986769896931946,0.021220010239630938,0.0,0,18,1,3,0.995088517665863,0.0006220978684723377,ai,ai_success,standard,[3],"[0, 1, 2]","[5, 83, 117, 91, 113, 74, 75, 65, 92, 104]","[0.00027110954397358, 9.39074107009219e-06, 0.014489433728158474, 0.8537417054176331, 0.13086624443531036, 0.0006220978684723377]",1200,4,0,0,0,1,0,0,6,E,4.0,3,-131,-30.395890993531793,0,0,0
7,E,2,4.0,baseline,8,0,1,8,2499,2499,0,54.51532299048267,54.51532299048267,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[30, 21, 2, 9, 19, 5, 12, 33, 18, 31]",[],0,0,0,0,0,0,0,0,7,E,2,4.0,nsgrand,8,0,1,8,3999,0,3999,193.37700301548466,0.0,191.91321200923994,1,0,-1,5,0.074509397149086,0.9966084957122803,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,7,E,4.0,8,1500,138.861680025002,0,0,0
8,E,2,4.0,baseline,7,0,1,7,2499,2499,0,55.845774011686444,55.845774011686444,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[66, 33, 2, 8, 61, 35, 43, 62, 51, 72]",[],0,0,0,0,0,0,0,0,8,E,2,4.0,nsgrand,7,0,1,7,3999,0,3999,192.6635370182339,0.0,190.41192199802026,1,0,-1,5,0.21333369612693787,0.9915124773979187,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,8,E,4.0,7,1500,136.81776300654747,0,0,0
9,E,2,4.0,baseline,1,1,0,0,1,1,0,34.16634601308033,34.16634601308033,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[125, 104, 122, 40, 96, 63, 55, 47, 8, 24]",[],0,0,0,0,0,0,0,0,9,E,2,4.0,nsgrand,1,1,0,0,1,1,0,2.182626019930467,0.022580003133043647,0.0,0,18,1,1,0.9948741793632507,0.0001959425280801952,ai,ai_success,standard,[1],"[0, 1, 2]","[125, 27, 104, 122, 96, 25, 46, 108, 116, 115]","[0.0005329628475010395, 0.9964158535003662, 0.0027631705161184072, 6.108016532380134e-05, 3.093400300713256e-05, 0.0001959425280801952]",1200,4,0,0,0,1,0,0,9,E,4.0,1,0,-31.98371999314986,0,0,0
