profile,snr_db,decoder,samples,frame_errors,bler,ci_low,ci_high,plot_eligible,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,stop_target_errors,max_samples_cap
A,3.0,bp_10,8768,8768,1.0,0.9995793677498996,1.0,1,138.3647982666399,142.52826534211636,144.8892174148932,10.0,10.0,0.0,0.0,0.0,200,80000
A,3.0,bp_20,8768,8768,1.0,0.9995793677498996,1.0,1,276.817093076045,284.9744007922709,289.14915916509926,20.0,20.0,0.0,0.0,0.0,200,80000
A,3.0,bp_50,8768,8768,1.0,0.9995793677498996,1.0,1,691.4956142650458,711.4947704831138,719.2424880899489,50.0,50.0,0.0,0.0,0.0,200,80000
A,3.0,bp_cdf_rescue,8768,228,0.026003649635036496,0.02277373003123191,0.029553486640483014,1,23.918081088283483,46.57070317771286,116.9861783599481,2.5072992700729926,0.0,0.02611770072992701,0.0,0.973882299270073,200,80000
A,3.0,bp_nms_20,8768,229,0.02611770072992701,0.02288064022224674,0.029674586857481235,1,23.305346054417154,46.563696302473524,94.34946528170258,4.907276459854015,10.0,0.0,0.0,0.973882299270073,200,80000
A,3.0,bp_nms_50,8768,200,0.02281021897810219,0.019787535554418048,0.026155437032460635,1,26.69727408164011,46.57646710984408,234.54529446549714,5.629904197080292,10.0,0.0,0.0,0.9771897810218978,200,80000
A,3.0,bp_orb_rescue,8768,228,0.026003649635036496,0.02277373003123191,0.029553486640483014,1,23.817861202501362,46.57070317771286,113.13797309063375,2.0894160583941606,0.0,0.02611770072992701,0.0,0.973882299270073,200,80000
A,3.0,bp_segmented_rescue,8768,228,0.026003649635036496,0.02277373003123191,0.029553486640483014,1,23.812945885520026,46.57070317771286,112.9980957787484,2.0894160583941606,0.0,0.02611770072992701,0.0,0.973882299270073,200,80000
A,3.0,bp_wbf_post,8768,228,0.026003649635036496,0.02277373003123191,0.029553486640483014,1,23.560098400919436,46.57070317771286,103.84971471503377,0.260264598540146,0.0,0.02611770072992701,0.0,0.973882299270073,200,80000
A,3.0,hybrid_bp_nsg,8768,228,0.026003649635036496,0.02277373003123191,0.029553486640483014,1,24.031780296248336,46.57070317771286,112.54903370514512,0.010948905109489052,0.0,0.00011405109489051095,0.0,0.973882299270073,200,80000
