epoch,train_loss,val_loss,val_weight_acc,val_rescue_acc,val_std_brier,lr,train_samples_seen,val_samples_seen,framework,num_gpus
1,1.148043337130843,1.077880656297228,0.9749723451327433,0.9997234513274337,6.986008080742442e-06,0.0007991835009306669,36000,7200,tensorflow,1
2,1.061896671092743,1.0443993907059188,0.974695796460177,0.9997234513274337,4.2929456163361074e-07,0.0007967374403961003,36000,7200,tensorflow,1
3,1.0467813240486605,1.0468417363884175,0.9756637168141593,0.9997234513274337,6.979258039589082e-08,0.0007926724501885474,36000,7200,tensorflow,1
4,1.036543228168894,1.0407827892134676,0.9755254424778761,0.9997234513274337,2.210471074647856e-07,0.0007870059343986213,36000,7200,tensorflow,1
5,1.0289168058237852,1.0246876683910335,0.9755254424778761,0.9997234513274337,3.378540609593273e-08,0.000779762223828584,36000,7200,tensorflow,1
6,1.0257027644670667,1.024767125602317,0.9759402654867256,0.9995851769911505,1.292546651783411e-08,0.0007709725177846849,36000,7200,tensorflow,1
7,1.0202608623047282,1.0122061962574984,0.9759402654867256,0.9997234513274337,4.495475265456915e-09,0.0007606744766235352,36000,7200,tensorflow,1
8,1.016836214340813,1.0098458528518677,0.9755254424778761,0.9997234513274337,9.032277123657864e-09,0.0007489125127904117,36000,7200,tensorflow,1
9,1.013483103172817,1.0150157566619131,0.9745575221238938,0.9997234513274337,6.236938377292708e-09,0.0007357369759120047,36000,7200,tensorflow,1
10,1.0115982820255083,1.0222461740527533,0.9748340707964602,0.9997234513274337,1.6719381407402804e-09,0.0007212046184577048,36000,7200,tensorflow,1
11,1.007950759272804,1.019975986100931,0.9758019911504425,0.9997234513274337,3.8667292246672386e-09,0.0007053778972476721,36000,7200,tensorflow,1
12,1.006396972476695,1.0084902164155403,0.9760785398230089,0.9997234513274337,1.8956675466627113e-10,0.0006883247406221926,36000,7200,tensorflow,1
13,1.0032568025546642,1.0113605603707576,0.9753871681415929,0.9997234513274337,1.4421765847971528e-10,0.0006701185484416783,36000,7200,tensorflow,1
14,1.0013971840086033,1.0065278896188314,0.9762168141592921,0.9998617256637168,6.06629807793939e-10,0.0006508374935947359,36000,7200,tensorflow,1
15,0.9980129542401587,1.0040362862359107,0.9762168141592921,0.9997234513274337,1.790381191423168e-10,0.0006305644055828452,36000,7200,tensorflow,1
16,0.9947987135307826,1.0073594688314251,0.9755254424778761,0.9997234513274337,2.0023890900231942e-10,0.0006093864212743938,36000,7200,tensorflow,1
17,0.9931875922540153,1.0020569610384713,0.9770464601769911,0.9998617256637168,3.671424927457972e-10,0.0005873945774510503,36000,7200,tensorflow,1
18,0.9896926239371088,1.0049156657362406,0.9762168141592921,0.9997234513274337,8.99217972266759e-12,0.0005646834033541381,36000,7200,tensorflow,1
19,0.9876244121080605,1.0002173216996995,0.9755254424778761,0.9998617256637168,8.789526568564538e-12,0.0005413504550233483,36000,7200,tensorflow,1
20,0.9856205253363927,1.0002560731583992,0.9767699115044248,0.9998617256637168,5.611668176119679e-12,0.0005174960242584348,36000,7200,tensorflow,1
21,0.9810894386806455,1.0006944980241557,0.9760785398230089,0.9998617256637168,1.5244054466988736e-11,0.0004932226147502661,36000,7200,tensorflow,1
22,0.9787726532502454,1.0019266695047901,0.9734513274336283,0.9998617256637168,4.6158077471841696e-11,0.0004686345055233687,36000,7200,tensorflow,1
23,0.97615014564504,0.9981497436498119,0.9744192477876106,0.9997234513274337,5.1590091079491366e-11,0.000443837430793792,36000,7200,tensorflow,1
24,0.9722018661126363,1.0051290788481722,0.9755254424778761,0.9998617256637168,1.81115992999928e-11,0.0004189378523733467,36000,7200,tensorflow,1
25,0.9687612880398494,0.9991499359628796,0.9760785398230089,0.9998617256637168,4.037860403261212e-12,0.00039404287235811353,36000,7200,tensorflow,1
26,0.9662509949126845,1.002881327034098,0.9758019911504425,0.9998617256637168,5.042657300885773e-12,0.00036925944732502103,36000,7200,tensorflow,1
27,0.9621222560189757,1.004988136017217,0.9760785398230089,0.9998617256637168,5.908070336885643e-13,0.0003446941263973713,36000,7200,tensorflow,1
28,0.9577796400969659,1.004664146794682,0.9771847345132744,0.9998617256637168,9.781399978546548e-12,0.0003204523818567395,36000,7200,tensorflow,1
29,0.9551958171766562,1.0012605374893255,0.9755254424778761,0.9995851769911505,1.5086731364255724e-12,0.00029663837631233037,36000,7200,tensorflow,1
30,0.9507558315092463,1.0452108873730213,0.9713772123893806,0.9995851769911505,1.4010730816178847e-11,0.000273354584351182,36000,7200,tensorflow,1
31,0.9474037752270064,1.018589135292357,0.9735896017699115,0.9998617256637168,1.7044932351633123e-12,0.00025070097763091326,36000,7200,tensorflow,1
32,0.9449390607024171,1.0127004168729867,0.9744192477876106,0.9997234513274337,3.3220445341467395e-13,0.00022877495212014765,36000,7200,tensorflow,1
33,0.9401793849404709,1.012928947938227,0.9728982300884956,0.9995851769911505,2.878401912103804e-12,0.0002076705713989213,36000,7200,tensorflow,1
34,0.9360353306174066,1.0096471140869951,0.9733130530973452,0.9997234513274337,5.433902378845209e-13,0.00018747869762592018,36000,7200,tensorflow,1
35,0.9340775710651337,1.016817500633476,0.9717920353982301,0.9995851769911505,1.338832382079422e-11,0.000168286103871651,36000,7200,tensorflow,1
36,0.9305063311414228,1.016873820693092,0.9741426991150443,0.9995851769911505,5.393851255436278e-13,0.00015017522673588246,36000,7200,tensorflow,1
37,0.9270576923609204,1.014665635813654,0.9727599557522124,0.9997234513274337,7.894526900457198e-13,0.00013322388986125588,36000,7200,tensorflow,1
38,0.9247827791405402,1.0254825754503234,0.9738661504424779,0.9997234513274337,1.0993841123404481e-12,0.00011750492558348924,36000,7200,tensorflow,1
39,0.921145113810341,1.0189313176458916,0.9749723451327433,0.9995851769911505,5.513638672450394e-12,0.00010308590572094545,36000,7200,tensorflow,1
40,0.9192692270075661,1.0356644107177195,0.9720685840707964,0.9995851769911505,2.6900504039559825e-12,9.002882143249735e-05,36000,7200,tensorflow,1
41,0.9168024717385138,1.0364897419921064,0.9727599557522124,0.9995851769911505,1.7835713364447335e-11,7.838971941964701e-05,36000,7200,tensorflow,1
42,0.9132518047337845,1.0452653290951146,0.9735896017699115,0.9995851769911505,9.694452013287339e-12,6.821868009865284e-05,36000,7200,tensorflow,1
43,0.9116849187847564,1.028643266289635,0.9733130530973452,0.9995851769911505,1.5271484016740806e-12,5.95593846810516e-05,36000,7200,tensorflow,1
44,0.9100819590036653,1.037229254182461,0.9727599557522124,0.9995851769911505,7.046685569568842e-12,5.24490351381246e-05,36000,7200,tensorflow,1
45,0.9095330844975703,1.038016266527429,0.9733130530973452,0.9995851769911505,3.656663230746203e-12,4.691818685387261e-05,36000,7200,tensorflow,1
46,0.9082933055571086,1.0346030049619421,0.9733130530973452,0.9995851769911505,1.7689571580176445e-12,4.299065039958805e-05,36000,7200,tensorflow,1
47,0.9070771694395089,1.0376478248992853,0.9726216814159292,0.9995851769911505,1.4240118867000277e-12,4.0683255065232515e-05,36000,7200,tensorflow,1
48,0.9067326029282904,1.0387919328909005,0.974004424778761,0.9995851769911505,1.1821217177653427e-11,3.9999998989515007e-05,36000,7200,tensorflow,1
