sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,E,2,2.0,nsgrand,6,0,1,6,2400,2400,0,1351.9226820208132,21.442499943077564,0.0,0,22,1,5,0.1149723157286644,0.4810881912708282,skip_after_ai_fail,postsearch_skip_after_expanded_fail,expanded_overflow,postsearch_skip_after_expanded_fail,"[4, 5]","[0, 1, 2, 3]","[0, 20, 21, 26, 49, 12, 47, 79, 83, 40]","[4.262497168383561e-05, 2.468500952090835e-06, 0.00011612300295382738, 0.056484729051589966, 0.46226590871810913, 0.48108819127082825]",2400,5,0,0,0,0,0,0
0,C,1,4.0,nsgrand,5,0,1,5,3699,1200,2499,1301.739718997851,9.999121073633432,51.7656309530139,1,18,1,4,0.6865130066871643,0.1280763000249862,fallback_fail,postsearch_exhausted,standard,postsearch_fallback,"[3, 4]","[0, 1, 2]","[35, 23, 64, 65, 91, 69, 55, 75, 77, 79]","[0.0001814614952309057, 5.575059731199872e-06, 0.00045510430936701596, 0.17886300384998322, 0.6924185752868652, 0.12807630002498627]",1200,4,2500,24,4,0,0,0
0,A,0,4.0,nsgrand,2,1,0,0,1,1,0,1244.7255188599229,0.0457889400422573,0.0,0,18,1,2,0.9688818454742432,0.0001433497091056,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[90, 91, 45, 101, 65, 81, 96, 87, 82, 14]","[3.381970964255743e-05, 0.011036021634936333, 0.9755178689956665, 0.012888126075267792, 0.00038075324846431613, 0.0001433497091056779]",1200,4,0,0,0,1,0,0
0,A,0,-4.0,nsgrand,32,0,1,32,0,0,0,1143.92655598931,1143.92655598931,0.0,0,0,-1,5,0.0001151844116975,0.9999319314956664,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,2.0,nsgrand,8,0,1,8,0,0,0,1143.7519781757146,1143.7519781757146,0.0,0,0,-1,5,0.0569257400929927,0.9722926020622252,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,E,2,0.0,nsgrand,9,0,1,9,0,0,0,1143.747968133539,1143.747968133539,0.0,0,0,-1,5,0.0014915540814399,0.9988216757774352,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,E,2,-4.0,nsgrand,26,0,1,26,0,0,0,1143.7251279130578,1143.7251279130578,0.0,0,0,-1,5,0.0001354782725684,0.9999216794967652,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,-2.0,nsgrand,21,0,1,21,0,0,0,1143.6140888836237,1143.6140888836237,0.0,0,0,-1,5,0.0002072766656056,0.9999078512191772,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,-4.0,nsgrand,20,0,1,20,0,0,0,1138.688608072698,1138.688608072698,0.0,0,0,-1,5,0.0001350604870822,0.9999169111251832,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,A,0,2.0,nsgrand,19,0,1,19,0,0,0,1138.4892200585457,1138.4892200585457,0.0,0,0,-1,5,0.0012115960707888,0.9998075366020204,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,6.0,nsgrand,18,0,1,18,0,0,0,1137.9878339357674,1137.9878339357674,0.0,0,0,-1,5,0.0023544311989098,0.9997218251228333,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,E,2,-2.0,nsgrand,18,0,1,18,0,0,0,1137.8727038390934,1137.8727038390934,0.0,0,0,-1,5,0.0002698452735785,0.9998728036880492,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,A,0,0.0,nsgrand,14,0,1,14,0,0,0,1137.6863159239292,1137.6863159239292,0.0,0,0,-1,5,0.0011035517090931,0.99979168176651,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,0.0,nsgrand,9,0,1,9,0,0,0,1137.6308458857238,1137.6308458857238,0.0,0,0,-1,5,0.0014853213215246,0.9991804957389832,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,A,0,-2.0,nsgrand,28,0,1,28,0,0,0,1137.5412370543927,1137.5412370543927,0.0,0,0,-1,5,0.0001491726579843,0.9999392032623292,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,A,0,6.0,nsgrand,10,0,1,10,0,0,0,1132.9780430532992,1132.9780430532992,0.0,0,0,-1,5,0.0738693550229072,0.967549443244934,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
694,A,0,2.0,nsgrand,4,1,0,0,1,1,0,359.1349830385297,0.0758292153477668,0.0,0,22,1,5,0.4160784184932709,0.5311471819877625,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[46, 59, 55, 45, 48, 80, 102, 35, 64, 7]","[0.0001324213808402419, 6.542613846249878e-06, 5.7919231039704755e-05, 0.02256832830607891, 0.4460875988006592, 0.5311471819877625]",2400,5,0,0,0,1,0,0
404,C,1,6.0,nsgrand,3,1,0,0,1,1,0,191.75452389754355,0.0416501425206661,0.0,0,18,1,3,0.9562824368476868,0.0033358726650476,ai,ai_success,standard,ai_search,"[3, 4]","[0, 1, 2]","[68, 69, 88, 10, 76, 87, 67, 91, 77, 66]","[0.00011227186041651294, 3.116966399829835e-05, 0.02039235830307007, 0.8406530022621155, 0.135475292801857, 0.0033358726650476456]",1200,4,0,0,0,1,0,0
456,A,0,2.0,nsgrand,7,0,1,7,2400,2400,0,146.0092959459871,21.7952081002295,0.0,0,22,1,5,0.1391096264123916,0.5445186495780945,skip_after_ai_fail,postsearch_skip_after_expanded_fail,expanded_overflow,postsearch_skip_after_expanded_fail,"[4, 5]","[0, 1, 2, 3]","[57, 1, 23, 16, 25, 116, 115, 104, 3, 114]","[4.0193841414293274e-05, 3.245525476813782e-06, 6.277222564676777e-05, 0.03083738684654236, 0.424537718296051, 0.5445186495780945]",2400,5,0,0,0,0,0,0
460,A,0,2.0,nsgrand,6,0,1,6,2400,2400,0,142.4511440563947,21.504639880731705,0.0,0,22,1,5,0.2478124499320984,0.658500611782074,skip_after_ai_fail,postsearch_skip_after_expanded_fail,expanded_overflow,postsearch_skip_after_expanded_fail,"[4, 5]","[0, 1, 2, 3]","[35, 76, 85, 34, 107, 10, 89, 3, 16, 104]","[0.00010002741328207776, 6.073508302506525e-06, 3.0642750061815605e-05, 0.012218321673572063, 0.32914435863494873, 0.658500611782074]",2400,5,0,0,0,0,0,0
