profile,snr_db,overflow_bin,count,bler,fallback_rate,avg_queries
A,-4.0,"(-0.001, 0.1]",0,,,
A,-4.0,"(0.1, 0.2]",0,,,
A,-4.0,"(0.2, 0.3]",0,,,
A,-4.0,"(0.3, 0.4]",0,,,
A,-4.0,"(0.4, 0.5]",0,,,
A,-4.0,"(0.5, 0.6]",0,,,
A,-4.0,"(0.6, 0.7]",0,,,
A,-4.0,"(0.7, 0.8]",0,,,
A,-4.0,"(0.8, 0.9]",0,,,
A,-4.0,"(0.9, 1.0]",1200,1.0,0.0,0.0
A,-2.0,"(-0.001, 0.1]",0,,,
A,-2.0,"(0.1, 0.2]",0,,,
A,-2.0,"(0.2, 0.3]",0,,,
A,-2.0,"(0.3, 0.4]",0,,,
A,-2.0,"(0.4, 0.5]",0,,,
A,-2.0,"(0.5, 0.6]",0,,,
A,-2.0,"(0.6, 0.7]",0,,,
A,-2.0,"(0.7, 0.8]",0,,,
A,-2.0,"(0.8, 0.9]",0,,,
A,-2.0,"(0.9, 1.0]",1200,1.0,0.0,0.0
A,0.0,"(-0.001, 0.1]",2,0.0,0.0,1.0
A,0.0,"(0.1, 0.2]",1,0.0,0.0,21.0
A,0.0,"(0.2, 0.3]",0,,,
A,0.0,"(0.3, 0.4]",1,0.0,0.0,1.0
A,0.0,"(0.4, 0.5]",0,,,
A,0.0,"(0.5, 0.6]",3,0.3333333333333333,0.0,2.0
A,0.0,"(0.6, 0.7]",2,0.5,0.0,1200.5
A,0.0,"(0.7, 0.8]",2,1.0,0.0,621.5
A,0.0,"(0.8, 0.9]",5,0.2,0.0,21.0
A,0.0,"(0.9, 1.0]",1184,1.0,0.0,0.0
A,2.0,"(-0.001, 0.1]",203,0.08374384236453201,0.03940886699507389,89.39901477832512
A,2.0,"(0.1, 0.2]",36,0.19444444444444445,0.1388888888888889,537.5
A,2.0,"(0.2, 0.3]",24,0.125,0.08333333333333333,317.5833333333333
A,2.0,"(0.3, 0.4]",40,0.175,0.0,188.05
A,2.0,"(0.4, 0.5]",22,0.3181818181818182,0.0,570.5454545454545
A,2.0,"(0.5, 0.6]",21,0.23809523809523808,0.0,601.047619047619
A,2.0,"(0.6, 0.7]",29,0.3448275862068966,0.0,638.1034482758621
A,2.0,"(0.7, 0.8]",19,0.3157894736842105,0.0,712.1052631578947
A,2.0,"(0.8, 0.9]",59,0.4406779661016949,0.0,972.8983050847457
A,2.0,"(0.9, 1.0]",747,0.9959839357429718,0.0,3.2918340026773762
A,4.0,"(-0.001, 0.1]",791,0.02402022756005057,0.035398230088495575,73.24273072060683
A,4.0,"(0.1, 0.2]",36,0.05555555555555555,0.05555555555555555,212.11111111111111
A,4.0,"(0.2, 0.3]",25,0.2,0.2,756.04
A,4.0,"(0.3, 0.4]",5,0.0,0.0,19.2
A,4.0,"(0.4, 0.5]",18,0.05555555555555555,0.0,144.33333333333334
A,4.0,"(0.5, 0.6]",8,0.0,0.0,11.5
A,4.0,"(0.6, 0.7]",15,0.2,0.0,492.26666666666665
A,4.0,"(0.7, 0.8]",21,0.19047619047619047,0.0,477.0952380952381
A,4.0,"(0.8, 0.9]",28,0.32142857142857145,0.0,786.3928571428571
A,4.0,"(0.9, 1.0]",253,0.9881422924901185,0.0,56.93280632411067
A,6.0,"(-0.001, 0.1]",1000,0.003,0.005,8.197
A,6.0,"(0.1, 0.2]",14,0.21428571428571427,0.21428571428571427,801.9285714285714
A,6.0,"(0.2, 0.3]",10,0.1,0.1,371.2
A,6.0,"(0.3, 0.4]",1,0.0,0.0,116.0
A,6.0,"(0.4, 0.5]",4,0.25,0.0,626.0
A,6.0,"(0.5, 0.6]",5,0.0,0.0,4.2
A,6.0,"(0.6, 0.7]",4,0.0,0.0,47.0
A,6.0,"(0.7, 0.8]",9,0.2222222222222222,0.0,538.6666666666666
A,6.0,"(0.8, 0.9]",14,0.42857142857142855,0.0,1031.142857142857
A,6.0,"(0.9, 1.0]",139,0.9712230215827338,0.0,86.56115107913669
C,-4.0,"(-0.001, 0.1]",0,,,
C,-4.0,"(0.1, 0.2]",0,,,
C,-4.0,"(0.2, 0.3]",0,,,
C,-4.0,"(0.3, 0.4]",0,,,
C,-4.0,"(0.4, 0.5]",0,,,
C,-4.0,"(0.5, 0.6]",0,,,
C,-4.0,"(0.6, 0.7]",0,,,
C,-4.0,"(0.7, 0.8]",0,,,
C,-4.0,"(0.8, 0.9]",0,,,
C,-4.0,"(0.9, 1.0]",1200,1.0,0.0,0.0
C,-2.0,"(-0.001, 0.1]",0,,,
C,-2.0,"(0.1, 0.2]",0,,,
C,-2.0,"(0.2, 0.3]",0,,,
C,-2.0,"(0.3, 0.4]",0,,,
C,-2.0,"(0.4, 0.5]",0,,,
C,-2.0,"(0.5, 0.6]",0,,,
C,-2.0,"(0.6, 0.7]",0,,,
C,-2.0,"(0.7, 0.8]",0,,,
C,-2.0,"(0.8, 0.9]",0,,,
C,-2.0,"(0.9, 1.0]",1200,1.0,0.0,0.0
C,0.0,"(-0.001, 0.1]",1,0.0,0.0,1.0
C,0.0,"(0.1, 0.2]",0,,,
C,0.0,"(0.2, 0.3]",0,,,
C,0.0,"(0.3, 0.4]",0,,,
C,0.0,"(0.4, 0.5]",0,,,
C,0.0,"(0.5, 0.6]",2,0.5,0.0,247.0
C,0.0,"(0.6, 0.7]",1,0.0,0.0,1.0
C,0.0,"(0.7, 0.8]",0,,,
C,0.0,"(0.8, 0.9]",3,0.3333333333333333,0.0,672.6666666666666
C,0.0,"(0.9, 1.0]",1193,1.0,0.0,0.0
C,2.0,"(-0.001, 0.1]",197,0.09644670050761421,0.05583756345177665,139.05583756345177
C,2.0,"(0.1, 0.2]",43,0.16279069767441862,0.13953488372093023,514.8604651162791
C,2.0,"(0.2, 0.3]",27,0.3333333333333333,0.25925925925925924,1089.8148148148148
C,2.0,"(0.3, 0.4]",20,0.1,0.0,202.85
C,2.0,"(0.4, 0.5]",27,0.2222222222222222,0.0,376.962962962963
C,2.0,"(0.5, 0.6]",29,0.3793103448275862,0.0,744.2758620689655
