sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
10,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,197.66054500360042,0.0,195.88235698756762,1,0,-1,5,0.00042399083031341434,0.999901294708252,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
11,C,1,0.0,baseline,9,0,1,9,2499,2499,0,55.879913008539006,55.879913008539006,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[73, 14, 43, 127, 105, 28, 96, 121, 116, 124]",[],0,0,0,0,0,0,0,0
11,C,1,0.0,nsgrand,9,0,1,9,3999,0,3999,200.58961599715985,0.0,198.81113799056038,1,0,-1,5,0.008226238191127777,0.996977686882019,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
12,C,1,0.0,baseline,9,0,1,9,2499,2499,0,57.88086002576165,57.88086002576165,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[68, 59, 88, 72, 112, 63, 46, 64, 71, 85]",[],0,0,0,0,0,0,0,0
12,C,1,0.0,nsgrand,9,0,1,9,3999,0,3999,200.63328600372188,0.0,198.8216169993393,1,0,-1,5,0.000981164863333106,0.9997804760932922,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
13,C,1,0.0,baseline,13,0,1,13,2499,2499,0,55.091777991037816,55.091777991037816,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[32, 19, 0, 120, 118, 33, 116, 15, 23, 106]",[],0,0,0,0,0,0,0,0
13,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,201.56150998082012,0.0,199.73765101167373,1,0,-1,5,0.00065234286012128,0.9998679161071777,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
14,C,1,0.0,baseline,11,0,1,11,2499,2499,0,56.26985998242162,56.26985998242162,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[47, 63, 51, 21, 66, 0, 84, 44, 29, 109]",[],0,0,0,0,0,0,0,0
14,C,1,0.0,nsgrand,11,0,1,11,3999,0,3999,197.00136900064535,0.0,195.26483002118766,1,0,-1,5,0.0070823077112436295,0.9987969398498535,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
15,C,1,0.0,baseline,12,0,1,12,2499,2499,0,55.90631198720075,55.90631198720075,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[51, 14, 81, 13, 83, 31, 61, 108, 54, 16]",[],0,0,0,0,0,0,0,0
