epoch,train_loss,val_loss,val_weight_acc,val_rescue_acc,val_std_brier,val_candidate_top1_acc,val_candidate_positive_rate,lr,train_samples_seen,val_samples_seen,framework,num_gpus
1,1.4015484110514322,1.3445382277170816,0.9650000222524007,1.0,2.024976549061345e-06,0.0,0.0,0.0007991864113137126,36000,7200,tensorflow,1
2,1.345563528060913,1.3354900328318278,0.9651389106114705,1.0,2.8034615970303394e-07,0.0,0.0,0.0007967490237206221,36000,7200,tensorflow,1
3,1.3358129062652588,1.3199164978663127,0.9658333547910054,1.0,1.5602389576467129e-07,0.0,0.0,0.0007926983525976539,36000,7200,tensorflow,1
4,1.3274608443578084,1.3388898992538452,0.9659722431500752,1.0,1.82351897137778e-07,0.0,0.0,0.0007870518020354211,36000,7200,tensorflow,1
5,1.322322297414144,1.3043523836135864,0.9658333547910054,1.0,9.317919008822173e-08,0.0,0.0,0.0007798334117978811,36000,7200,tensorflow,1
6,1.3127197971343993,1.3032084385553995,0.965416689713796,1.0,1.47039943125075e-07,0.0,0.0,0.0007710742065683007,36000,7200,tensorflow,1
7,1.3098118940989176,1.3100589720408122,0.9655555772781372,1.0,3.282340083288204e-08,0.0,0.0,0.0007608116720803082,36000,7200,tensorflow,1
8,1.3047315018971761,1.3000185616811117,0.9658333547910054,1.0,2.4312756720471877e-08,0.0,0.0,0.0007490896387025714,36000,7200,tensorflow,1
9,1.3024847167332967,1.296895834604899,0.9658333547910054,1.0,2.575332829242901e-07,0.0,0.0,0.0007359584560617805,36000,7200,tensorflow,1
10,1.301461921374003,1.293369820912679,0.9659722439448039,1.0,4.915824938815187e-08,0.0,0.0,0.000721474236343056,36000,7200,tensorflow,1
11,1.2985814968744913,1.3024267514546712,0.965277799765269,1.0,2.8153530514292886e-08,0.0,0.0,0.0007056991453282535,36000,7200,tensorflow,1
12,1.2965255444844563,1.290900812149048,0.965833355585734,1.0,3.173459190541905e-08,0.0,0.0,0.0006887005874887109,36000,7200,tensorflow,1
13,1.2947810945510865,1.2893243567148844,0.9638889114061991,1.0,1.317787126649724e-07,0.0,0.0,0.0006705513806082308,36000,7200,tensorflow,1
14,1.2933552134831747,1.286627745628357,0.9658333547910054,1.0,4.397245741009452e-08,0.0,0.0,0.0006513292901217937,36000,7200,tensorflow,1
15,1.2912872638702393,1.2890437857309978,0.965833355585734,1.0,2.945848515937636e-08,0.0,0.0,0.0006311166216619313,36000,7200,tensorflow,1
16,1.289828646659851,1.2851808706919352,0.9658333547910054,1.0,9.174411775466259e-09,0.0,0.0,0.0006099999882280827,36000,7200,tensorflow,1
17,1.2859376894632975,1.2867482535044352,0.9659722463289897,1.0,9.933442304192279e-08,0.0,0.0,0.0005880696699023247,36000,7200,tensorflow,1
18,1.284981723467509,1.2822087287902832,0.9665277997652689,1.0,2.12846613381427e-07,0.0,0.0,0.0005654197302646935,36000,7200,tensorflow,1
19,1.2844023996988931,1.2850948206583659,0.9656944656372071,1.0,1.3718667729071636e-07,0.0,0.0,0.0005421469686552882,36000,7200,tensorflow,1
20,1.2833558133443197,1.2864767424265544,0.9663889114061991,1.0,4.5011957362506294e-08,0.0,0.0,0.0005183512694202363,36000,7200,tensorflow,1
21,1.2814151147206625,1.2846514209111533,0.9659722439448039,1.0,1.661015497570843e-08,0.0,0.0,0.0004941343213431537,36000,7200,tensorflow,1
22,1.2800579805374146,1.2831477117538452,0.965416689713796,1.0,3.709962986079655e-08,0.0,0.0,0.00046959990868344903,36000,7200,tensorflow,1
23,1.2788992652893065,1.2807869513829548,0.9641666889190674,1.0,2.4891995765348915e-08,0.0,0.0,0.000444853154476732,36000,7200,tensorflow,1
24,1.277998454729716,1.278182988166809,0.9672222439448038,1.0,8.875743994959015e-09,0.0,0.0,0.0004199999675620347,36000,7200,tensorflow,1
25,1.2751568098068238,1.2788403336207073,0.9668055772781372,1.0,3.230100301334267e-08,0.0,0.0,0.00039514678064733744,36000,7200,tensorflow,1
26,1.2745302216211956,1.2820886373519897,0.9658333571751913,1.0,2.1120484536100528e-08,0.0,0.0,0.00037039999733678997,36000,7200,tensorflow,1
27,1.2735765844980875,1.2773820892969767,0.9659722447395325,1.0,4.539272949595959e-08,0.0,0.0,0.0003458657010924071,36000,7200,tensorflow,1
28,1.2720148169199625,1.279710815747579,0.9656944656372071,1.0,3.6617500753048187e-08,0.0,0.0,0.00032164878211915493,36000,7200,tensorflow,1
29,1.2700047753651937,1.2780703433354696,0.965138909816742,1.0,1.560431681609427e-08,0.0,0.0,0.0002978529955726117,36000,7200,tensorflow,1
30,1.2673881664276123,1.2772558705012003,0.9645833539962768,1.0,2.3236440586697307e-07,0.0,0.0,0.00027458026306703687,36000,7200,tensorflow,1
31,1.266555814743042,1.2747382243474326,0.966388909816742,1.0,4.59296173492089e-09,0.0,0.0,0.0002519303234294057,36000,7200,tensorflow,1
32,1.2642800168991088,1.2804977130889892,0.9645833547910054,1.0,3.4438932894897965e-08,0.0,0.0,0.00022999996144790202,36000,7200,tensorflow,1
33,1.2631729749043783,1.2771294434865317,0.9615278005599975,1.0,1.0535967685706045e-08,0.0,0.0,0.00020888325525447726,36000,7200,tensorflow,1
