baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,C,1,6.0,baseline,1,1,0,0,1,1,0,73.89298701309599,73.89298701309599,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[14, 42, 38, 19, 35, 67, 49, 33, 43, 59]",[],0,0,0,0,0,0,0,0,0,C,1,6.0,nsgrand,1,1,0,0,1,1,0,496.82319900603034,0.0358800170943141,0.0,0,18,1,1,0.9945585131645203,0.00012801127741113305,ai,ai_success,standard,[1],"[0, 1, 2]","[14, 120, 19, 67, 20, 46, 38, 36, 127, 42]","[0.0003661849768832326, 0.9977624416351318, 0.001700613647699356, 3.0268673071986996e-05, 1.2439119018381462e-05, 0.00012801127741113305]",1200,4,0,0,0,1,0,0,0,C,6.0,1,0,422.93021199293435,0,0,0
1,C,1,6.0,baseline,3,0,1,3,2499,2499,0,55.08967800415121,55.08967800415121,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[1, 111, 100, 118, 116, 113, 6, 101, 92, 106]",[],0,0,0,0,0,0,0,0,1,C,1,6.0,nsgrand,3,1,0,0,1,1,0,10.747041000286117,0.024339999072253704,0.0,0,18,1,3,0.8660217523574829,0.007777297403663397,ai,ai_success,standard,"[3, 4]","[0, 1, 2]","[115, 116, 10, 88, 100, 118, 113, 111, 92, 101]","[5.201698877499439e-05, 1.8446038438924006e-06, 0.0016568844439461827, 0.5032312273979187, 0.4872806966304779, 0.007777297403663397]",1200,4,0,0,0,1,0,0,1,C,6.0,3,-2498,-44.34263700386509,-1,1,0
2,C,1,6.0,baseline,0,1,0,0,0,0,0,6.309369986411184,6.309369986411184,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,2,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.012400007108226418,0.012400007108226418,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,2,C,6.0,0,0,-6.296969979302958,0,0,0
3,C,1,6.0,baseline,0,1,0,0,0,0,0,0.010449992259964347,0.010449992259964347,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,3,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.009449984645470977,0.009449984645470977,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,3,C,6.0,0,0,-0.00100000761449337,0,0,0
4,C,1,6.0,baseline,4,1,0,0,60,60,0,33.02743801032193,33.02743801032193,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[4, 0, 121, 126, 120, 107, 127, 8, 13, 67]",[],0,0,0,0,0,0,0,0,4,C,1,6.0,nsgrand,4,1,0,0,5,5,0,10.672250995412469,0.06406902684830129,0.0,0,18,1,3,0.9950205087661743,0.0019515946041792631,ai,ai_success,standard,"[3, 4]","[0, 1, 2]","[0, 121, 126, 120, 67, 107, 127, 4, 13, 104]","[0.00042241610935889184, 2.208176738349721e-05, 0.012895772233605385, 0.7903088927268982, 0.19439928233623505, 0.0019515946041792631]",1200,4,0,0,0,1,0,0,4,C,6.0,4,-55,-22.35518701490946,0,0,0
5,C,1,6.0,baseline,0,1,0,0,0,0,0,0.013410026440396905,0.013410026440396905,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,5,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.009850016795098782,0.009850016795098782,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,5,C,6.0,0,0,-0.0035600096452981234,0,0,0
6,C,1,6.0,baseline,0,1,0,0,0,0,0,0.009859999408945441,0.009859999408945441,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,6,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.009170005796477199,0.009170005796477199,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,6,C,6.0,0,0,-0.0006899936124682426,0,0,0
7,C,1,6.0,baseline,0,1,0,0,0,0,0,0.009009992936626077,0.009009992936626077,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,7,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.008880015229806304,0.008880015229806304,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,7,C,6.0,0,0,-0.00012997770681977272,0,0,0
8,C,1,6.0,baseline,0,1,0,0,0,0,0,0.00920999445952475,0.00920999445952475,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,8,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.008879986125975847,0.008879986125975847,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,8,C,6.0,0,0,-0.00033000833354890347,0,0,0
9,C,1,6.0,baseline,5,0,1,5,2499,2499,0,53.989203996025026,53.989203996025026,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[98, 113, 99, 100, 107, 109, 87, 97, 103, 88]",[],0,0,0,0,0,0,0,0,9,C,1,6.0,nsgrand,5,1,0,0,2458,0,2458,203.20811899728142,0.0,201.4497109921649,1,0,-1,5,0.46498972177505493,0.9714831113815308,fallback,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,1,1,9,C,6.0,5,-41,149.2189150012564,-1,1,0
10,C,1,6.0,baseline,0,1,0,0,0,0,0,0.02321999636478722,0.02321999636478722,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0,10,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.012320000678300858,0.012320000678300858,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,10,C,6.0,0,0,-0.010899995686486363,0,0,0
11,C,1,6.0,baseline,2,1,0,0,34,34,0,33.05664798244834,33.05664798244834,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[45, 29, 37, 41, 49, 43, 67, 39, 46, 80]",[],0,0,0,0,0,0,0,0,11,C,1,6.0,nsgrand,2,1,0,0,1,1,0,2.891481010010466,0.022760010324418545,0.0,0,18,1,2,0.9791563749313354,5.611707456409931e-05,ai,ai_success,standard,[2],"[0, 1, 2]","[29, 39, 45, 67, 73, 37, 80, 19, 79, 58]","[1.8470906070433557e-05, 0.0006150692352093756, 0.9109804630279541, 0.08774739503860474, 0.000582419685088098, 5.611707456409931e-05]",1200,4,0,0,0,1,0,0,11,C,6.0,2,-33,-30.165166972437873,0,0,0
12,C,1,6.0,baseline,1,1,0,0,7,7,0,31.1958410020452,31.1958410020452,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[44, 59, 48, 35, 47, 60, 45, 50, 2, 42]",[],0,0,0,0,0,0,0,0,12,C,1,6.0,nsgrand,1,1,0,0,1,1,0,1.442161010345444,0.019319995772093534,0.0,0,18,1,1,0.9967548251152039,0.00015512327081523836,ai,ai_success,standard,[1],"[0, 1, 2]","[45, 35, 0, 49, 39, 48, 44, 89, 2, 38]","[0.0007425104267895222, 0.9959173798561096, 0.0030722729861736298, 7.881495548645034e-05, 3.3807202271418646e-05, 0.00015512327081523836]",1200,4,0,0,0,1,0,0,12,C,6.0,1,-6,-29.753679991699755,0,0,0
