figure,title,pdf,png,csv
fig01_bler_profiles_log,BLER vs SNR across profiles,fig01_bler_profiles_log.pdf,fig01_bler_profiles_log.png,fig01_bler_profiles_log.csv
fig02_bler_ldpc_log,BLER of BP-family baselines and hybrid,fig02_bler_ldpc_log.pdf,fig02_bler_ldpc_log.png,fig02_bler_ldpc_log.csv
fig03_bler_grand_family_log,BLER of rescue-stage GRAND variants,fig03_bler_grand_family_log.pdf,fig03_bler_grand_family_log.png,fig03_bler_grand_family_log.csv
fig04_avg_latency_profiles,Average latency vs SNR across profiles,fig04_avg_latency_profiles.pdf,fig04_avg_latency_profiles.png,fig04_avg_latency_profiles.csv
fig05_p95_latency_profiles,p95 latency vs SNR across profiles,fig05_p95_latency_profiles.pdf,fig05_p95_latency_profiles.png,fig05_p95_latency_profiles.csv
fig06_avg_queries_rescue_family,Average rescue queries across GRAND variants,fig06_avg_queries_rescue_family.pdf,fig06_avg_queries_rescue_family.png,fig06_avg_queries_rescue_family.csv
fig07_bler_latency_tradeoff,Mean BLER-latency tradeoff,fig07_bler_latency_tradeoff.pdf,fig07_bler_latency_tradeoff.png,fig07_bler_latency_tradeoff.csv
fig08_hybrid_gain_vs_mainbp,Hybrid BLER gain vs bp_nms_20,fig08_hybrid_gain_vs_mainbp.pdf,fig08_hybrid_gain_vs_mainbp.png,fig08_hybrid_gain_vs_mainbp.csv
fig09_action_breakdown,Hybrid action breakdown,fig09_action_breakdown.pdf,fig09_action_breakdown.png,fig09_action_breakdown.csv
fig10_tail_high_snr_log,High-SNR tail BLER,fig10_tail_high_snr_log.pdf,fig10_tail_high_snr_log.png,fig10_tail_high_snr_log.csv
