baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
10,E,2,0.0,baseline,15,0,1,15,2499,2499,0,55.554324004333466,55.554324004333466,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[92, 84, 57, 47, 10, 108, 79, 73, 117, 65]",[],0,0,0,0,0,0,0,0,10,E,2,0.0,nsgrand,15,0,1,15,3999,0,3999,187.9830269899685,0.0,186.20159800047986,1,0,-1,5,0.0009083157638087869,0.9998518228530884,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,10,E,0.0,15,1500,132.42870298563503,0,0,0
11,E,2,0.0,baseline,9,0,1,9,2499,2499,0,56.202970998128876,56.202970998128876,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[73, 106, 38, 20, 64, 46, 4, 48, 58, 10]",[],0,0,0,0,0,0,0,0,11,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,192.95559500460513,0.0,190.87783800205216,1,0,-1,5,0.0011367248371243477,0.9997677206993103,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,11,E,0.0,9,1500,136.75262400647625,0,0,0
12,E,2,0.0,baseline,10,0,1,10,2499,2499,0,57.77645998750813,57.77645998750813,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[71, 69, 80, 84, 82, 76, 16, 122, 120, 70]",[],0,0,0,0,0,0,0,0,12,E,2,0.0,nsgrand,10,0,1,10,3999,0,3999,194.88111298414879,0.0,192.85237599979155,1,0,-1,5,0.0027081873267889023,0.9997062087059021,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,12,E,0.0,10,1500,137.10465299664065,0,0,0
13,E,2,0.0,baseline,12,0,1,12,2499,2499,0,56.55589699745178,56.55589699745178,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[127, 85, 100, 75, 56, 44, 13, 112, 66, 43]",[],0,0,0,0,0,0,0,0,13,E,2,0.0,nsgrand,12,0,1,12,3999,0,3999,189.59305601310916,0.0,187.87333799991757,1,0,-1,5,0.000951158523093909,0.9998492002487183,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,13,E,0.0,12,1500,133.03715901565738,0,0,0
14,E,2,0.0,baseline,8,0,1,8,2499,2499,0,56.851997011108324,56.851997011108324,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[69, 99, 118, 75, 114, 59, 108, 9, 73, 65]",[],0,0,0,0,0,0,0,0,14,E,2,0.0,nsgrand,8,0,1,8,3999,0,3999,191.05546700302511,0.0,189.3656269821804,1,0,-1,5,0.002193635795265436,0.9991803765296936,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,14,E,0.0,8,1500,134.2034699919168,0,0,0
15,E,2,0.0,baseline,9,0,1,9,2499,2499,0,55.902621999848634,55.902621999848634,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[60, 36, 121, 81, 108, 114, 31, 38, 70, 44]",[],0,0,0,0,0,0,0,0,15,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,193.61656002001837,0.0,191.80511200102046,1,0,-1,5,0.0023081540130078793,0.9996917247772217,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,15,E,0.0,9,1500,137.71393802016973,0,0,0
16,E,2,0.0,baseline,9,0,1,9,2499,2499,0,56.47311799111776,56.47311799111776,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[118, 7, 12, 99, 44, 122, 91, 34, 9, 97]",[],0,0,0,0,0,0,0,0,16,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,195.08094099001028,0.0,193.12648399500176,1,0,-1,5,0.0016140139196068048,0.9996862411499023,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,16,E,0.0,9,1500,138.60782299889252,0,0,0
17,E,2,0.0,baseline,12,0,1,12,2499,2499,0,56.27063900465146,56.27063900465146,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[114, 23, 116, 81, 47, 83, 126, 84, 105, 27]",[],0,0,0,0,0,0,0,0,17,E,2,0.0,nsgrand,12,0,1,12,3999,0,3999,195.0980219990015,0.0,193.33360198652372,1,0,-1,5,0.0009139969479292631,0.9997748732566833,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,17,E,0.0,12,1500,138.82738299435005,0,0,0
18,E,2,0.0,baseline,10,0,1,10,2499,2499,0,56.416818988509476,56.416818988509476,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[116, 13, 9, 127, 77, 54, 35, 105, 48, 37]",[],0,0,0,0,0,0,0,0,18,E,2,0.0,nsgrand,10,0,1,10,3999,0,3999,190.53688101121224,0.0,188.85086101363413,1,0,-1,5,0.0019325073808431625,0.9996834993362427,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,18,E,0.0,10,1500,134.12006202270277,0,0,0
19,E,2,0.0,baseline,10,0,1,10,2499,2499,0,56.9942950096447,56.9942950096447,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[97, 28, 69, 13, 9, 81, 2, 18, 119, 40]",[],0,0,0,0,0,0,0,0,19,E,2,0.0,nsgrand,10,0,1,10,3999,0,3999,193.98061899119057,0.0,191.92978099454194,1,0,-1,5,0.0014624664327129722,0.9996193647384644,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,19,E,0.0,10,1500,136.98632398154587,0,0,0
20,E,2,0.0,baseline,9,0,1,9,2499,2499,0,56.07640100060962,56.07640100060962,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[99, 76, 93, 121, 28, 23, 69, 30, 4, 109]",[],0,0,0,0,0,0,0,0,20,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,193.61632998334244,0.0,191.70048300293274,1,0,-1,5,0.001508641871623695,0.9994840621948242,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,20,E,0.0,9,1500,137.53992898273282,0,0,0
21,E,2,0.0,baseline,12,0,1,12,2499,2499,0,55.9437719930429,55.9437719930429,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[99, 61, 109, 85, 3, 92, 78, 12, 35, 72]",[],0,0,0,0,0,0,0,0,21,E,2,0.0,nsgrand,12,0,1,12,3999,0,3999,190.78264801646583,0.0,189.0327199944295,1,0,-1,5,0.001611947431229055,0.9997827410697937,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,21,E,0.0,12,1500,134.83887602342293,0,0,0
