epoch,train_loss,val_loss,val_weight_acc,val_std_brier,val_rescue_acc,lr,train_samples_seen,val_samples_seen
1,1.8284538865934872,1.433028451183386,0.9431195175438597,0.009858030017073216,0.9912280701754386,0.001,36000,7200
2,1.4122624557914463,1.324457467648021,0.9459978070175439,0.008849124823443657,0.9912280701754386,0.001,36000,7200
3,1.3716972749283973,1.3248429172917415,0.9413377192982456,0.00853761734048787,0.9912280701754386,0.001,36000,7200
4,1.2996235912573253,1.2446595995049727,0.9480537280701754,0.006810375784928175,0.9912280701754386,0.001,36000,7200
5,1.2759279287453238,1.2252436186137952,0.9520285087719298,0.006755586671747631,0.9912280701754386,0.001,36000,7200
6,1.2632696607434157,1.215052891195866,0.9451754385964912,0.007467563042921124,0.9912280701754386,0.001,36000,7200
7,1.227428969762004,1.2260605159558748,0.9520285087719298,0.006900762875151837,0.9912280701754386,0.001,36000,7200
8,1.2283486406853859,1.2136259999191552,0.9587445175438597,0.0063921827427851925,0.9912280701754386,0.001,36000,7200
9,1.2083789169365633,1.2172577757584422,0.9555921052631579,0.006491993398077811,0.9912280701754386,0.001,36000,7200
10,1.2057173577606255,1.2047116003538434,0.9517543859649122,0.006464443720687996,0.9912280701754386,0.001,36000,7200
11,1.1836381005057206,1.1886591179329051,0.9584703947368421,0.005449250951801731,0.9912280701754386,0.001,36000,7200
12,1.1802738735861813,1.1966787932211893,0.9572368421052632,0.0065328050341281994,0.9912280701754386,0.001,36000,7200
13,1.1727717518806458,1.1925850709279378,0.9653234649122807,0.005640775336966423,0.9912280701754386,0.001,36000,7200
14,1.1735002085672204,1.2029188892297578,0.9636787280701754,0.005128415221969063,0.9912280701754386,0.001,36000,7200
15,1.1627280690991286,1.1669972528491104,0.9625822368421053,0.00607899974407669,0.9912280701754386,0.001,36000,7200
16,1.1694746575456985,1.1652267815773947,0.9640899122807017,0.004898832860891289,0.9912280701754386,0.001,36000,7200
17,1.150194750187245,1.1544977531098484,0.9623081140350878,0.0041201364721704875,0.9912280701754386,0.001,36000,7200
18,1.1384272156877722,1.1491877593492206,0.9679276315789473,0.0032368360424136584,0.9915021929824561,0.001,36000,7200
19,1.1397062210326498,1.1542046613860548,0.9605263157894737,0.004192719470805522,0.9923245614035088,0.001,36000,7200
20,1.1574866340515462,1.1499602041746442,0.9638157894736842,0.002397455492250469,0.9930098684210527,0.001,36000,7200
21,1.1418650310935703,1.1369407908958302,0.9662828947368421,0.003702273505925939,0.9930098684210527,0.001,36000,7200
22,1.1378941070948931,1.1465276416979338,0.9665570175438597,0.0025764912326040027,0.9949287280701754,0.001,36000,7200
23,1.1331215631877276,1.1196110875982987,0.9664199561403509,0.0020557004508270594,0.9953399122807017,0.001,36000,7200
24,1.134296918168981,1.1528149508593375,0.953125,0.003203390551387305,0.9945175438596491,0.001,36000,7200
25,1.1294559756069318,1.1655027719966151,0.9661458333333334,0.002617990406910053,0.9958881578947368,0.001,36000,7200
26,1.1351148135273168,1.126294215520223,0.9654605263157895,0.003517509197376817,0.9941063596491229,0.001,36000,7200
27,1.1262087838869568,1.1213004860961646,0.9684758771929824,0.0017440255382376677,0.9964364035087719,0.001,36000,7200
28,1.1200816656680816,1.1284669658593964,0.965734649122807,0.0022079177598859708,0.9964364035087719,0.0005,36000,7200
29,1.0907490424653317,1.1009360489092375,0.9634046052631579,0.001589722111983667,0.9965734649122807,0.0005,36000,7200
30,1.0755009076274034,1.0962818965577243,0.9713541666666666,0.0010658384451924484,0.996984649122807,0.0005,36000,7200
31,1.0736394993802334,1.0912038338811774,0.9710800438596491,0.0011571988772089046,0.9973958333333334,0.0005,36000,7200
32,1.0670843502731189,1.0826910525037532,0.9688870614035088,0.001516246648110079,0.9976699561403509,0.0005,36000,7200
33,1.0645895875092093,1.0849799691585071,0.9702576754385965,0.0013458335499011995,0.9968475877192983,0.0005,36000,7200
34,1.0688281226242689,1.0860531309194732,0.9679276315789473,0.0015809570515283866,0.996984649122807,0.0005,36000,7200
35,1.0558692895351571,1.0938144535349126,0.9679276315789473,0.0011344226619870777,0.9976699561403509,0.0005,36000,7200
36,1.0703923683217231,1.0869375425472594,0.96875,0.001256666845691132,0.9968475877192983,0.0005,36000,7200
37,1.0574583056125235,1.0871810411152087,0.9719024122807017,0.00147138785060936,0.996984649122807,0.00025,36000,7200
38,1.0418643051005425,1.083227889579639,0.9714912280701754,0.0011593181945151417,0.9968475877192983,0.00025,36000,7200
39,1.0364611229152545,1.0784433400421811,0.9716282894736842,0.0008866154108406458,0.9973958333333334,0.00025,36000,7200
40,1.0354037880897522,1.07339010113164,0.9721765350877193,0.0010782566573154307,0.9975328947368421,0.00025,36000,7200
41,1.040616860837801,1.081117622685014,0.9710800438596491,0.001036101108284446,0.9973958333333334,0.00025,36000,7200
42,1.0309262436332431,1.0805405012348241,0.9697094298245614,0.0011191641372793135,0.9976699561403509,0.00025,36000,7200
43,1.0303652333029618,1.0783817224335253,0.9713541666666666,0.0012277613811827284,0.9971217105263158,0.00025,36000,7200
44,1.0360861813768427,1.1048805494057505,0.9688870614035088,0.000844154397134452,0.9975328947368421,0.00025,36000,7200
45,1.0271399868718276,1.0836285195852582,0.9710800438596491,0.0011524079553022685,0.9973958333333334,0.000125,36000,7200
46,1.0213280453326854,1.0792864906160455,0.9705317982456141,0.001170324276082977,0.9976699561403509,0.000125,36000,7200
47,1.017503762498815,1.084775121588456,0.9724506578947368,0.001112329217825053,0.9975328947368421,0.000125,36000,7200
48,1.016784297870406,1.0879493554433186,0.9708059210526315,0.001110444892001271,0.9978070175438597,0.000125,36000,7200
