sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,A,0,-2.0,baseline,28,0,1,28,2499,2499,0,95.26237705722451,95.26237705722451,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[57, 18, 118, 22, 5, 35, 60, 43, 15, 6]",[],0,0,0,0,0,0,0,0
0,A,0,-2.0,nsgrand,28,0,1,28,0,0,0,1137.5412370543927,1137.5412370543927,0.0,0,0,-1,5,0.0001491726579843089,0.9999392032623291,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,A,0,-2.0,strong_symbolic,28,0,1,28,3999,3999,0,226.10844182781875,226.10844182781875,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[57, 18, 118, 22, 5, 35, 60, 43, 15, 6]",[],0,0,0,0,0,0,0,0
1,A,0,-2.0,baseline,15,0,1,15,2499,2499,0,55.007604882121086,55.007604882121086,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[25, 12, 61, 56, 3, 95, 126, 19, 122, 120]",[],0,0,0,0,0,0,0,0
1,A,0,-2.0,nsgrand,15,0,1,15,0,0,0,1.47093809209764,1.47093809209764,0.0,0,0,-1,5,0.00048791064182296395,0.9997346997261047,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
1,A,0,-2.0,strong_symbolic,15,0,1,15,3999,3999,0,194.76565020158887,194.76565020158887,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[25, 12, 61, 56, 3, 95, 126, 19, 122, 120]",[],0,0,0,0,0,0,0,0
2,A,0,-2.0,baseline,18,0,1,18,2499,2499,0,55.83998886868358,55.83998886868358,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[21, 40, 27, 28, 114, 118, 65, 61, 101, 88]",[],0,0,0,0,0,0,0,0
2,A,0,-2.0,nsgrand,18,0,1,18,0,0,0,1.4296290464699268,1.4296290464699268,0.0,0,0,-1,5,0.0002505947486497462,0.9998838901519775,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
2,A,0,-2.0,strong_symbolic,18,0,1,18,3999,3999,0,195.1036478858441,195.1036478858441,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[21, 40, 27, 28, 114, 118, 65, 61, 101, 88]",[],0,0,0,0,0,0,0,0
3,A,0,-2.0,baseline,20,0,1,20,2499,2499,0,55.591420037671924,55.591420037671924,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[4, 107, 121, 26, 7, 126, 14, 1, 16, 109]",[],0,0,0,0,0,0,0,0
3,A,0,-2.0,nsgrand,20,0,1,20,0,0,0,1.5527778305113316,1.5527778305113316,0.0,0,0,-1,5,0.00022923991491552442,0.9999186992645264,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
3,A,0,-2.0,strong_symbolic,20,0,1,20,3999,3999,0,191.04484003037214,191.04484003037214,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[4, 107, 121, 26, 7, 126, 14, 1, 16, 109]",[],0,0,0,0,0,0,0,0
4,A,0,-2.0,baseline,17,0,1,17,2499,2499,0,54.19779219664633,54.19779219664633,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[38, 103, 10, 63, 32, 47, 43, 2, 119, 105]",[],0,0,0,0,0,0,0,0
4,A,0,-2.0,nsgrand,17,0,1,17,0,0,0,1.3969088904559612,1.3969088904559612,0.0,0,0,-1,5,0.00020476916688494384,0.9999158382415771,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
4,A,0,-2.0,strong_symbolic,17,0,1,17,3999,3999,0,189.74723014980555,189.74723014980555,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[38, 103, 10, 63, 32, 47, 43, 2, 119, 105]",[],0,0,0,0,0,0,0,0
