profile,profile_id,snr_db,decoder,true_error_weight,block_error,bit_errors,queries,elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,stage
A,0,-4.0,nsgrand,29,1,29,1799,73.54387000668794,1,18,0,5,3.268337604822591e-05,baseline_fail
A,0,-4.0,baseline,31,1,31,2499,55.61692200717516,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,31,1,31,1799,71.69073901604861,1,18,0,5,3.850135180982761e-05,baseline_fail
A,0,-4.0,baseline,30,1,30,2499,56.94888299331069,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,30,1,30,1799,71.42943900544196,1,18,0,5,3.240270234527998e-05,baseline_fail
A,0,-4.0,baseline,18,1,18,2499,55.847642972366884,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,18,1,18,1799,70.79794799210504,1,18,0,5,5.152617086423561e-05,baseline_fail
A,0,-4.0,baseline,15,1,15,2499,58.272864000173286,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,15,1,15,1799,69.89374800468795,1,18,0,5,6.102410043240525e-05,baseline_fail
A,0,-4.0,baseline,24,1,24,2499,55.064412008505315,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,24,1,24,1799,70.65359901753254,1,18,0,5,4.256194370100275e-05,baseline_fail
A,0,-4.0,baseline,32,1,32,2499,54.254171991487965,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,32,1,32,1799,70.2070880215615,1,18,0,5,5.295682785799727e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,53.99043200304732,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,71.52629899792373,1,18,0,5,4.453193469089456e-05,baseline_fail
A,0,-4.0,baseline,24,1,24,2499,55.574431986315176,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,24,1,24,1799,70.01685799332336,1,18,0,5,3.109619137831032e-05,baseline_fail
A,0,-4.0,baseline,30,1,30,2499,55.31066298135556,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,30,1,30,1799,70.89015800738707,1,18,0,5,2.9736425858573057e-05,baseline_fail
A,0,-4.0,baseline,24,1,24,2499,54.81593299191445,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,24,1,24,1799,69.51858699903823,1,18,0,5,4.180192991043441e-05,baseline_fail
A,0,-4.0,baseline,20,1,20,2499,55.55591199663468,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,20,1,20,1799,68.57757800025865,1,18,0,5,4.155998249188997e-05,baseline_fail
A,0,-4.0,baseline,27,1,27,2499,55.345842003589496,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,27,1,27,1799,72.21207898692228,1,18,0,5,3.61612401320599e-05,baseline_fail
A,0,-4.0,baseline,24,1,24,2499,56.21738301124424,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,24,1,24,1799,70.24389802245423,1,18,0,5,3.995278166257776e-05,baseline_fail
A,0,-4.0,baseline,24,1,24,2499,56.762163003440946,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,24,1,24,1799,67.90912701399066,1,18,0,5,3.58903816959355e-05,baseline_fail
A,0,-4.0,baseline,28,1,28,2499,54.218981007579714,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,28,1,28,1799,69.64852899545804,1,18,0,5,3.334002394694835e-05,baseline_fail
A,0,-4.0,baseline,29,1,29,2499,57.603993016527966,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,29,1,29,1799,69.60978798451833,1,18,0,5,5.213997428654693e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,55.40946198743768,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,70.58798900106922,1,18,0,5,4.0975854062708095e-05,baseline_fail
A,0,-4.0,baseline,17,1,17,2499,54.485011991346255,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,17,1,17,1799,68.97549802670255,1,18,0,5,7.301674486370757e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,55.496451997896656,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,72.91938900016248,1,18,0,5,3.887768616550602e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,54.149340983713046,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,70.01994899474084,1,18,0,5,5.887702718609944e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,57.460323005216196,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,68.15450699650683,1,18,0,5,4.425915903993882e-05,baseline_fail
A,0,-4.0,baseline,25,1,25,2499,54.28655201103538,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,25,1,25,1799,70.00478901318274,1,18,0,5,3.884796387865208e-05,baseline_fail
A,0,-4.0,baseline,22,1,22,2499,57.885102985892445,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,22,1,22,1799,69.44565798039548,1,18,0,5,5.2317886002128944e-05,baseline_fail
A,0,-4.0,baseline,27,1,27,2499,55.1244719827082,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,27,1,27,1799,70.7570289960131,1,18,0,5,4.2826875869650394e-05,baseline_fail
A,0,-4.0,baseline,25,1,25,2499,54.67192200012505,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,25,1,25,1799,69.1732779960148,1,18,0,5,3.758805905818008e-05,baseline_fail
A,0,-4.0,baseline,36,1,36,2499,55.67353201331571,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,36,1,36,1799,71.83495900244452,1,18,0,5,3.108581222477369e-05,baseline_fail
A,0,-4.0,baseline,28,1,28,2499,54.88538299687207,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,28,1,28,1799,70.14364801580086,1,18,0,5,3.859583011944778e-05,baseline_fail
A,0,-4.0,baseline,24,1,24,2499,57.34745299560018,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,24,1,24,1799,68.53220800985582,1,18,0,5,4.199187605991028e-05,baseline_fail
A,0,-4.0,baseline,27,1,27,2499,54.569122003158554,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,27,1,27,1799,69.49791798251681,1,18,0,5,3.353312786202878e-05,baseline_fail
A,0,-4.0,baseline,21,1,21,2499,57.517703011399135,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,21,1,21,1799,70.05935799679719,1,18,0,5,5.583202437264845e-05,baseline_fail
A,0,-4.0,baseline,31,1,31,2499,55.15943298814818,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,31,1,31,1799,71.82407900108956,1,18,0,5,3.621327778091654e-05,baseline_fail
A,0,-4.0,baseline,21,1,21,2499,54.467571986606345,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,21,1,21,1799,68.6254070024006,1,18,0,5,4.906902177026495e-05,baseline_fail
A,0,-4.0,baseline,28,1,28,2499,55.56533299386501,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,28,1,28,1799,72.05909900949337,1,18,0,5,3.7614809116348624e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,56.54500299715437,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,69.70652801101096,1,18,0,5,4.264596282155253e-05,baseline_fail
A,0,-4.0,baseline,19,1,19,2499,55.487751989858225,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,19,1,19,1799,69.80536799528636,1,18,0,5,5.7081564591499045e-05,baseline_fail
A,0,-4.0,baseline,18,1,18,2499,54.27398098981939,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,18,1,18,1799,69.76363799185492,1,18,0,5,4.95553103974089e-05,baseline_fail
A,0,-4.0,baseline,25,1,25,2499,57.75063397595659,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,25,1,25,1799,69.96988799073733,1,18,0,5,4.322145105106756e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,55.2862920158077,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,70.89731900487095,1,18,0,5,5.28930795553606e-05,baseline_fail
A,0,-4.0,baseline,40,1,40,2499,53.80509200040251,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,40,1,40,1799,68.07808700250462,1,18,0,5,3.1065039365785196e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,55.20546299521811,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,72.49986901297234,1,18,0,5,4.6122684580041096e-05,baseline_fail
A,0,-4.0,baseline,27,1,27,2499,54.35349201434292,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,27,1,27,1799,69.93479799712077,1,18,0,5,3.665131953312084e-05,baseline_fail
A,0,-4.0,baseline,30,1,30,2499,57.479133014567196,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,30,1,30,1799,68.82108800346032,1,18,0,5,5.809182766824961e-05,baseline_fail
A,0,-4.0,baseline,19,1,19,2499,54.77754198363982,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,19,1,19,1799,70.21316801547073,1,18,0,5,5.468238305184059e-05,baseline_fail
A,0,-4.0,baseline,25,1,25,2499,58.055403002072126,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,25,1,25,1799,70.77278901124373,1,18,0,5,4.6253815526142716e-05,baseline_fail
A,0,-4.0,baseline,33,1,33,2499,56.49620198528282,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,33,1,33,1799,72.34784899628721,1,18,0,5,4.969917790731415e-05,baseline_fail
A,0,-4.0,baseline,38,1,38,2499,54.714252008125186,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,38,1,38,1799,69.42888800404035,1,18,0,5,3.673312676255591e-05,baseline_fail
A,0,-4.0,baseline,33,1,33,2499,55.22347200894728,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,33,1,33,1799,71.69741901452653,1,18,0,5,2.9998753234394826e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,54.41758199594915,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,70.12828800361603,1,18,0,5,4.7015964810270816e-05,baseline_fail
A,0,-4.0,baseline,30,1,30,2499,56.19886299245991,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,30,1,30,1799,68.55373800499365,1,18,0,5,3.6553581594489515e-05,baseline_fail
A,0,-4.0,baseline,33,1,33,2499,55.40627200389281,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,33,1,33,1799,71.22540898853913,1,18,0,5,3.978544918936677e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,56.62703298730776,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,69.8125580092892,1,18,0,5,3.583429133868776e-05,baseline_fail
A,0,-4.0,baseline,32,1,32,2499,55.45539199374616,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,32,1,32,1799,70.01810899237171,1,18,0,5,3.2196079700952396e-05,baseline_fail
A,0,-4.0,baseline,19,1,19,2499,54.536291980184615,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,19,1,19,1799,70.04763800068758,1,18,0,5,5.59380860067904e-05,baseline_fail
A,0,-4.0,baseline,17,1,17,2499,58.30299298395403,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,17,1,17,1799,69.50919798691757,1,18,0,5,7.181381806731224e-05,baseline_fail
A,0,-4.0,baseline,27,1,27,2499,55.6225829932373,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,27,1,27,1799,70.99791799555533,1,18,0,5,4.760436786455102e-05,baseline_fail
A,0,-4.0,baseline,16,1,16,2499,54.52160202548839,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,16,1,16,1799,69.42222799989395,1,18,0,5,4.272680962458253e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,54.09984101424925,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,71.97197899222374,1,18,0,5,3.8809193938504905e-05,baseline_fail
A,0,-4.0,baseline,25,1,25,2499,54.56818200764246,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,25,1,25,1799,70.45059799565934,1,18,0,5,3.398843182367273e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,58.00284299766645,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,68.37280798936263,1,18,0,5,3.751529220608063e-05,baseline_fail
A,0,-4.0,baseline,32,1,32,2499,54.773322015535086,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,32,1,32,1799,70.64350898144767,1,18,0,5,3.412285150261596e-05,baseline_fail
A,0,-4.0,baseline,29,1,29,2499,58.39299299987033,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,29,1,29,1799,69.34955800534226,1,18,0,5,3.088176163146272e-05,baseline_fail
A,0,-4.0,baseline,33,1,33,2499,55.642813007580116,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,33,1,33,1799,71.52807898819447,1,18,0,5,3.852015652228147e-05,baseline_fail
A,0,-4.0,baseline,15,1,15,2499,54.88549201982096,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,15,1,15,1799,70.28267800342292,1,18,0,5,5.8616635215003043e-05,baseline_fail
A,0,-4.0,baseline,18,1,18,2499,55.077842000173405,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,18,1,18,1799,72.48892998904921,1,18,0,5,5.727709867642261e-05,baseline_fail
A,0,-4.0,baseline,23,1,23,2499,54.25392198958434,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,23,1,23,1799,69.65447799302638,1,18,0,5,3.867888153763488e-05,baseline_fail
A,0,-4.0,baseline,21,1,21,2499,56.54546298319474,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,21,1,21,1799,68.88204699498601,1,18,0,5,4.449156767805107e-05,baseline_fail
A,0,-4.0,baseline,26,1,26,2499,54.464261018438265,0,24,0,-1,,baseline_fail
A,0,-4.0,nsgrand,26,1,26,1799,69.89282800350338,1,18,0,5,3.4686676372075453e-05,baseline_fail
