profile,snr_db,decoder,samples,frame_errors,payload_frame_errors,fer,bler,payload_fer,ber_internal,payload_ber,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,avg_latency_ms,crc_fail_rate,framework,num_gpus,weights_used,channel_type,modulation,perfect_csi,equalizer,avg_crc_valid_candidates,avg_parity_valid_candidates
AWGN,2.0,hybrid_bp_nsg,300,18,18,0.06,0.06,0.06,0.0129337899543379,0.014010416666666666,1322.2033333333334,6505.0,0.14333333333333334,0.0,0.7966666666666666,442.715164818801,0.06,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.94,1.35
AWGN,2.0,bp_nms_20,300,61,55,0.20333333333333334,0.20333333333333334,0.18333333333333332,0.01886986301369863,0.021536458333333335,0.0,0.0,0.0,0.0,0.7966666666666666,114.20942695190509,0.20333333333333334,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,2.0,bp_nms_50,300,28,28,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.012865296803652969,0.015247395833333333,0.0,0.0,0.0,0.0,0.9066666666666666,144.8204441353058,0.09333333333333334,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_smoke/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
