baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_policy_action,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,C,1,6.0,baseline,18,0,1,18,2499,2499,0,94.84916995279491,94.84916995279491,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[80, 71, 69, 74, 85, 68, 89, 75, 65, 73]",[],0,0,0,0,0,0,0,0,0,C,1,6.0,nsgrand,18,0,1,18,0,0,0,1137.9878339357674,1137.9878339357674,0.0,0,0,-1,5,0.0023544311989098787,0.9997218251228333,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,0,C,6.0,18,baseline,nsgrand,-2499,1043.1386639829725,0,0,0
1,C,1,6.0,baseline,0,1,0,0,0,0,0,16.354131046682596,16.354131046682596,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0,1,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.013750046491622925,0.013750046491622925,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,1,C,6.0,0,baseline,nsgrand,0,-16.340381000190973,0,0,0
2,C,1,6.0,baseline,0,1,0,0,0,0,0,0.009810086339712143,0.009810086339712143,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0,2,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.009170034900307655,0.009170034900307655,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,2,C,6.0,0,baseline,nsgrand,0,-0.0006400514394044876,0,0,0
3,C,1,6.0,baseline,1,1,0,0,2,2,0,32.74912107735872,32.74912107735872,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[33, 30, 40, 58, 59, 55, 51, 48, 62, 12]",[],0,0,0,0,0,0,0,0,3,C,1,6.0,nsgrand,1,1,0,0,1,1,0,4.05545812100172,0.02362998202443123,0.0,0,18,1,1,0.988122284412384,0.00040462592733092606,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[30, 48, 85, 59, 43, 62, 12, 33, 16, 40]","[0.0003370630438439548, 0.9269964694976807, 0.0714077353477478, 0.0006524084601551294, 0.00020162486180197448, 0.00040462592733092606]",1200,4,0,0,0,1,0,0,3,C,6.0,1,baseline,nsgrand,-1,-28.693662956357002,0,0,0
4,C,1,6.0,baseline,1,1,0,0,1,1,0,33.96447212435305,33.96447212435305,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[120, 60, 57, 4, 16, 36, 50, 56, 62, 59]",[],0,0,0,0,0,0,0,0,4,C,1,6.0,nsgrand,1,1,0,0,1,1,0,2.3151009809225798,0.02440018579363823,0.0,0,18,1,1,0.9948700666427612,5.108591358293779e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 3]","[120, 36, 51, 16, 50, 48, 52, 121, 24, 4]","[0.0002871225879061967, 0.9980546236038208, 0.0015546054346486926, 2.396601121290587e-05, 2.875315294659231e-05, 5.108591358293779e-05]",1200,4,0,0,0,1,0,0,4,C,6.0,1,baseline,nsgrand,0,-31.64937114343047,0,0,0
5,C,1,6.0,baseline,1,1,0,0,1,1,0,32.735401997342706,32.735401997342706,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[66, 102, 4, 68, 67, 75, 70, 88, 84, 107]",[],0,0,0,0,0,0,0,0,5,C,1,6.0,nsgrand,1,1,0,0,1,1,0,2.2548420820385218,0.02122996374964714,0.0,0,18,1,1,0.9962148070335388,4.2873518395936117e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[66, 51, 102, 67, 88, 84, 68, 70, 107, 75]","[0.00036572475801222026, 0.9981997013092041, 0.0013457926688715816, 2.015731115534436e-05, 2.582204615464434e-05, 4.2873518395936117e-05]",1200,4,0,0,0,1,0,0,5,C,6.0,1,baseline,nsgrand,0,-30.480559915304184,0,0,0
6,C,1,6.0,baseline,0,1,0,0,0,0,0,0.0189200509339571,0.0189200509339571,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0,6,C,1,6.0,nsgrand,0,1,0,0,0,0,0,0.010730000212788582,0.010730000212788582,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0,6,C,6.0,0,baseline,nsgrand,0,-0.008190050721168518,0,0,0
7,C,1,6.0,baseline,2,1,0,0,6,6,0,32.51043311320245,32.51043311320245,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[43, 31, 23, 127, 6, 25, 29, 18, 39, 40]",[],0,0,0,0,0,0,0,0,7,C,1,6.0,nsgrand,2,1,0,0,1,1,0,2.549419179558754,0.02129911445081234,0.0,0,18,1,2,0.9766715168952942,9.972326370188966e-05,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[23, 31, 127, 55, 15, 125, 43, 39, 42, 7]","[3.757797821890563e-05, 0.004458811599761248, 0.9769750833511353, 0.018113045021891594, 0.00031587827834300697, 9.972326370188966e-05]",1200,4,0,0,0,1,0,0,7,C,6.0,2,baseline,nsgrand,-5,-29.9610139336437,0,0,0
8,C,1,6.0,baseline,2,1,0,0,22,22,0,32.55935199558735,32.55935199558735,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[26, 32, 23, 28, 19, 29, 35, 25, 30, 22]",[],0,0,0,0,0,0,0,0,8,C,1,6.0,nsgrand,2,1,0,0,1,1,0,2.1347629372030497,0.021038809791207314,0.0,0,18,1,2,0.8642124533653259,0.0006065599154680967,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[25, 26, 27, 35, 9, 72, 68, 44, 32, 65]","[1.921278453664854e-05, 0.0006381070706993341, 0.8991401195526123, 0.09754467010498047, 0.0020511967595666647, 0.0006065599154680967]",1200,4,0,0,0,1,0,0,8,C,6.0,2,baseline,nsgrand,-21,-30.4245890583843,0,0,0
9,C,1,6.0,baseline,1,1,0,0,1,1,0,32.2330049239099,32.2330049239099,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[45, 38, 39, 31, 28, 75, 41, 22, 58, 69]",[],0,0,0,0,0,0,0,0,9,C,1,6.0,nsgrand,1,1,0,0,1,1,0,2.0944741554558277,0.01989002339541912,0.0,0,18,1,1,0.9973415732383728,6.045735062798485e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 4]","[45, 39, 75, 69, 49, 38, 31, 48, 76, 73]","[0.0007719362038187683, 0.9969539642333984, 0.0021380004473030567, 3.6660108889918774e-05, 3.900048977811821e-05, 6.045735062798485e-05]",1200,4,0,0,0,1,0,0,9,C,6.0,1,baseline,nsgrand,0,-30.138530768454075,0,0,0
