profile,snr_db,decoder,samples,frame_errors,bler,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,avg_latency_ms,crc_fail_rate,framework,num_gpus,weights_used,avg_crc_valid_candidates,avg_parity_valid_candidates
A,0.0,bp_nms_20,4000,3993,0.99825,0.0,0.0,0.0,0.0,0.00175,70.83254740235861,0.99825,tensorflow,1,outputs/hybrid_bp_nsg_v12_pusch_crc_full/checkpoints/rescue_net_tf.best.weights.h5,,
A,0.0,bp_nms_50,4000,3983,0.99575,0.0,0.0,0.0,0.0,0.00425,175.79982748592738,0.99575,tensorflow,1,outputs/hybrid_bp_nsg_v12_pusch_crc_full/checkpoints/rescue_net_tf.best.weights.h5,,
A,0.0,hybrid_bp_nsg,4000,3988,0.997,4389.55,4400.0,0.00125,0.0,0.00175,1758.9012135880766,0.997,tensorflow,1,outputs/hybrid_bp_nsg_v12_pusch_crc_full/checkpoints/rescue_net_tf.best.weights.h5,0.003,0.003
