stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,3,3,0.0,1.6666666666666667,35.801419677833714
ai,4,7,0.14285714285714285,12.0,73.51174095778593
ai,5,2,0.5,295.0,78.3203310566023
ai,6,1,1.0,15.0,82.47480099089444
skip_hopeless,4,5,1.0,0.0,1.3757726177573204
skip_hopeless,5,23,1.0,0.0,1.3819659715923278
skip_hopeless,6,32,1.0,0.0,1.3972569067846052
skip_hopeless,7,57,1.0,0.0,1.3992592790409137
skip_hopeless,8,84,1.0,0.0,1.396193454552087
skip_hopeless,9,128,1.0,0.0,1.3905272735428298
skip_hopeless,10,101,1.0,0.0,1.3845271343309986
skip_hopeless,11,134,1.0,0.0,1.4005379869477517
skip_hopeless,12,125,1.0,0.0,1.400742083787918
skip_hopeless,13,124,1.0,0.0,10.356307388358418
skip_hopeless,14,94,1.0,0.0,1.3851589681778818
skip_hopeless,15,73,1.0,0.0,1.3925278597600657
skip_hopeless,16,50,1.0,0.0,1.3878440205007792
skip_hopeless,17,35,1.0,0.0,1.3788995798677206
skip_hopeless,18,39,1.0,0.0,1.3781612297185721
skip_hopeless,19,22,1.0,0.0,1.3579124881123954
skip_hopeless,20,15,1.0,0.0,1.369224302470684
skip_hopeless,21,11,1.0,0.0,1.4520479916510256
skip_hopeless,22,10,1.0,0.0,1.3926515821367502
skip_hopeless,23,8,1.0,0.0,1.3171167520340532
skip_hopeless,24,6,1.0,0.0,1.3667643846323092
skip_hopeless,25,5,1.0,0.0,1.4043145813047886
skip_hopeless,26,1,1.0,0.0,1.2663798406720161
skip_hopeless,27,2,1.0,0.0,1.402553403750062
skip_hopeless,28,1,1.0,0.0,1.4753378927707672
skip_hopeless,29,1,1.0,0.0,1.4925869181752205
skip_hopeless,31,1,1.0,0.0,1.5329571906477213
