policy_action,gate_reason,stage,search_mode,count,bler,avg_queries,avg_elapsed_ms,fallback_rate
presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,804,1.0,0.0,2.774746247870727,0.0
ai_search,ai_success,ai,standard,191,0.04712041884816754,21.3717277486911,6.798242797821526,0.0
expanded_ai_search,ai_success,ai,expanded_overflow,151,0.10596026490066225,83.24503311258277,81.79382028502246,0.0
postsearch_fallback,postsearch_exhausted,fallback_fail,expanded_overflow,27,1.0,4899.0,141.96414865242937,1.0
postsearch_fallback,postsearch_exhausted,fallback_fail,standard,10,1.0,3234.0,61.570187378674746,1.0
postsearch_fallback,postsearch_exhausted,fallback,standard,7,0.0,1013.5714285714286,43.82795015616076,1.0
hard_decision,hard_decision,hard_decision,hard_decision,5,0.0,0.0,0.010001985356211662,0.0
postsearch_fallback,postsearch_exhausted,fallback,expanded_overflow,5,0.0,3241.4,128.10360896401107,1.0
