baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_policy_action,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
10,E,2,4.0,baseline,2,1,0,0,17,17,0,30.69537994451821,30.69537994451821,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[80, 94, 75, 37, 70, 47, 85, 117, 66, 77]",[],0,0,0,0,0,0,0,0,10,E,2,4.0,nsgrand,2,1,0,0,1,1,0,2.1844508592039347,0.020120060071349144,0.0,0,18,1,2,0.9954004883766174,9.775759508556803e-07,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[80, 70, 75, 94, 85, 117, 77, 66, 114, 74]","[4.047073616675334e-06, 0.0002957183460239321, 0.9975390434265137, 0.0021430286578834057, 1.7269219824811444e-05, 9.775759508556803e-07]",1200,4,0,0,0,1,0,0,10,E,4.0,2,baseline,nsgrand,-16,-28.510929085314274,0,0,0
11,E,2,4.0,baseline,1,1,0,0,4,4,0,30.223643872886896,30.223643872886896,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[117, 60, 8, 126, 107, 36, 3, 39, 72, 99]",[],0,0,0,0,0,0,0,0,11,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.6450649127364159,0.018960097804665565,0.0,0,18,1,1,0.998963475227356,1.0309648132533766e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[126, 117, 107, 49, 99, 97, 70, 72, 94, 125]","[6.633346492890269e-05, 0.9981697797775269, 0.001739988219924271, 5.433807928056922e-06, 8.134614290611353e-06, 1.0309648132533766e-05]",1200,4,0,0,0,1,0,0,11,E,4.0,1,baseline,nsgrand,-3,-28.57857896015048,0,0,0
12,E,2,4.0,baseline,4,1,0,0,577,577,0,34.788534976541996,34.788534976541996,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[7, 75, 96, 58, 124, 78, 70, 66, 65, 72]",[],0,0,0,0,0,0,0,0,12,E,2,4.0,nsgrand,4,1,0,0,42,42,0,10.508887935429811,0.3709271550178528,0.0,0,18,1,3,0.8111498355865479,0.004103773273527622,ai,ai_success,standard,ai_search,"[3, 4]","[0, 1, 2]","[7, 70, 66, 64, 96, 75, 124, 78, 72, 94]","[4.376074139145203e-05, 7.0074829636723734e-06, 0.018878886476159096, 0.8320168852806091, 0.14494971930980682, 0.004103773273527622]",1200,4,0,0,0,1,0,0,12,E,4.0,4,baseline,nsgrand,-535,-24.279647041112185,0,0,0
13,E,2,4.0,baseline,4,0,1,4,2499,2499,0,50.4439570941031,50.4439570941031,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[114, 43, 6, 62, 61, 42, 101, 57, 59, 44]",[],0,0,0,0,0,0,0,0,13,E,2,4.0,nsgrand,4,1,0,0,1,1,0,84.96039384044707,0.03006984479725361,0.0,0,22,1,4,0.6525842547416687,0.4222821891307831,ai,ai_success,expanded_overflow,expanded_ai_search,"[4, 5]","[0, 1, 2, 3]","[62, 43, 44, 27, 114, 101, 111, 117, 22, 59]","[0.00016329583013430238, 2.2085202999733156e-06, 0.00013717121328227222, 0.031570106744766235, 0.5458449721336365, 0.4222821891307831]",2400,5,0,0,0,1,0,0,13,E,4.0,4,baseline,nsgrand,-2498,34.51643674634397,-1,1,0
14,E,2,4.0,baseline,1,1,0,0,9,9,0,30.82611900754273,30.82611900754273,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[114, 50, 115, 80, 36, 77, 75, 118, 106, 65]",[],0,0,0,0,0,0,0,0,14,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.802193932235241,0.018750084564089775,0.0,0,18,1,1,0.9987910389900208,1.1361426913936157e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 5]","[77, 114, 115, 80, 75, 95, 65, 118, 106, 93]","[5.913326094741933e-05, 0.9974843263626099, 0.002428551437333226, 6.94394202582771e-06, 9.632217370381113e-06, 1.1361426913936157e-05]",1200,4,0,0,0,1,0,0,14,E,4.0,1,baseline,nsgrand,-8,-29.02392507530749,0,0,0
15,E,2,4.0,baseline,2,1,0,0,38,38,0,30.608170898631215,30.608170898631215,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[89, 54, 48, 71, 69, 81, 70, 84, 86, 57]",[],0,0,0,0,0,0,0,0,15,E,2,4.0,nsgrand,2,1,0,0,1,1,0,1.8575240392237902,0.01843995414674282,0.0,0,18,1,2,0.9670190811157227,1.3626616237161215e-05,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[57, 89, 48, 73, 87, 71, 69, 81, 70, 84]","[1.886927566374652e-05, 0.0007176899234764278, 0.9950473308563232, 0.0041207801550626755, 8.17442632978782e-05, 1.3626616237161215e-05]",1200,4,0,0,0,1,0,0,15,E,4.0,2,baseline,nsgrand,-37,-28.750646859407425,0,0,0
16,E,2,4.0,baseline,5,0,1,5,2499,2499,0,50.33907783217728,50.33907783217728,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[42, 11, 25, 58, 122, 24, 16, 29, 47, 105]",[],0,0,0,0,0,0,0,0,16,E,2,4.0,nsgrand,5,0,1,5,0,0,0,1.4561968855559826,1.4561968855559826,0.0,0,0,-1,5,0.02767152152955532,0.9965702295303345,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,16,E,4.0,5,baseline,nsgrand,-2499,-48.8828809466213,0,0,0
17,E,2,4.0,baseline,2,1,0,0,27,27,0,31.111086951568723,31.111086951568723,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[93, 120, 0, 108, 82, 65, 3, 66, 99, 101]",[],0,0,0,0,0,0,0,0,17,E,2,4.0,nsgrand,2,1,0,0,1,1,0,2.2412200924009085,0.019269995391368866,0.0,0,18,1,2,0.9925497770309448,1.0451508387632202e-06,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[108, 65, 120, 93, 82, 66, 101, 99, 100, 125]","[2.4412327093159547e-06, 0.0003514429845381528, 0.9981226325035095, 0.0015079230070114136, 1.4547957107424736e-05, 1.0451508387632202e-06]",1200,4,0,0,0,1,0,0,17,E,4.0,2,baseline,nsgrand,-26,-28.869866859167814,0,0,0
18,E,2,4.0,baseline,1,1,0,0,2,2,0,31.112190103158355,31.112190103158355,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[101, 42, 82, 85, 12, 94, 68, 38, 99, 90]",[],0,0,0,0,0,0,0,0,18,E,2,4.0,nsgrand,1,1,0,0,1,1,0,2.1953422110527754,0.021529849618673325,0.0,0,18,1,1,0.9711319804191589,0.00019808017532341182,ai,ai_success,standard,ai_search,"[1, 2]","[0, 1, 2]","[42, 93, 38, 83, 101, 82, 12, 85, 68, 94]","[0.0001574758643982932, 0.6765845417976379, 0.32255810499191284, 0.00038741182652302086, 0.00011446696589700878, 0.00019808017532341182]",1200,4,0,0,0,1,0,0,18,E,4.0,1,baseline,nsgrand,-1,-28.91684789210558,0,0,0
19,E,2,4.0,baseline,1,1,0,0,6,6,0,30.3401960991323,30.3401960991323,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[123, 115, 93, 120, 122, 24, 109, 3, 127, 33]",[],0,0,0,0,0,0,0,0,19,E,2,4.0,nsgrand,1,1,0,0,1,1,0,1.930593978613615,0.018880004063248634,0.0,0,18,1,1,0.9897295236587524,5.3771320381201804e-05,ai,ai_success,standard,ai_search,[1],"[0, 1, 2]","[24, 121, 70, 123, 93, 115, 122, 120, 109, 127]","[6.276595377130434e-05, 0.9721049070358276, 0.027707377448678017, 4.3796098907478154e-05, 2.7389629394747317e-05, 5.3771320381201804e-05]",1200,4,0,0,0,1,0,0,19,E,4.0,1,baseline,nsgrand,-5,-28.409602120518684,0,0,0
