epoch,train_loss,val_loss,val_weight_acc,val_rescue_acc,val_std_brier,val_candidate_top1_acc,val_candidate_positive_rate,lr,train_samples_seen,val_samples_seen,framework,num_gpus
1,1.0677352789243062,0.9826246054967245,0.8750000174840291,0.9998611116409302,7.342797291964113e-06,1.0,1.0,0.0007991864113137126,36000,7200,tensorflow,1
2,0.9841399733225504,0.9693154382705689,0.875833355585734,0.9995833349227905,2.51504553875274e-06,1.0,1.0,0.0007967490237206221,36000,7200,tensorflow,1
3,0.9676682833035787,0.9607552846272787,0.8787500230471293,0.9997222232818603,3.033344842151564e-07,1.0,1.0,0.0007926983525976539,36000,7200,tensorflow,1
4,0.9581274237632752,0.9456303524971008,0.8780555764834086,0.9990277814865113,3.0584838816830977e-07,1.0,1.0,0.0007870518020354211,36000,7200,tensorflow,1
5,0.9520136507352194,0.9476565432548523,0.8777777997652689,0.9998611116409302,3.5776880178861605e-07,1.0,1.0,0.0007798334117978811,36000,7200,tensorflow,1
6,0.9474007263183594,0.9368104537328085,0.8784722431500753,0.9998611116409302,3.520130552529347e-08,1.0,1.0,0.0007710742065683007,36000,7200,tensorflow,1
7,0.9444485920270284,0.9354523261388142,0.8812500222524007,0.9998611116409302,4.748524163285713e-08,1.0,1.0,0.0007608116720803082,36000,7200,tensorflow,1
8,0.9417532110214233,0.9359903033574423,0.8816666873296102,0.9998611116409302,1.3073186696891762e-08,1.0,1.0,0.0007490896387025714,36000,7200,tensorflow,1
9,0.9395779113769531,0.9305064376195272,0.8790277989705404,0.9998611116409302,1.0710776526812182e-08,1.0,1.0,0.0007359584560617805,36000,7200,tensorflow,1
10,0.9369446056683858,0.9393248200416565,0.8776389114061991,0.9998611116409302,3.3690696697267576e-09,1.0,1.0,0.000721474236343056,36000,7200,tensorflow,1
11,0.9345708646774292,0.9346672415733337,0.879027799765269,0.9987500047683716,1.9520777197653178e-08,1.0,1.0,0.0007056991453282535,36000,7200,tensorflow,1
12,0.9326988976796468,0.9289951411883036,0.8788889082272847,0.9994444465637207,4.324257301124845e-09,1.0,1.0,0.0006887005874887109,36000,7200,tensorflow,1
