stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,2,1,0.0,1.0,5.861773854121566
ai,3,1,0.0,1.0,10.875484207645059
ai,4,6,0.16666666666666666,4.5,74.97493410483003
ai,5,4,0.0,25.75,73.84781358996406
ai,6,1,1.0,4.0,95.4337150324136
ai,7,2,1.0,621.5,105.63064855523407
skip_after_ai_fail,5,1,1.0,2400.0,115.34888506866992
skip_hopeless,5,6,1.0,0.0,1.5839677847300966
skip_hopeless,6,36,1.0,0.0,1.5478433277975354
skip_hopeless,7,63,1.0,0.0,1.5308770151542765
skip_hopeless,8,74,1.0,0.0,1.5005283686961677
skip_hopeless,9,99,1.0,0.0,1.5532912126732896
skip_hopeless,10,124,1.0,0.0,1.5504854269355777
skip_hopeless,11,128,1.0,0.0,1.526507989183301
skip_hopeless,12,110,1.0,0.0,1.521306101825427
skip_hopeless,13,113,1.0,0.0,1.5314887504431263
skip_hopeless,14,89,1.0,0.0,14.319905372901578
skip_hopeless,15,93,1.0,0.0,1.5422521154045739
skip_hopeless,16,60,1.0,0.0,1.578895755422612
skip_hopeless,17,38,1.0,0.0,1.494506557815169
skip_hopeless,18,41,1.0,0.0,1.5320786695200495
skip_hopeless,19,31,1.0,0.0,1.554511720314622
skip_hopeless,20,22,1.0,0.0,1.5055457532236522
skip_hopeless,21,15,1.0,0.0,1.4978569621841114
skip_hopeless,22,16,1.0,0.0,1.525873682112433
skip_hopeless,23,6,1.0,0.0,1.5641509865721066
skip_hopeless,24,7,1.0,0.0,1.555346285126039
skip_hopeless,25,7,1.0,0.0,1.467254079346146
skip_hopeless,26,2,1.0,0.0,1.5655175084248185
skip_hopeless,28,1,1.0,0.0,1.7003160901367664
skip_hopeless,29,1,1.0,0.0,1.5779680106788874
skip_hopeless,31,1,1.0,0.0,1.5501079615205526
skip_hopeless,32,1,1.0,0.0,1.7809460405260324
