profile,profile_id,snr_db,decoder,num_samples,bler,ber,avg_queries,avg_primary_queries,avg_fallback_queries,median_queries,p95_queries,p99_queries,avg_elapsed_ms,avg_primary_elapsed_ms,avg_fallback_elapsed_ms,p95_elapsed_ms,p99_elapsed_ms,fallback_rate,oracle_pool_hit_rate,avg_confidence_prob,avg_predicted_overflow_prob
A,0,-4.0,baseline,1200,1.0,0.19885416666666667,2499.0,2499.0,0.0,2499.0,2499.0,2499.0,64.66006984861451,64.66006984861451,0.0,67.68600848299684,69.52050160674844,0.0,0.0,,
A,0,-4.0,nsgrand,1200,1.0,0.19885416666666667,3999.0,0.0,3999.0,3999.0,3999.0,3999.0,215.06666910194326,0.0,212.92409926924543,229.1706690142746,234.62513731996296,1.0,,0.00011083067062524302,0.9998640856643518
A,0,-2.0,baseline,1200,1.0,0.14776041666666667,2499.0,2499.0,0.0,2499.0,2499.0,2499.0,57.895070850499906,57.895070850499906,0.0,62.25981048628455,64.7296334724524,0.0,0.0008333333333333334,,
A,0,-2.0,nsgrand,1200,1.0,0.14776041666666667,3999.0,0.0,3999.0,3999.0,3999.0,3999.0,201.05966433400076,0.0,198.86011235284968,214.40359199186787,220.04704332270194,1.0,,0.00022483649000908676,0.9998688125113646
A,0,0.0,baseline,1200,0.9966666666666667,0.09770182291666667,2494.2508333333335,2494.2508333333335,0.0,2499.0,2499.0,2499.0,57.77742698621296,57.77742698621296,0.0,62.36886398983188,64.50995570310624,0.0,0.029166666666666667,,
A,0,0.0,nsgrand,1200,0.9925,0.09757161458333333,3964.8475,0.6858333333333333,3964.161666666667,3999.0,3999.0,3999.0,200.94625716674878,0.006224698324028092,198.32148588982818,217.45913251070306,223.18499096203595,0.9916666666666667,0.9,0.00626727769603652,0.9900594487134368
A,0,2.0,baseline,1200,0.855,0.0546484375,2217.975,2217.975,0.0,2499.0,2499.0,2499.0,62.446480198462574,62.446480198462574,0.0,67.86732595646754,69.66935650183586,0.0,0.3775,,
A,0,2.0,nsgrand,1200,0.7558333333333334,0.05134114583333333,3013.110833333333,56.6325,2956.4783333333335,3999.0,3999.0,5199.0,174.06889492262658,0.6153192657560188,162.22748626928174,232.23988524405286,322.3662051351856,0.7508333333333334,0.9525222551928784,0.25777797350485343,0.7431388856915676
A,0,4.0,baseline,1200,0.3908333333333333,0.02150390625,1081.905,1081.905,0.0,268.0,2499.0,2499.0,47.92784281523685,47.92784281523685,0.0,67.3012654428021,70.03971819503931,0.0,0.7816666666666666,,
A,0,4.0,nsgrand,1200,0.2891666666666667,0.018470052083333334,1217.6416666666667,46.61083333333333,1171.0308333333332,1.0,3999.0,5199.0,77.96182317846008,0.5094141232257243,68.95039356929676,233.5888982663164,260.047343415208,0.3125,0.9911392405063291,0.7355249689611082,0.2933923766455049
A,0,6.0,baseline,1200,0.16,0.009557291666666667,438.0966666666667,438.0966666666667,0.0,1.0,2499.0,2499.0,31.25627844921837,31.25627844921837,0.0,71.91648238804191,74.44769909605384,0.0,0.9191666666666667,,
A,0,6.0,nsgrand,1200,0.1325,0.008606770833333333,557.5033333333333,8.131666666666666,549.3716666666667,1.0,3999.0,3999.0,40.54420269574621,0.10307835056058441,36.383737960932194,252.1599045037874,260.9536518136156,0.14916666666666667,1.0,0.8843437129629699,0.14301705215742194
C,1,-4.0,baseline,1200,1.0,0.19728515625,2499.0,2499.0,0.0,2499.0,2499.0,2499.0,57.66783199532559,57.66783199532559,0.0,62.39916595222894,64.8872310356819,0.0,0.0,,
