baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
10,A,0,0.0,baseline,20,0,1,20,2499,2499,0,54.66486999648623,54.66486999648623,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[68, 87, 115, 97, 116, 103, 6, 9, 64, 118]",[],0,0,0,0,0,0,0,0,10,A,0,0.0,nsgrand,20,0,1,20,3999,0,3999,194.20983700547367,0.0,192.4545080109965,1,0,-1,5,0.0004966999986208975,0.9998723268508911,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,10,A,0.0,20,1500,139.54496700898744,0,0,0
11,A,0,0.0,baseline,7,0,1,7,2499,2499,0,55.76390298665501,55.76390298665501,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[7, 98, 22, 17, 106, 77, 26, 40, 43, 104]",[],0,0,0,0,0,0,0,0,11,A,0,0.0,nsgrand,7,0,1,7,3999,0,3999,198.99118598550558,0.0,197.09747799788602,1,0,-1,5,0.03404062241315842,0.9936189651489258,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,11,A,0.0,7,1500,143.22728299885057,0,0,0
12,A,0,0.0,baseline,13,0,1,13,2499,2499,0,57.92602902511135,57.92602902511135,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[0, 125, 24, 78, 106, 11, 124, 119, 99, 29]",[],0,0,0,0,0,0,0,0,12,A,0,0.0,nsgrand,13,0,1,13,3999,0,3999,197.46871601091698,0.0,195.737967005698,1,0,-1,5,0.0006015549297444522,0.9998811483383179,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,12,A,0.0,13,1500,139.54268698580563,0,0,0
13,A,0,0.0,baseline,11,0,1,11,2499,2499,0,54.905277997022495,54.905277997022495,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[21, 18, 107, 12, 84, 64, 59, 82, 112, 87]",[],0,0,0,0,0,0,0,0,13,A,0,0.0,nsgrand,11,0,1,11,3999,0,3999,190.8347979770042,0.0,189.10715999663807,1,0,-1,5,0.0010931803844869137,0.999806821346283,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,13,A,0.0,11,1500,135.9295199799817,0,0,0
14,A,0,0.0,baseline,11,0,1,11,2499,2499,0,55.761642986908555,55.761642986908555,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[22, 117, 121, 95, 127, 123, 85, 9, 23, 112]",[],0,0,0,0,0,0,0,0,14,A,0,0.0,nsgrand,11,0,1,11,3999,0,3999,189.26667800405994,0.0,187.56637902697548,1,0,-1,5,0.0014547312166541815,0.9997536540031433,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,14,A,0.0,11,1500,133.50503501715139,0,0,0
15,A,0,0.0,baseline,9,0,1,9,2499,2499,0,55.66224400536157,55.66224400536157,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[122, 62, 58, 50, 59, 46, 114, 51, 73, 36]",[],0,0,0,0,0,0,0,0,15,A,0,0.0,nsgrand,9,0,1,9,3999,0,3999,192.71893601398915,0.0,191.0113969934173,1,0,-1,5,0.00255535333417356,0.9995390176773071,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,15,A,0.0,9,1500,137.05669200862758,0,0,0
16,A,0,0.0,baseline,12,0,1,12,2499,2499,0,56.30674900021404,56.30674900021404,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[102, 103, 87, 72, 91, 65, 101, 4, 99, 35]",[],0,0,0,0,0,0,0,0,16,A,0,0.0,nsgrand,12,0,1,12,3999,0,3999,193.9308080181945,0.0,192.12886999594048,1,0,-1,5,0.0007107570418156683,0.999836802482605,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,16,A,0.0,12,1500,137.62405901798047,0,0,0
17,A,0,0.0,baseline,19,0,1,19,2499,2499,0,55.56523401173763,55.56523401173763,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[100, 73, 75, 58, 16, 122, 43, 108, 97, 110]",[],0,0,0,0,0,0,0,0,17,A,0,0.0,nsgrand,19,0,1,19,3999,0,3999,192.69290697411634,0.0,190.94631800544448,1,0,-1,5,0.0006499632727354765,0.9998617172241211,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,17,A,0.0,19,1500,137.1276729623787,0,0,0
18,A,0,0.0,baseline,12,0,1,12,2499,2499,0,55.47798500629142,55.47798500629142,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[43, 126, 65, 111, 37, 62, 29, 15, 41, 2]",[],0,0,0,0,0,0,0,0,18,A,0,0.0,nsgrand,12,0,1,12,3999,0,3999,192.57599700358696,0.0,190.90420799329877,1,0,-1,5,0.0010901708155870438,0.9996753931045532,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,18,A,0.0,12,1500,137.09801199729554,0,0,0
19,A,0,0.0,baseline,19,0,1,19,2499,2499,0,57.04056500690058,57.04056500690058,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[44, 33, 113, 75, 55, 38, 4, 35, 48, 25]",[],0,0,0,0,0,0,0,0,19,A,0,0.0,nsgrand,19,0,1,19,3999,0,3999,193.02403400070034,0.0,191.2304550060071,1,0,-1,5,0.00031453691190108657,0.9999033212661743,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,19,A,0.0,19,1500,135.98346899379976,0,0,0
20,A,0,0.0,baseline,12,0,1,12,2499,2499,0,55.2909369871486,55.2909369871486,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[111, 85, 125, 80, 67, 14, 11, 84, 96, 101]",[],0,0,0,0,0,0,0,0,20,A,0,0.0,nsgrand,12,0,1,12,3999,0,3999,192.69636602257378,0.0,190.99692700547166,1,0,-1,5,0.0006424742168746889,0.9998347759246826,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,20,A,0.0,12,1500,137.4054290354252,0,0,0
21,A,0,0.0,baseline,12,0,1,12,2499,2499,0,54.90274800104089,54.90274800104089,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[49, 79, 24, 99, 38, 7, 58, 81, 40, 48]",[],0,0,0,0,0,0,0,0,21,A,0,0.0,nsgrand,12,0,1,12,3999,0,3999,190.59994898270816,0.0,188.8350709923543,1,0,-1,5,0.0017949979519471526,0.9997125267982483,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,21,A,0.0,12,1500,135.69720098166727,0,0,0
22,A,0,0.0,baseline,28,0,1,28,2499,2499,0,55.59060399536975,55.59060399536975,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[81, 110, 99, 1, 115, 40, 65, 0, 87, 82]",[],0,0,0,0,0,0,0,0,22,A,0,0.0,nsgrand,28,0,1,28,3999,0,3999,193.52032101596706,0.0,191.74729200312868,1,0,-1,5,0.00024680281057953835,0.9999052286148071,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,22,A,0.0,28,1500,137.9297170205973,0,0,0
23,A,0,0.0,baseline,9,0,1,9,2499,2499,0,55.40136600029655,55.40136600029655,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[23, 123, 82, 18, 122, 54, 102, 35, 89, 36]",[],0,0,0,0,0,0,0,0,23,A,0,0.0,nsgrand,9,0,1,9,3999,0,3999,196.59546099137515,0.0,194.69951299834065,1,0,-1,5,0.004863739479333162,0.9985129237174988,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,23,A,0.0,9,1500,141.1940949910786,0,0,0
24,A,0,0.0,baseline,11,0,1,11,2499,2499,0,54.5930810039863,54.5930810039863,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[49, 17, 70, 58, 84, 35, 73, 98, 111, 14]",[],0,0,0,0,0,0,0,0,24,A,0,0.0,nsgrand,11,0,1,11,3999,0,3999,191.43590398016386,0.0,189.766844996484,1,0,-1,5,0.0009784240974113345,0.9997751116752625,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,24,A,0.0,11,1500,136.84282297617756,0,0,0
25,A,0,0.0,baseline,17,0,1,17,2499,2499,0,55.34945600084029,55.34945600084029,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[101, 109, 81, 91, 66, 80, 36, 120, 68, 83]",[],0,0,0,0,0,0,0,0,25,A,0,0.0,nsgrand,17,0,1,17,3999,0,3999,192.25544898654334,0.0,190.55910999304615,1,0,-1,5,0.0009751952602528036,0.9998291730880737,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,25,A,0.0,17,1500,136.90599298570305,0,0,0
26,A,0,0.0,baseline,9,0,1,9,2499,2499,0,57.15639400295913,57.15639400295913,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[31, 106, 120, 103, 117, 105, 123, 20, 4, 111]",[],0,0,0,0,0,0,0,0,26,A,0,0.0,nsgrand,9,0,1,9,3999,0,3999,193.75678000506014,0.0,191.91977102309465,1,0,-1,5,0.0014496613293886185,0.9996629953384399,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,26,A,0.0,9,1500,136.600386002101,0,0,0
27,A,0,0.0,baseline,18,0,1,18,2499,2499,0,55.566805007401854,55.566805007401854,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[116, 117, 119, 124, 118, 105, 11, 121, 125, 112]",[],0,0,0,0,0,0,0,0,27,A,0,0.0,nsgrand,18,0,1,18,3999,0,3999,194.09482699120417,0.0,192.3511789937038,1,0,-1,5,0.0005342147778719664,0.9998757839202881,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,27,A,0.0,18,1500,138.52802198380232,0,0,0
28,A,0,0.0,baseline,12,0,1,12,2499,2499,0,54.831298999488354,54.831298999488354,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[19, 34, 109, 21, 112, 56, 8, 31, 119, 125]",[],0,0,0,0,0,0,0,0,28,A,0,0.0,nsgrand,12,0,1,12,3999,0,3999,190.76069901348092,0.0,188.9945100119803,1,0,-1,5,0.0012465761974453926,0.9996565580368042,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,28,A,0.0,12,1500,135.92940001399256,0,0,0
29,A,0,0.0,baseline,15,0,1,15,2499,2499,0,54.91902798530646,54.91902798530646,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[32, 26, 4, 111, 103, 100, 21, 13, 85, 83]",[],0,0,0,0,0,0,0,0,29,A,0,0.0,nsgrand,15,0,1,15,3999,0,3999,198.85240701842122,0.0,197.0462379977107,1,0,-1,5,0.0010633183410391212,0.9997212290763855,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,29,A,0.0,15,1500,143.93337903311476,0,0,0
30,A,0,0.0,baseline,18,0,1,18,2499,2499,0,56.46316899219528,56.46316899219528,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[76, 75, 89, 74, 73, 67, 68, 77, 27, 78]",[],0,0,0,0,0,0,0,0,30,A,0,0.0,nsgrand,18,0,1,18,3999,0,3999,194.10330700338818,0.0,192.28362900321372,1,0,-1,5,0.0004413555725477636,0.9998804330825806,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,30,A,0.0,18,1500,137.6401380111929,0,0,0
