stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,1,320,0.003125,1.003125,1.8416565595543943
ai,2,291,0.006872852233676976,1.1030927835051547,2.3553911084469243
ai,3,193,0.015544041450777202,3.5958549222797926,6.454510796438767
ai,4,117,0.017094017094017096,11.376068376068377,20.49296302919905
ai,5,30,0.0,29.5,85.73800052981824
fallback,2,6,0.0,207.33333333333334,33.468284217330314
fallback,3,8,0.0,683.5,38.23526325868443
fallback,4,6,0.0,1973.3333333333333,50.88085087481886
fallback_fail,2,2,1.0,2517.0,53.747518570162356
fallback_fail,3,1,1.0,2652.0,54.813710041344166
fallback_fail,5,12,1.0,3699.0,70.21167032265414
fallback_fail,6,2,1.0,3699.0,75.0367414439097
hard_decision,0,171,0.0,0.0,0.009815280777756234
skip_after_ai_fail,6,8,1.0,2400.0,92.00979705201462
skip_after_ai_fail,8,1,1.0,2400.0,111.74772400408983
skip_hopeless,5,3,1.0,0.0,1.403262373059988
skip_hopeless,6,7,1.0,0.0,1.5380036950643574
skip_hopeless,7,13,1.0,0.0,1.4247658053556314
skip_hopeless,8,8,1.0,0.0,1.3390783860813826
skip_hopeless,10,1,1.0,0.0,1.572247827425599
