profile,snr_db,avg_confidence_prob_nsgrand,avg_elapsed_ms_baseline,avg_elapsed_ms_nsgrand,avg_elapsed_ms_strong_symbolic,avg_fallback_queries_baseline,avg_fallback_queries_nsgrand,avg_fallback_queries_strong_symbolic,avg_predicted_overflow_prob_nsgrand,avg_primary_queries_baseline,avg_primary_queries_nsgrand,avg_primary_queries_strong_symbolic,avg_queries_baseline,avg_queries_nsgrand,avg_queries_strong_symbolic,bler_baseline,bler_nsgrand,bler_strong_symbolic,fallback_rate_baseline,fallback_rate_nsgrand,fallback_rate_strong_symbolic,query_reduction_pct,bler_delta,latency_reduction_pct
A,0.0,0.0034723499697914,54.162967717081,3.44940158945974,189.5205089946588,0.0,0.0,0.0,0.9928191533440258,2493.84,3.1491666666666664,3987.5658333333336,2493.84,3.1491666666666664,3987.5658333333336,0.9966666666666668,0.9908333333333332,0.9966666666666668,0.0,0.0,0.0,99.87372218479668,-0.005833333333333579,93.63143909049148
A,2.0,0.1628523199042441,55.65349086284792,23.085269064758904,201.4612513454631,0.0,23.7525,0.0,0.726954835233458,2200.9225,117.67333333333332,3437.960833333333,2200.9225,141.42583333333334,3437.960833333333,0.8541666666666666,0.6933333333333334,0.8275,0.0,0.0125,0.0,93.57424746517275,-0.16083333333333327,58.51963873811602
A,4.0,0.6607883645169204,38.49962690961547,15.085965336766094,154.48392179678194,0.0,47.04,0.0,0.2749088400641237,1026.1175,70.53,1498.3608333333334,1026.1175,117.57,1498.3608333333334,0.3658333333333333,0.2441666666666666,0.3258333333333333,0.0,0.0291666666666666,0.0,88.54224784198692,-0.1216666666666667,60.8152947243281
A,6.0,0.8565826205313594,24.32125353817052,6.937810895809283,102.30435801417724,0.0,12.611666666666666,0.0,0.1407419233347839,442.82666666666665,35.1225,663.2916666666666,442.82666666666665,47.73416666666667,663.2916666666666,0.1608333333333333,0.1258333333333333,0.15,0.0,0.0075,0.0,89.22057539443576,-0.035,71.47428735562141
C,2.0,0.1718162605514711,49.09362540774358,19.748379783510853,170.40997868966463,0.0,37.69916666666666,0.0,0.7280269191230158,2196.056666666667,135.56583333333333,3416.5033333333336,2196.056666666667,173.265,3416.5033333333336,0.8466666666666667,0.6991666666666667,0.8216666666666667,0.0,0.02,0.0,92.11017627049696,-0.14749999999999996,59.774044757354744
C,4.0,0.7101908310598325,35.8370916134057,14.746131744856635,142.1181159101737,0.0,37.71666666666667,0.0,0.2343196444952263,895.01,72.73833333333333,1300.55,895.01,110.455,1300.55,0.3108333333333333,0.2008333333333333,0.2766666666666666,0.0,0.0291666666666666,0.0,87.6587971084122,-0.10999999999999999,58.8523200935745
C,6.0,0.911004876376052,21.553117805548634,7.340465741387258,93.58240035556568,0.0,14.2525,0.0,0.0888777892007419,328.8375,27.0225,474.66,328.8375,41.275,474.66,0.1175,0.0666666666666666,0.1,0.0,0.0091666666666666,0.0,87.44820770137227,-0.0508333333333334,65.94244133209567
E,0.0,0.0059313922382474,52.0578346310261,5.434852038937,180.87289345741735,0.0,2.0825,0.0,0.982355178145226,2493.909166666667,27.56083333333333,3989.0041666666666,2493.909166666667,29.64333333333333,3989.0041666666666,0.9975,0.9783333333333334,0.9958333333333332,0.0,0.0008333333333333,0.0,98.81137076965179,-0.019166666666666665,89.55997290809735
E,2.0,0.2616038147063227,49.1658285993617,29.295419095045265,180.57824990149436,0.0,75.46916666666667,0.0,0.5845580041954721,2076.8516666666665,205.6833333333333,3211.2166666666667,2076.8516666666665,281.1525,3211.2166666666667,0.7891666666666667,0.5541666666666667,0.755,0.0,0.0366666666666666,0.0,86.46256232390213,-0.235,40.41508110487617
E,4.0,0.8860703890025615,29.95770526836471,8.627060444171851,128.34020684900074,0.0,44.4975,0.0,0.0616840549105472,387.8108333333333,41.4825,506.5291666666666,387.8108333333333,85.98,506.5291666666666,0.1158333333333333,0.055,0.0908333333333333,0.0,0.0308333333333333,0.0,77.82939706429035,-0.0608333333333333,71.20253248074374
E,6.0,0.9915943049701552,14.462791749780688,1.263729008496739,68.53969087921239,0.0,0.1216666666666666,0.0,0.0036721692368306,19.67,2.029166666666667,26.351666666666667,19.67,2.1508333333333334,26.351666666666667,0.005,0.0025,0.005,0.0,0.0033333333333333,0.0,89.06541264192509,-0.0025,91.26220559377201
