decoder,true_error_weight,block_error_rate,avg_queries,avg_elapsed_ms
baseline,0,0.0,0.0,0.026302619849105886
baseline,1,0.016138007790762382,43.038397328881466,32.577955686685755
baseline,2,0.04946727549467275,163.31811263318113,33.36627472598174
baseline,3,0.15649867374005305,651.9496021220159,37.751789343527705
baseline,4,0.46105919003115264,1632.1121495327102,46.06266498327766
baseline,5,1.0,2488.8688711516534,53.56011837970427
baseline,6,1.0,2493.588092345079,54.34970605585448
baseline,7,1.0,2499.0,53.78640344213776
baseline,8,1.0,2499.0,53.51286671525315
baseline,9,1.0,2499.0,53.922523125915866
baseline,10,1.0,2499.0,54.41634887246479
baseline,11,1.0,2499.0,53.84397490477471
baseline,12,1.0,2499.0,53.71508767488054
baseline,13,1.0,2499.0,54.00613785575939
baseline,14,1.0,2499.0,53.70297868592808
baseline,15,1.0,2499.0,53.79817582884745
baseline,16,1.0,2499.0,53.38761937353773
baseline,17,1.0,2499.0,53.30319566737606
baseline,18,1.0,2499.0,53.34114992528803
baseline,19,1.0,2499.0,53.3165337121637
baseline,20,1.0,2499.0,53.500252128454306
baseline,21,1.0,2499.0,53.77563565476978
baseline,22,1.0,2499.0,53.280872371519955
baseline,23,1.0,2499.0,52.87625096382308
baseline,24,1.0,2499.0,52.67409341119028
baseline,25,1.0,2499.0,53.067423433455595
baseline,26,1.0,2499.0,52.74827203643575
baseline,27,1.0,2499.0,52.68174792921538
baseline,28,1.0,2499.0,52.68927214902449
baseline,29,1.0,2499.0,52.651289125498366
baseline,30,1.0,2499.0,54.3722036423854
baseline,31,1.0,2499.0,54.2367640513158
baseline,32,1.0,2499.0,53.1786790498617
baseline,33,1.0,2499.0,52.60779638169938
baseline,34,1.0,2499.0,52.48931713515159
baseline,35,1.0,2499.0,52.47194362554426
baseline,36,1.0,2499.0,53.25968209654093
baseline,37,1.0,2499.0,52.43885780995091
baseline,38,1.0,2499.0,53.37762157432735
baseline,39,1.0,2499.0,52.05680658109486
baseline,40,1.0,2499.0,52.39316591593836
baseline,41,1.0,2499.0,51.115027512423694
baseline,42,1.0,2499.0,54.93322899565101
baseline,44,1.0,2499.0,53.41806821525097
nsgrand,0,0.0,0.0,0.00967059347968657
nsgrand,1,0.0011129660545353367,1.4501947690595436,2.175619159361299
nsgrand,2,0.01598173515981735,25.17732115677321,4.6419613809314875
nsgrand,3,0.03978779840848806,74.85853227232538,10.673615163122983
nsgrand,4,0.060228452751817235,111.98857736240913,36.500949500590906
nsgrand,5,0.3671607753705815,448.60889395667044,69.38440190387111
nsgrand,6,1.0,594.3147023086269,29.505945217058986
nsgrand,7,1.0,142.58815426997245,8.630412517207837
nsgrand,8,1.0,28.885026737967916,4.511724208434297
nsgrand,9,1.0,7.048458149779735,5.296104275806097
nsgrand,10,1.0,0.0,3.3059736593014346
nsgrand,11,1.0,3.7441497659906395,1.7584820285979978
nsgrand,12,1.0,0.0,1.5866655552714177
nsgrand,13,1.0,0.0,1.602013646841569
nsgrand,14,1.0,0.0,3.662407023818556
nsgrand,15,1.0,0.0,1.5873256928856674
nsgrand,16,1.0,0.0,1.583817219394806
nsgrand,17,1.0,0.0,1.5760499057728503
nsgrand,18,1.0,0.0,5.674768391949381
nsgrand,19,1.0,0.0,3.5628862842394597
nsgrand,20,1.0,0.0,3.731304977377094
nsgrand,21,1.0,0.0,3.9064420196476854
nsgrand,22,1.0,0.0,1.5596312534446328
nsgrand,23,1.0,0.0,1.544606459971804
nsgrand,24,1.0,0.0,1.5310019199900768
nsgrand,25,1.0,0.0,1.5422127045867524
nsgrand,26,1.0,0.0,4.8419493673267295
nsgrand,27,1.0,0.0,1.542487112710442
nsgrand,28,1.0,0.0,5.4542770662432005
nsgrand,29,1.0,0.0,1.5429038702294018
nsgrand,30,1.0,0.0,1.529312378078387
nsgrand,31,1.0,0.0,1.5295784558273025
nsgrand,32,1.0,0.0,14.511908904585816
nsgrand,33,1.0,0.0,1.5429700029312403
nsgrand,34,1.0,0.0,1.493842030564944
nsgrand,35,1.0,0.0,1.520337542609834
nsgrand,36,1.0,0.0,1.5244479873217642
nsgrand,37,1.0,0.0,1.5038115282853444
nsgrand,38,1.0,0.0,1.4947790186852217
nsgrand,39,1.0,0.0,1.5036359429359436
nsgrand,40,1.0,0.0,1.5089238794254405
nsgrand,41,1.0,0.0,1.43277901224792
nsgrand,42,1.0,0.0,1.6699070110917091
nsgrand,44,1.0,0.0,1.644326839596033
strong_symbolic,0,0.0,0.0,0.008818435380317523
strong_symbolic,1,0.016138007790762382,65.84974958263773,153.2012887180378
strong_symbolic,2,0.04946727549467275,234.37975646879755,152.6340027621492
strong_symbolic,3,0.14588859416445624,891.3041556145005,159.02921009070144
strong_symbolic,4,0.387331256490135,2221.4517133956388,171.7703102225668
strong_symbolic,5,0.798175598631699,3572.6453819840367,183.5133022203417
strong_symbolic,6,1.0,3988.5139732685298,188.75301971110454
strong_symbolic,7,1.0,3999.0,187.71196761362245
strong_symbolic,8,1.0,3999.0,187.39653381370854
strong_symbolic,9,1.0,3999.0,187.20635845224686
strong_symbolic,10,1.0,3999.0,186.9371920628348
strong_symbolic,11,1.0,3999.0,186.552458361384
strong_symbolic,12,1.0,3999.0,186.31791831458222
strong_symbolic,13,1.0,3999.0,187.21708320614965
