profile,snr_db,avg_confidence_prob_nsgrand,avg_elapsed_ms_baseline,avg_elapsed_ms_nsgrand,avg_elapsed_ms_strong_symbolic,avg_fallback_queries_baseline,avg_fallback_queries_nsgrand,avg_fallback_queries_strong_symbolic,avg_predicted_overflow_prob_nsgrand,avg_primary_queries_baseline,avg_primary_queries_nsgrand,avg_primary_queries_strong_symbolic,avg_queries_baseline,avg_queries_nsgrand,avg_queries_strong_symbolic,bler_baseline,bler_nsgrand,bler_strong_symbolic,fallback_rate_baseline,fallback_rate_nsgrand,fallback_rate_strong_symbolic,query_reduction_pct,bler_delta,latency_reduction_pct
A,-4.0,3.400990781301516e-05,50.30697835803343,2.136366672930308,170.09182142248997,0.0,0.0,0.0,0.9999361429611842,2499.0,0.0,3999.0,2499.0,0.0,3999.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,95.753339312638
A,-2.0,8.168087359687585e-05,50.037915445088096,2.123724185706427,165.40063664297728,0.0,0.0,0.0,0.9999652851124604,2499.0,0.0,3999.0,2499.0,0.0,3999.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,95.75577006592728
A,0.0,0.0067557001689237,50.707583534919344,3.456706375582144,176.31937153850836,0.0,4.480833333333333,0.0,0.9922257917680448,2490.15,6.9575,3983.555833333333,2490.15,11.438333333333333,3983.555833333333,0.9958333333333332,0.99,0.995,0.0,0.0033333333333333,0.0,99.54065685467407,-0.005833333333333246,93.18305836206586
A,2.0,0.2049391907708074,48.55626832228154,17.73027067829389,173.29096312692857,0.0,82.08833333333334,0.0,0.7834036637694226,2221.5075,88.38416666666667,3481.1466666666665,2221.5075,170.4725,3481.1466666666665,0.8633333333333333,0.7216666666666667,0.8366666666666667,0.0,0.0408333333333333,0.0,92.32626943640749,-0.1416666666666666,63.4851044140931
A,4.0,0.6933857072807466,37.24248255700028,13.991759009077214,147.59754918923136,0.0,78.10083333333333,0.0,0.3116666506637379,1035.003333333333,67.63416666666667,1530.0125,1035.003333333333,145.735,1530.0125,0.3691666666666666,0.2675,0.3333333333333333,0.0,0.0408333333333333,0.0,85.9193690197455,-0.10166666666666657,62.43064895670535
A,6.0,0.8775744960016648,22.41425818744271,6.236455289375347,90.92426089647536,0.0,26.614166666666662,0.0,0.1340538971473901,398.3675,21.855833333333333,589.1825,398.3675,48.47,589.1825,0.1441666666666666,0.1141666666666666,0.1325,0.0,0.0158333333333333,0.0,87.8328427896352,-0.030000000000000013,72.1763921999023
C,-4.0,3.415634576564722e-05,49.91148983477615,2.029975500578681,165.89801227867915,0.0,0.0,0.0,0.9999362143377464,2499.0,0.0,3999.0,2499.0,0.0,3999.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,95.93284931526071
C,-2.0,8.549997415381464e-05,50.76448710712915,2.2366562097643814,170.54149251198396,0.0,0.0,0.0,0.9999607696632544,2499.0,0.0,3999.0,2499.0,0.0,3999.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,95.59405336836295
C,0.0,0.004626312220862,50.590408699548185,3.020160278150191,168.765764941733,0.0,0.0,0.0,0.9941733496449888,2499.0,0.5783333333333334,3997.9191666666666,2499.0,0.5783333333333334,3997.9191666666666,1.0,0.9916666666666668,0.9983333333333332,0.0,0.0,0.0,99.97685740963051,-0.008333333333333193,94.0301722089524
C,2.0,0.2295063078679474,48.35503214543375,20.090725428114336,173.06476059874208,0.0,109.49166666666666,0.0,0.7800336771182683,2182.998333333333,112.82833333333332,3406.0616666666665,2182.998333333333,222.32,3406.0616666666665,0.8416666666666667,0.72,0.8191666666666667,0.0,0.0525,0.0,89.81584197269963,-0.1216666666666667,58.45163463506965
