stage,true_error_weight,count,bler,avg_queries,avg_elapsed_ms
ai,1,330,0.0,1.0,1.397073906705235
ai,2,148,0.013513513513513514,1.1081081081081081,9.800093539524823
ai,3,69,0.0,1.6666666666666667,5.956752431592432
ai,4,47,0.0,1.9574468085106382,37.94952109456062
ai,5,23,0.043478260869565216,11.434782608695652,72.92865256212004
fallback,1,1,0.0,161.0,33.810517052188516
fallback,2,1,0.0,109.0,31.939350068569183
fallback,3,2,0.0,196.5,34.33904342819005
fallback,4,3,0.0,1403.6666666666667,44.56940231223901
fallback_fail,4,2,1.0,3468.0,61.63240747991949
fallback_fail,5,3,1.0,3699.0,68.95505536037187
fallback_fail,6,7,1.0,4899.0,136.96766082596565
hard_decision,0,442,0.0,0.0,0.009147420302201989
skip_hopeless,5,4,1.0,0.0,1.2640200438909233
skip_hopeless,6,30,1.0,0.0,1.190775539726019
skip_hopeless,7,18,1.0,0.0,1.067902388361593
skip_hopeless,8,18,1.0,0.0,1.145514530233211
skip_hopeless,9,9,1.0,0.0,1.020618507431613
skip_hopeless,10,10,1.0,0.0,1.1843064334243536
skip_hopeless,11,11,1.0,0.0,1.1982191565700553
skip_hopeless,12,4,1.0,0.0,1.0827457299456
skip_hopeless,13,10,1.0,0.0,1.0780679993331432
skip_hopeless,14,4,1.0,0.0,1.1353077716194093
skip_hopeless,15,2,1.0,0.0,1.343494514003396
skip_hopeless,17,1,1.0,0.0,1.022940967231989
skip_hopeless,18,1,1.0,0.0,1.0200520046055317
