profile,snr_db,avg_elapsed_ms_baseline,avg_elapsed_ms_nsgrand,avg_queries_baseline,avg_queries_nsgrand,bler_baseline,bler_nsgrand,fallback_rate_baseline,fallback_rate_nsgrand,query_reduction_pct,bler_delta
A,-2.0,14.429496395983731,19.90428110404173,780.872,568.548,0.976,0.972,0.0,0.932,27.190627913409617,-0.0040000000000000036
A,0.0,15.097763035271782,16.425093348545488,715.864,421.104,0.876,0.736,0.0,0.656,41.17541879463138,-0.14
A,2.0,11.478013591608033,6.467104836308863,319.916,106.508,0.34,0.216,0.0,0.12,66.70751072156442,-0.12400000000000003
A,4.0,6.725296728196554,2.372979960171506,48.044,14.196,0.044,0.032,0.0,0.012,70.4520855882108,-0.011999999999999997
C,-2.0,14.548505276092328,20.18262240005424,795.092,578.54,0.992,0.968,0.0,0.96,27.236093433212762,-0.02400000000000002
C,0.0,14.848696928063871,13.897778647427913,687.132,391.836,0.824,0.688,0.0,0.596,42.97514887969123,-0.136
C,2.0,13.472619675740134,7.523543375893496,356.444,128.348,0.336,0.256,0.0,0.148,63.99209974077274,-0.08000000000000002
C,4.0,7.376398711814545,2.884013784583658,77.76,36.58,0.084,0.076,0.0,0.04,52.957818930041164,-0.008000000000000007
