profile,snr_db,gate_reason,stage,count,bler,avg_queries,avg_elapsed_ms,fallback_rate
A,-4.0,presearch_overflow_direct,fallback_fail,1200,1.0,3999.0,215.06666910194326,1.0
A,-2.0,presearch_overflow_direct,fallback_fail,1200,1.0,3999.0,201.05966433400076,1.0
A,0.0,presearch_overflow_direct,fallback_fail,1185,1.0,3999.0,202.2346731384613,1.0
A,0.0,ai_success,ai,10,0.2,82.3,46.83861680096015,0.0
A,0.0,presearch_low_confidence,fallback_fail,4,1.0,3999.0,209.03472050122218,1.0
A,0.0,presearch_overflow_direct,fallback,1,0.0,2183.0,182.8958810074255,1.0
A,2.0,presearch_overflow_direct,fallback_fail,842,1.0,3999.0,219.0594676725587,1.0
A,2.0,ai_success,ai,298,0.1040268456375839,41.124161073825505,34.26564835154939,0.0
A,2.0,postsearch_exhausted,fallback_fail,26,1.0,5602.5,280.4628379280285,1.0
A,2.0,postsearch_exhausted,fallback,13,0.0,2561.6153846153848,217.12404169151202,1.0
A,2.0,presearch_overflow_direct,fallback,12,0.0,2113.5,196.37444466206944,1.0
A,2.0,presearch_low_confidence,fallback_fail,8,1.0,3999.0,219.03577300327015,1.0
A,2.0,hard_decision,hard_decision,1,0.0,0.0,0.0130700063891708,0.0
A,4.0,ai_success,ai,743,0.012113055181695828,3.3405114401076714,11.132354530177428,0.0
A,4.0,presearch_overflow_direct,fallback_fail,312,1.0,3999.0,225.16871566096177,1.0
A,4.0,hard_decision,hard_decision,82,0.0,0.0,0.01198581771970517,0.0
A,4.0,postsearch_exhausted,fallback_fail,26,1.0,5464.7307692307695,286.3078113049806,1.0
A,4.0,postsearch_exhausted,fallback,21,0.0,1827.5238095238096,207.0826523829185,1.0
A,4.0,presearch_overflow_direct,fallback,16,0.0,1908.6875,202.28046756164986,1.0
A,6.0,ai_success,ai,549,0.0036429872495446266,1.9927140255009108,7.059548840103569,0.0
A,6.0,hard_decision,hard_decision,472,0.0,0.0,0.011577965840657775,0.0
A,6.0,presearch_overflow_direct,fallback_fail,155,1.0,3999.0,252.92408133466398,1.0
A,6.0,presearch_overflow_direct,fallback,13,0.0,1649.6153846153845,221.0001211564164,1.0
A,6.0,postsearch_exhausted,fallback,9,0.0,1669.111111111111,225.43531854494682,1.0
A,6.0,postsearch_exhausted,fallback_fail,2,1.0,5799.0,333.36703649547417,1.0
C,-4.0,presearch_overflow_direct,fallback_fail,1200,1.0,3999.0,202.17251837884154,1.0
C,-2.0,presearch_overflow_direct,fallback_fail,1200,1.0,3999.0,202.3651846499221,1.0
C,0.0,presearch_overflow_direct,fallback_fail,1192,1.0,3999.0,204.21873390943264,1.0
C,0.0,presearch_low_confidence,fallback_fail,4,1.0,3999.0,203.07250100449892,1.0
C,0.0,ai_success,ai,2,0.5,468.5,111.06744199059904,0.0
C,0.0,postsearch_exhausted,fallback_fail,2,1.0,6399.0,318.79147099971306,1.0
C,2.0,presearch_overflow_direct,fallback_fail,813,1.0,3999.0,201.4526704748403,1.0
C,2.0,ai_success,ai,326,0.05828220858895705,28.00920245398773,33.3547858680967,0.0
C,2.0,postsearch_exhausted,fallback_fail,27,1.0,5475.888888888889,245.99825737338202,1.0
C,2.0,presearch_overflow_direct,fallback,20,0.05,2233.5,186.05855845089536,1.0
C,2.0,postsearch_exhausted,fallback,6,0.0,2026.8333333333333,203.62020383860605,1.0
C,2.0,presearch_low_confidence,fallback_fail,5,1.0,3999.0,203.60513019259088,1.0
C,2.0,hard_decision,hard_decision,3,0.0,0.0,0.011139985872432534,0.0
C,4.0,ai_success,ai,802,0.007481296758104738,4.283042394014963,8.931898040986711,0.0
C,4.0,presearch_overflow_direct,fallback_fail,218,1.0,3999.0,203.06410421518535,1.0
C,4.0,hard_decision,hard_decision,118,0.0,0.0,0.010297559714733999,0.0
C,4.0,postsearch_exhausted,fallback,28,0.0,1191.892857142857,178.00057750303364,1.0
C,4.0,presearch_overflow_direct,fallback,19,0.05263157894736842,1961.0526315789473,183.873772682426,1.0
C,4.0,postsearch_exhausted,fallback_fail,15,1.0,5444.0,251.15352633292787,1.0
C,6.0,ai_success,ai,589,0.0,3.370118845500849,6.576903991103536,0.0
C,6.0,hard_decision,hard_decision,486,0.0,0.0,0.009654389290472468,0.0
C,6.0,presearch_overflow_direct,fallback_fail,105,1.0,3999.0,197.18584038921455,1.0
C,6.0,postsearch_exhausted,fallback_fail,7,1.0,5489.571428571428,249.0493640112358,1.0
C,6.0,presearch_overflow_direct,fallback,7,0.0,1258.857142857143,172.8757235728803,1.0
C,6.0,postsearch_exhausted,fallback,6,0.0,460.0,166.42058166326024,1.0
E,-4.0,presearch_overflow_direct,fallback_fail,1200,1.0,3999.0,200.3288034495199,1.0
E,-2.0,presearch_overflow_direct,fallback_fail,1200,1.0,3999.0,203.75391565384538,1.0
E,0.0,presearch_overflow_direct,fallback_fail,1191,1.0,3999.0,203.048891448971,1.0
E,0.0,presearch_low_confidence,fallback_fail,6,1.0,3999.0,204.52397350163665,1.0
E,0.0,ai_success,ai,3,0.0,34.666666666666664,47.0064349938184,0.0
E,2.0,presearch_overflow_direct,fallback_fail,641,1.0,3999.0,226.70091590361,1.0
E,2.0,ai_success,ai,469,0.07036247334754797,31.29637526652452,31.92739106510192,0.0
E,2.0,postsearch_exhausted,fallback_fail,43,1.0,5446.53488372093,277.99622416374444,1.0
E,2.0,presearch_overflow_direct,fallback,22,0.0,2203.318181818182,209.1976820440984,1.0
E,2.0,postsearch_exhausted,fallback,13,0.0,2382.0,228.0423571512354,1.0
E,2.0,presearch_low_confidence,fallback_fail,9,1.0,3999.0,227.2962435543175,1.0
E,2.0,hard_decision,hard_decision,3,0.0,0.0,0.0123366674718757,0.0
E,4.0,ai_success,ai,936,0.018162393162393164,3.389957264957265,7.10659199473264,0.0
E,4.0,hard_decision,hard_decision,163,0.0,0.0,0.009857189014519693,0.0
E,4.0,presearch_overflow_direct,fallback_fail,58,1.0,3999.0,197.57542912125717,1.0
E,4.0,postsearch_exhausted,fallback,25,0.0,880.16,171.91517760395072,1.0
E,4.0,postsearch_exhausted,fallback_fail,12,1.0,5026.0,222.70026417148378,1.0
E,4.0,presearch_overflow_direct,fallback,6,0.0,2111.8333333333335,179.74282233626582,1.0
E,6.0,hard_decision,hard_decision,709,0.0,0.0,0.011135521779961214,0.0
E,6.0,ai_success,ai,485,0.002061855670103093,1.1010309278350516,3.138082855880337,0.0
E,6.0,postsearch_exhausted,fallback,3,0.0,433.6666666666667,193.7369276614239,1.0
E,6.0,presearch_overflow_direct,fallback_fail,2,1.0,3999.0,223.82253350224346,1.0
E,6.0,postsearch_exhausted,fallback_fail,1,1.0,5199.0,247.2642799839377,1.0
