profile,snr_db,overflow_bin,count,bler,fallback_rate,avg_queries
C,2.0,"(0.7, 0.8]",29,0.8620689655172413,1.0,3755.5862068965516
C,2.0,"(0.8, 0.9]",50,0.88,1.0,3793.2
C,2.0,"(0.9, 1.0]",754,0.9880636604774535,1.0,3975.1790450928384
C,4.0,"(-0.001, 0.1]",879,0.013651877133105802,0.03640500568828214,66.87485779294653
C,4.0,"(0.1, 0.2]",32,0.09375,0.125,564.375
C,4.0,"(0.2, 0.3]",18,0.1111111111111111,0.16666666666666666,838.3333333333334
C,4.0,"(0.3, 0.4]",6,0.16666666666666666,0.16666666666666666,1111.3333333333333
C,4.0,"(0.4, 0.5]",9,0.1111111111111111,0.1111111111111111,720.4444444444445
C,4.0,"(0.5, 0.6]",12,0.08333333333333333,0.08333333333333333,562.1666666666666
C,4.0,"(0.6, 0.7]",7,0.14285714285714285,0.14285714285714285,948.1428571428571
C,4.0,"(0.7, 0.8]",15,0.7333333333333333,1.0,3330.3333333333335
C,4.0,"(0.8, 0.9]",24,0.7916666666666666,1.0,3610.4583333333335
C,4.0,"(0.9, 1.0]",198,0.9545454545454546,1.0,3901.191919191919
C,6.0,"(-0.001, 0.1]",1054,0.003795066413662239,0.008538899430740038,19.88235294117647
C,6.0,"(0.1, 0.2]",9,0.0,0.0,6.222222222222222
C,6.0,"(0.2, 0.3]",7,0.14285714285714285,0.2857142857142857,1158.857142857143
C,6.0,"(0.3, 0.4]",5,0.0,0.0,1.0
C,6.0,"(0.4, 0.5]",5,0.0,0.0,5.4
C,6.0,"(0.5, 0.6]",2,0.0,0.0,205.5
C,6.0,"(0.6, 0.7]",6,0.3333333333333333,0.3333333333333333,2267.5
C,6.0,"(0.7, 0.8]",1,0.0,1.0,592.0
C,6.0,"(0.8, 0.9]",10,0.7,1.0,3061.5
C,6.0,"(0.9, 1.0]",101,0.9702970297029703,1.0,3935.6435643564355
E,-4.0,"(-0.001, 0.1]",0,,,
E,-4.0,"(0.1, 0.2]",0,,,
E,-4.0,"(0.2, 0.3]",0,,,
E,-4.0,"(0.3, 0.4]",0,,,
E,-4.0,"(0.4, 0.5]",0,,,
E,-4.0,"(0.5, 0.6]",0,,,
E,-4.0,"(0.6, 0.7]",0,,,
E,-4.0,"(0.7, 0.8]",0,,,
E,-4.0,"(0.8, 0.9]",0,,,
E,-4.0,"(0.9, 1.0]",1200,1.0,1.0,3999.0
E,-2.0,"(-0.001, 0.1]",0,,,
E,-2.0,"(0.1, 0.2]",0,,,
E,-2.0,"(0.2, 0.3]",0,,,
E,-2.0,"(0.3, 0.4]",0,,,
E,-2.0,"(0.4, 0.5]",0,,,
E,-2.0,"(0.5, 0.6]",0,,,
E,-2.0,"(0.6, 0.7]",0,,,
E,-2.0,"(0.7, 0.8]",0,,,
E,-2.0,"(0.8, 0.9]",0,,,
E,-2.0,"(0.9, 1.0]",1200,1.0,1.0,3999.0
E,0.0,"(-0.001, 0.1]",2,0.5,0.5,2005.0
E,0.0,"(0.1, 0.2]",1,0.0,0.0,92.0
E,0.0,"(0.2, 0.3]",0,,,
E,0.0,"(0.3, 0.4]",0,,,
E,0.0,"(0.4, 0.5]",3,0.6666666666666666,0.6666666666666666,2666.3333333333335
E,0.0,"(0.5, 0.6]",1,1.0,1.0,3999.0
E,0.0,"(0.6, 0.7]",2,1.0,1.0,3999.0
E,0.0,"(0.7, 0.8]",4,1.0,1.0,3999.0
E,0.0,"(0.8, 0.9]",6,1.0,1.0,3999.0
E,0.0,"(0.9, 1.0]",1181,1.0,1.0,3999.0
E,2.0,"(-0.001, 0.1]",322,0.08074534161490683,0.052795031055900624,185.7639751552795
E,2.0,"(0.1, 0.2]",70,0.2857142857142857,0.24285714285714285,1223.5
E,2.0,"(0.2, 0.3]",50,0.32,0.3,1460.5
E,2.0,"(0.3, 0.4]",30,0.3,0.13333333333333333,793.1666666666666
E,2.0,"(0.4, 0.5]",22,0.13636363636363635,0.13636363636363635,959.2272727272727
E,2.0,"(0.5, 0.6]",19,0.21052631578947367,0.15789473684210525,833.7368421052631
E,2.0,"(0.6, 0.7]",24,0.2916666666666667,0.25,1525.4583333333333
E,2.0,"(0.7, 0.8]",39,0.7692307692307693,1.0,3440.153846153846
E,2.0,"(0.8, 0.9]",59,0.8983050847457628,1.0,3886.6271186440677
E,2.0,"(0.9, 1.0]",565,0.9876106194690265,1.0,3979.3893805309735
E,4.0,"(-0.001, 0.1]",1079,0.020389249304911955,0.029657089898053754,57.49212233549583
E,4.0,"(0.1, 0.2]",17,0.058823529411764705,0.17647058823529413,669.8823529411765
E,4.0,"(0.2, 0.3]",9,0.2222222222222222,0.1111111111111111,584.7777777777778
E,4.0,"(0.3, 0.4]",11,0.09090909090909091,0.0,4.0
E,4.0,"(0.4, 0.5]",5,0.0,0.0,10.8
E,4.0,"(0.5, 0.6]",7,0.14285714285714285,0.0,18.857142857142858
E,4.0,"(0.6, 0.7]",8,0.25,0.125,821.75
E,4.0,"(0.7, 0.8]",4,0.75,1.0,3453.5
E,4.0,"(0.8, 0.9]",5,0.6,1.0,3034.6
E,4.0,"(0.9, 1.0]",55,0.9454545454545454,1.0,3920.4727272727273
E,6.0,"(-0.001, 0.1]",1192,0.0008389261744966443,0.0025167785234899327,1.5184563758389262
E,6.0,"(0.1, 0.2]",2,0.5,0.5,2600.0
E,6.0,"(0.2, 0.3]",0,,,
E,6.0,"(0.3, 0.4]",2,0.0,0.0,1.0
E,6.0,"(0.4, 0.5]",0,,,
E,6.0,"(0.5, 0.6]",0,,,
E,6.0,"(0.6, 0.7]",2,0.0,0.0,11.0
E,6.0,"(0.7, 0.8]",0,,,
E,6.0,"(0.8, 0.9]",0,,,
E,6.0,"(0.9, 1.0]",2,1.0,1.0,3999.0
