profile,snr_db,confidence_bin,count,success_rate,bler,fallback_rate,avg_queries
C,2.0,"(0.3, 0.4]",53,0.4339622641509434,0.6037735849056604,0.6415094339622641,2525.301886792453
C,2.0,"(0.4, 0.5]",46,0.5217391304347826,0.4782608695652174,0.5652173913043478,2290.478260869565
C,2.0,"(0.5, 0.6]",37,0.6486486486486487,0.40540540540540543,0.4594594594594595,1893.027027027027
C,2.0,"(0.6, 0.7]",51,0.803921568627451,0.23529411764705882,0.27450980392156865,1141.9411764705883
C,2.0,"(0.7, 0.8]",48,0.9583333333333334,0.0625,0.10416666666666667,323.4166666666667
C,2.0,"(0.8, 0.9]",65,0.8923076923076924,0.2,0.12307692307692308,629.5230769230769
C,2.0,"(0.9, 1.0]",112,0.9821428571428571,0.07142857142857142,0.026785714285714284,104.39285714285714
C,4.0,"(-0.001, 0.1]",137,0.0,1.0,1.0,3999.0
C,4.0,"(0.1, 0.2]",18,0.0,1.0,1.0,3999.0
C,4.0,"(0.2, 0.3]",11,0.09090909090909091,0.9090909090909091,0.9090909090909091,3635.5454545454545
C,4.0,"(0.3, 0.4]",16,0.1875,0.875,0.875,3457.625
C,4.0,"(0.4, 0.5]",19,0.3684210526315789,0.631578947368421,0.8421052631578947,3053.315789473684
C,4.0,"(0.5, 0.6]",23,0.4782608695652174,0.5217391304347826,0.7391304347826086,2621.782608695652
C,4.0,"(0.6, 0.7]",25,0.76,0.24,0.36,1260.52
C,4.0,"(0.7, 0.8]",43,0.7209302325581395,0.3023255813953488,0.4186046511627907,1407.046511627907
C,4.0,"(0.8, 0.9]",66,0.8939393939393939,0.10606060606060606,0.13636363636363635,622.8484848484849
C,4.0,"(0.9, 1.0]",842,0.9928741092636579,0.013064133016627079,0.03800475059382423,72.34441805225653
C,6.0,"(-0.001, 0.1]",60,0.0,1.0,1.0,3999.0
C,6.0,"(0.1, 0.2]",12,0.0,1.0,1.0,3999.0
C,6.0,"(0.2, 0.3]",8,0.0,1.0,1.0,3999.0
C,6.0,"(0.3, 0.4]",4,0.0,1.0,1.0,3999.0
C,6.0,"(0.4, 0.5]",12,0.16666666666666666,0.8333333333333334,1.0,3754.6666666666665
