baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
0,E,2,-4.0,baseline,28,0,1,28,2499,2499,0,95.37717999774031,95.37717999774031,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[109, 9, 49, 55, 81, 79, 54, 125, 63, 51]",[],0,0,0,0,0,0,0,0,0,E,2,-4.0,nsgrand,28,0,1,28,3999,0,3999,637.0374219841324,0.0,213.42245399137028,1,0,-1,5,0.00011422788520576432,0.9998672008514404,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,0,E,-4.0,28,1500,541.6602419863921,0,0,0
1,E,2,-4.0,baseline,24,0,1,24,2499,2499,0,55.675664014415815,55.675664014415815,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[111, 116, 72, 89, 117, 102, 92, 17, 51, 49]",[],0,0,0,0,0,0,0,0,1,E,2,-4.0,nsgrand,24,0,1,24,3999,0,3999,192.02365100500174,0.0,190.0407930079382,1,0,-1,5,0.00011371209984645247,0.999854564666748,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,1,E,-4.0,24,1500,136.34798699058592,0,0,0
2,E,2,-4.0,baseline,23,0,1,23,2499,2499,0,53.89055499108508,53.89055499108508,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[125, 100, 91, 60, 11, 49, 90, 84, 69, 41]",[],0,0,0,0,0,0,0,0,2,E,2,-4.0,nsgrand,23,0,1,23,3999,0,3999,187.03573301900178,0.0,185.402494011214,1,0,-1,5,0.00011148923658765852,0.9998672008514404,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,2,E,-4.0,23,1500,133.1451780279167,0,0,0
3,E,2,-4.0,baseline,15,0,1,15,2499,2499,0,54.304902005242184,54.304902005242184,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[16, 29, 48, 32, 100, 56, 8, 6, 61, 55]",[],0,0,0,0,0,0,0,0,3,E,2,-4.0,nsgrand,15,0,1,15,3999,0,3999,190.04297300125472,0.0,188.38534399401397,1,0,-1,5,0.00013980087533127517,0.9997918009757996,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,3,E,-4.0,15,1500,135.73807099601254,0,0,0
4,E,2,-4.0,baseline,22,0,1,22,2499,2499,0,54.44608101970516,54.44608101970516,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[77, 11, 83, 40, 18, 14, 88, 22, 21, 80]",[],0,0,0,0,0,0,0,0,4,E,2,-4.0,nsgrand,22,0,1,22,3999,0,3999,193.22780301445164,0.0,191.44863399560563,1,0,-1,5,0.000130315704154782,0.9998732805252075,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,4,E,-4.0,22,1500,138.78172199474648,0,0,0
5,E,2,-4.0,baseline,33,0,1,33,2499,2499,0,54.19800302479416,54.19800302479416,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[121, 40, 63, 35, 97, 109, 112, 23, 21, 5]",[],0,0,0,0,0,0,0,0,5,E,2,-4.0,nsgrand,33,0,1,33,3999,0,3999,189.62881600600667,0.0,187.9500059876591,1,0,-1,5,9.400478302268311e-05,0.999860405921936,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,5,E,-4.0,33,1500,135.4308129812125,0,0,0
6,E,2,-4.0,baseline,19,0,1,19,2499,2499,0,55.199775990331545,55.199775990331545,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[7, 108, 121, 61, 2, 120, 58, 50, 103, 54]",[],0,0,0,0,0,0,0,0,6,E,2,-4.0,nsgrand,19,0,1,19,3999,0,3999,194.04762698104605,0.0,192.39064800785854,1,0,-1,5,0.0001274542446481064,0.9998636245727539,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,6,E,-4.0,19,1500,138.8478509907145,0,0,0
7,E,2,-4.0,baseline,24,0,1,24,2499,2499,0,54.600250005023554,54.600250005023554,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[55, 17, 99, 31, 2, 80, 71, 89, 117, 35]",[],0,0,0,0,0,0,0,0,7,E,2,-4.0,nsgrand,24,0,1,24,3999,0,3999,199.0693160041701,0.0,197.27470699581318,1,0,-1,5,0.00011876520147779956,0.9998562335968018,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,7,E,-4.0,24,1500,144.46906599914655,0,0,0
8,E,2,-4.0,baseline,21,0,1,21,2499,2499,0,57.712590001756325,57.712590001756325,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[49, 116, 35, 94, 39, 88, 22, 85, 10, 104]",[],0,0,0,0,0,0,0,0,8,E,2,-4.0,nsgrand,21,0,1,21,3999,0,3999,198.681587993633,0.0,196.95019902428612,1,0,-1,5,0.00012356248043943197,0.9998416900634766,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,8,E,-4.0,21,1500,140.96899799187668,0,0,0
9,E,2,-4.0,baseline,29,0,1,29,2499,2499,0,55.35611600498669,55.35611600498669,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[17, 40, 23, 125, 105, 53, 37, 20, 33, 25]",[],0,0,0,0,0,0,0,0,9,E,2,-4.0,nsgrand,29,0,1,29,3999,0,3999,186.5801560052205,0.0,184.96066497755237,1,0,-1,5,0.00011192545207450166,0.9998630285263062,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,9,E,-4.0,29,1500,131.2240400002338,0,0,0
