strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
10,C,1,-2.0,strong_symbolic,12,0,1,12,3999,3999,0,167.42420103400946,167.42420103400946,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[74, 13, 88, 82, 20, 116, 25, 33, 114, 39]",[],0,0,0,0,0,0,0,0,10,C,1,-2.0,nsgrand,12,0,1,12,0,0,0,1.2831089552491903,1.2831089552491903,0.0,0,0,-1,5,0.00013680526171810925,0.9998985528945923,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,10,C,-2.0,12,strong_symbolic,nsgrand,-3999,-166.14109207876027,0,0,0
11,C,1,-2.0,strong_symbolic,22,0,1,22,3999,3999,0,168.27059304341674,168.27059304341674,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[101, 105, 96, 119, 31, 29, 98, 13, 127, 118]",[],0,0,0,0,0,0,0,0,11,C,1,-2.0,nsgrand,22,0,1,22,0,0,0,1.3480489142239094,1.3480489142239094,0.0,0,0,-1,5,4.4456111936597154e-05,0.9999750852584839,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,11,C,-2.0,22,strong_symbolic,nsgrand,-3999,-166.92254412919283,0,0,0
12,C,1,-2.0,strong_symbolic,13,0,1,13,3999,3999,0,170.1130480505526,170.1130480505526,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[33, 3, 121, 51, 82, 59, 92, 97, 60, 24]",[],0,0,0,0,0,0,0,0,12,C,1,-2.0,nsgrand,13,0,1,13,0,0,0,1.2395188678056002,1.2395188678056002,0.0,0,0,-1,5,6.716125062666833e-05,0.9999592304229736,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,12,C,-2.0,13,strong_symbolic,nsgrand,-3999,-168.873529182747,0,0,0
13,C,1,-2.0,strong_symbolic,24,0,1,24,3999,3999,0,167.77619789354503,167.77619789354503,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[83, 28, 22, 8, 73, 27, 71, 7, 3, 106]",[],0,0,0,0,0,0,0,0,13,C,1,-2.0,nsgrand,24,0,1,24,0,0,0,1.4553579967468977,1.4553579967468977,0.0,0,0,-1,5,4.482438453123905e-05,0.9999617338180542,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,13,C,-2.0,24,strong_symbolic,nsgrand,-3999,-166.32083989679813,0,0,0
14,C,1,-2.0,strong_symbolic,18,0,1,18,3999,3999,0,168.20773389190435,168.20773389190435,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[14, 52, 54, 51, 2, 22, 31, 24, 48, 125]",[],0,0,0,0,0,0,0,0,14,C,1,-2.0,nsgrand,18,0,1,18,0,0,0,1.3446689117699862,1.3446689117699862,0.0,0,0,-1,5,8.48708295961842e-05,0.9999668598175049,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,14,C,-2.0,18,strong_symbolic,nsgrand,-3999,-166.86306498013437,0,0,0
15,C,1,-2.0,strong_symbolic,17,0,1,17,3999,3999,0,169.26185507327318,169.26185507327318,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[51, 11, 80, 63, 75, 22, 57, 2, 17, 59]",[],0,0,0,0,0,0,0,0,15,C,1,-2.0,nsgrand,17,0,1,17,0,0,0,1.3033489231020212,1.3033489231020212,0.0,0,0,-1,5,6.420378485927358e-05,0.9999721050262451,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,15,C,-2.0,17,strong_symbolic,nsgrand,-3999,-167.95850615017116,0,0,0
16,C,1,-2.0,strong_symbolic,23,0,1,23,3999,3999,0,170.78763199970126,170.78763199970126,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[96, 10, 83, 85, 88, 77, 92, 91, 97, 95]",[],0,0,0,0,0,0,0,0,16,C,1,-2.0,nsgrand,23,0,1,23,0,0,0,1.2155200820416212,1.2155200820416212,0.0,0,0,-1,5,4.8194153350777924e-05,0.9999707937240601,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,16,C,-2.0,23,strong_symbolic,nsgrand,-3999,-169.57211191765964,0,0,0
17,C,1,-2.0,strong_symbolic,16,0,1,16,3999,3999,0,168.66405005566776,168.66405005566776,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[123, 81, 88, 79, 113, 41, 11, 28, 104, 78]",[],0,0,0,0,0,0,0,0,17,C,1,-2.0,nsgrand,16,0,1,16,0,0,0,1.1975998058915138,1.1975998058915138,0.0,0,0,-1,5,8.703389903530478e-05,0.9999690055847168,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,17,C,-2.0,16,strong_symbolic,nsgrand,-3999,-167.46645024977624,0,0,0
18,C,1,-2.0,strong_symbolic,15,0,1,15,3999,3999,0,165.2608490549028,165.2608490549028,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[123, 7, 35, 10, 107, 90, 13, 12, 3, 38]",[],0,0,0,0,0,0,0,0,18,C,1,-2.0,nsgrand,15,0,1,15,0,0,0,1.2381491251289845,1.2381491251289845,0.0,0,0,-1,5,9.917476563714445e-05,0.9999618530273438,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,18,C,-2.0,15,strong_symbolic,nsgrand,-3999,-164.0226999297738,0,0,0
19,C,1,-2.0,strong_symbolic,24,0,1,24,3999,3999,0,172.38405905663967,172.38405905663967,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[60, 123, 29, 81, 61, 22, 37, 36, 67, 45]",[],0,0,0,0,0,0,0,0,19,C,1,-2.0,nsgrand,24,0,1,24,0,0,0,1.3315689284354448,1.3315689284354448,0.0,0,0,-1,5,4.755019108415581e-05,0.9999682903289795,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,19,C,-2.0,24,strong_symbolic,nsgrand,-3999,-171.05249012820423,0,0,0
