profile,snr_db,num_samples,avg_query_delta,median_query_delta,avg_latency_delta_ms,target_better_rate,reference_better_rate,tied_block_error_rate,reference_decoder,target_decoder
A,-4.0,1200,-2499.0,-2499.0,-48.17061168510312,0.0,0.0,1.0,baseline,nsgrand
A,-2.0,1200,-2499.0,-2499.0,-47.914191259381674,0.0,0.0,1.0,baseline,nsgrand
A,0.0,1200,-2478.7116666666666,-2499.0,-47.2508771593372,0.005833333333333334,0.0,0.9941666666666666,baseline,nsgrand
A,2.0,1200,-2051.035,-2499.0,-30.825997643987648,0.14583333333333334,0.004166666666666667,0.85,baseline,nsgrand
A,4.0,1200,-889.2683333333333,-122.0,-23.25072354792307,0.10583333333333333,0.004166666666666667,0.89,baseline,nsgrand
A,6.0,1200,-349.8975,0.0,-16.17780289806736,0.03166666666666667,0.0016666666666666668,0.9666666666666667,baseline,nsgrand
C,-4.0,1200,-2499.0,-2499.0,-47.88151433419747,0.0,0.0,1.0,baseline,nsgrand
C,-2.0,1200,-2499.0,-2499.0,-48.527830897364765,0.0,0.0,1.0,baseline,nsgrand
C,0.0,1200,-2498.4216666666666,-2499.0,-47.57024842139799,0.008333333333333333,0.0,0.9916666666666667,baseline,nsgrand
C,2.0,1200,-1960.6783333333333,-2499.0,-28.264306717319414,0.13166666666666665,0.01,0.8583333333333333,baseline,nsgrand
C,4.0,1200,-759.815,-56.0,-19.93892100076967,0.105,0.005833333333333334,0.8891666666666667,baseline,nsgrand
C,6.0,1200,-276.94666666666666,0.0,-14.650951918641416,0.03,0.0,0.97,baseline,nsgrand
E,-4.0,1200,-2499.0,-2499.0,-47.779877566887684,0.0,0.0,1.0,baseline,nsgrand
E,-2.0,1200,-2499.0,-2499.0,-48.62941481735712,0.0,0.0,1.0,baseline,nsgrand
E,0.0,1200,-2480.7991666666667,-2499.0,-46.51830235709591,0.009166666666666667,0.0016666666666666668,0.9891666666666666,baseline,nsgrand
E,2.0,1200,-1853.8483333333334,-2498.0,-23.272911979001947,0.21,0.005833333333333334,0.7841666666666667,baseline,nsgrand
E,4.0,1200,-290.66583333333335,-9.0,-18.222164529724978,0.07666666666666666,0.005,0.9183333333333333,baseline,nsgrand
E,6.0,1200,-19.6575,0.0,-11.139674898780262,0.005,0.0016666666666666668,0.9933333333333333,baseline,nsgrand
