profile,snr_db,num_samples,avg_query_delta,median_query_delta,avg_latency_delta_ms,target_better_rate,reference_better_rate,tied_block_error_rate,reference_decoder,target_decoder
A,-4.0,1200,-3999.0,-3999.0,-167.95545474955966,0.0,0.0,1.0,strong_symbolic,nsgrand
A,-2.0,1200,-3999.0,-3999.0,-163.27691245727087,0.0,0.0,1.0,strong_symbolic,nsgrand
A,0.0,1200,-3972.1175,-3999.0,-172.86266516292622,0.005,0.0,0.995,strong_symbolic,nsgrand
A,2.0,1200,-3310.6741666666667,-3999.0,-155.56069244863465,0.12333333333333334,0.008333333333333333,0.8683333333333333,strong_symbolic,nsgrand
A,4.0,1200,-1384.2775,-127.0,-133.60579018015414,0.07583333333333334,0.01,0.9141666666666667,strong_symbolic,nsgrand
A,6.0,1200,-540.7125,0.0,-84.68780560710002,0.021666666666666667,0.0033333333333333335,0.975,strong_symbolic,nsgrand
C,-4.0,1200,-3999.0,-3999.0,-163.86803677810045,0.0,0.0,1.0,strong_symbolic,nsgrand
C,-2.0,1200,-3999.0,-3999.0,-168.30483630221957,0.0,0.0,1.0,strong_symbolic,nsgrand
C,0.0,1200,-3997.340833333333,-3999.0,-165.74560466358284,0.0075,0.0008333333333333334,0.9916666666666667,strong_symbolic,nsgrand
C,2.0,1200,-3183.741666666667,-3999.0,-152.97403517062776,0.115,0.015833333333333335,0.8691666666666666,strong_symbolic,nsgrand
C,4.0,1200,-1187.4191666666666,-63.0,-123.81014668945379,0.07666666666666666,0.009166666666666667,0.9141666666666667,strong_symbolic,nsgrand
C,6.0,1200,-428.435,0.0,-84.64742543680283,0.020833333333333332,0.0008333333333333334,0.9783333333333334,strong_symbolic,nsgrand
E,-4.0,1200,-3999.0,-3999.0,-164.5005039787308,0.0,0.0,1.0,strong_symbolic,nsgrand
E,-2.0,1200,-3999.0,-3999.0,-175.01565978338476,0.0,0.0,1.0,strong_symbolic,nsgrand
E,0.0,1200,-3971.7008333333333,-3999.0,-162.21297594505208,0.008333333333333333,0.0016666666666666668,0.99,strong_symbolic,nsgrand
E,2.0,1200,-2950.951666666667,-3998.0,-132.0422146085184,0.17833333333333334,0.0125,0.8091666666666667,strong_symbolic,nsgrand
E,4.0,1200,-407.2216666666667,-9.0,-110.35069116895708,0.04416666666666667,0.010833333333333334,0.945,strong_symbolic,nsgrand
E,6.0,1200,-26.229166666666668,0.0,-52.02469280571677,0.0033333333333333335,0.0025,0.9941666666666666,strong_symbolic,nsgrand
