profile,profile_id,snr_db,decoder,num_samples,bler,ber,avg_queries,median_queries,p95_queries,p99_queries,avg_elapsed_ms,fallback_rate,oracle_pool_hit_rate
A,0,-4.0,baseline,1200,1.0,0.2003515625,2499.0,2499.0,2499.0,2499.0,55.69290689372186,0.0,0.0
A,0,-4.0,nsgrand,1200,1.0,0.2003515625,1799.0,1799.0,1799.0,1799.0,70.34939058141997,1.0,0.0
A,0,-2.0,baseline,1200,1.0,0.14822916666666666,2499.0,2499.0,2499.0,2499.0,57.18712646436567,0.0,0.0
A,0,-2.0,nsgrand,1200,1.0,0.14822916666666666,1799.0,1799.0,1799.0,1799.0,72.45205200985463,1.0,0.005
A,0,0.0,baseline,1200,0.9991666666666666,0.09770182291666667,2498.4083333333333,2499.0,2499.0,2499.0,55.39582013623052,0.0,0.030833333333333334
A,0,0.0,nsgrand,1200,0.9908333333333333,0.09743489583333333,1780.245,1799.0,1799.0,1799.0,69.11390706174036,0.9875,0.19666666666666666
A,0,2.0,baseline,1200,0.8633333333333333,0.05527994791666667,2222.96,2499.0,2499.0,2499.0,53.992436927971234,0.0,0.37833333333333335
A,0,2.0,nsgrand,1200,0.7783333333333333,0.052747395833333335,1349.1666666666667,1799.0,1799.0,1799.0,54.19035231541784,0.7191666666666666,0.7312186978297162
A,0,4.0,baseline,1200,0.37,0.020032552083333332,1031.5933333333332,205.5,2499.0,2499.0,39.82900172942512,0.0,0.8191666666666667
A,0,4.0,nsgrand,1200,0.33,0.018821614583333333,531.2633333333333,1.0,1799.0,1799.0,22.0048461426389,0.2725,0.9436363636363636
A,0,6.0,baseline,1200,0.1375,0.007838541666666667,380.8208333333333,2.0,2499.0,2499.0,23.5043597228893,0.0,0.9275
A,0,6.0,nsgrand,1200,0.12833333333333333,0.00755859375,213.61583333333334,1.0,1799.0,1799.0,9.543343635474836,0.11416666666666667,0.9730820995962315
C,1,-4.0,baseline,1200,1.0,0.19776041666666666,2499.0,2499.0,2499.0,2499.0,55.62663990773823,0.0,0.0
C,1,-4.0,nsgrand,1200,1.0,0.19776041666666666,1799.0,1799.0,1799.0,1799.0,70.1936433952748,1.0,0.0
C,1,-2.0,baseline,1200,1.0,0.1462109375,2499.0,2499.0,2499.0,2499.0,54.56784159924913,0.0,0.0016666666666666668
C,1,-2.0,nsgrand,1200,1.0,0.1462109375,1799.0,1799.0,1799.0,1799.0,67.98170133054857,1.0,0.005833333333333334
C,1,0.0,baseline,1200,0.9983333333333333,0.09712890625,2495.2183333333332,2499.0,2499.0,2499.0,55.19811632567629,0.0,0.030833333333333334
C,1,0.0,nsgrand,1200,0.99,0.09684895833333333,1777.53,1799.0,1799.0,1799.0,68.78973698910461,0.9866666666666667,0.19166666666666668
C,1,2.0,baseline,1200,0.8608333333333333,0.05169270833333333,2221.0425,2499.0,2499.0,2499.0,52.89257172989892,0.0,0.41
C,1,2.0,nsgrand,1200,0.7658333333333334,0.048828125,1316.9258333333332,1799.0,1799.0,1799.0,51.691300716556725,0.6983333333333334,0.7393483709273183
C,1,4.0,baseline,1200,0.335,0.018372395833333333,947.0366666666666,127.5,2499.0,2499.0,39.413997046989,0.0,0.8283333333333334
C,1,4.0,nsgrand,1200,0.295,0.017220052083333333,476.45916666666665,1.0,1799.0,1799.0,20.334089480141603,0.245,0.9449954914337241
C,1,6.0,baseline,1200,0.11916666666666667,0.006712239583333333,335.51,1.0,2499.0,2499.0,22.264627809951588,0.0,0.9541666666666667
C,1,6.0,nsgrand,1200,0.11583333333333333,0.00662109375,200.19583333333333,1.0,1799.0,1799.0,8.926975256981677,0.1075,0.978386167146974
E,2,-4.0,baseline,1200,1.0,0.19072265625,2499.0,2499.0,2499.0,2499.0,54.50574513015454,0.0,0.0
E,2,-4.0,nsgrand,1200,1.0,0.19072265625,1799.0,1799.0,1799.0,1799.0,67.72978954172383,1.0,0.0
E,2,-2.0,baseline,1200,1.0,0.136015625,2499.0,2499.0,2499.0,2499.0,54.41153169645986,0.0,0.0008333333333333334
E,2,-2.0,nsgrand,1200,1.0,0.136015625,1799.0,1799.0,1799.0,1799.0,67.95700704909298,1.0,0.008333333333333333
E,2,0.0,baseline,1200,0.9983333333333333,0.08385416666666666,2495.409166666667,2499.0,2499.0,2499.0,57.25184741711322,0.0,0.041666666666666664
E,2,0.0,nsgrand,1200,0.9908333333333333,0.08358072916666667,1775.8075,1799.0,1799.0,1799.0,71.4283626232888,0.9841666666666666,0.2841666666666667
E,2,2.0,baseline,1200,0.7583333333333333,0.03634765625,2010.5825,2499.0,2499.0,2499.0,51.190540208287224,0.0,0.5554628857381151
E,2,2.0,nsgrand,1200,0.645,0.032916666666666664,1071.4725,1799.0,1799.0,1799.0,42.5400853103929,0.555,0.8558256496227996
E,2,4.0,baseline,1200,0.11416666666666667,0.004166666666666667,389.9675,18.0,2499.0,2499.0,32.46341768293254,0.0,0.9599666388657214
E,2,4.0,nsgrand,1200,0.10333333333333333,0.003841145833333333,126.56833333333333,1.0,1799.0,1799.0,7.150459295080509,0.056666666666666664,0.9970760233918129
E,2,6.0,baseline,1200,0.005,0.0001953125,19.730833333333333,0.0,17.049999999999955,178.6399999999985,13.32164996342423,0.0,0.9975
E,2,6.0,nsgrand,1200,0.005833333333333334,0.00020182291666666667,7.7875,0.0,1.0,1.0,0.9638158602562422,0.0033333333333333335,1.0
