profile,snr_db,decoder,samples,frame_errors,payload_frame_errors,fer,bler,payload_fer,ber_internal,payload_ber,avg_queries,p95_queries,rescue_rate,micro_bp_rate,main_success_rate,avg_latency_ms,crc_fail_rate,framework,num_gpus,weights_used,channel_type,modulation,perfect_csi,equalizer,avg_crc_valid_candidates,avg_parity_valid_candidates
AWGN,5.0,hybrid_bp_nsg,4000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.533905434887856,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,1.0,1.0
AWGN,5.0,bp_nms_20,4000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.56132629059721,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,5.0,bp_nms_50,4000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.5529746231623,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,6.0,hybrid_bp_nsg,4000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.48263888224028,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,1.0,1.0
AWGN,6.0,bp_nms_20,4000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.48156317358371,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
AWGN,6.0,bp_nms_50,4000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.466335395467468,0.0,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,AWGN,QPSK,True,identity,0.0,0.0
CDL_C,0.0,hybrid_bp_nsg,4000,2597,2597,0.64925,0.64925,0.64925,0.23177011986301357,0.2435146484375,4511.58625,6508.0,0.04425,0.0,0.3065,1192.6218648025533,0.64925,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.35075,4.14575
CDL_C,0.0,bp_nms_20,4000,2774,2767,0.6935,0.6935,0.69175,0.25620590753424644,0.26640625,0.0,0.0,0.0,0.0,0.3065,130.40287998330314,0.6935,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,0.0,bp_nms_50,4000,2709,2708,0.67725,0.67725,0.677,0.2550607876712326,0.2650302734375,0.0,0.0,0.0,0.0,0.32275,296.6522746438859,0.67725,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,1.0,hybrid_bp_nsg,4000,2452,2452,0.613,0.613,0.613,0.22290967465753395,0.233353515625,4256.29125,6508.0,0.04125,0.0,0.34575,1191.180162521894,0.613,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.387,4.01325
CDL_C,1.0,bp_nms_20,4000,2617,2614,0.65425,0.65425,0.6535,0.24915025684931522,0.257783203125,0.0,0.0,0.0,0.0,0.34575,123.8552911245497,0.65425,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,1.0,bp_nms_50,4000,2568,2568,0.642,0.642,0.642,0.24798758561643827,0.2564755859375,0.0,0.0,0.0,0.0,0.358,281.05882005242165,0.642,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,2.0,hybrid_bp_nsg,4000,2274,2274,0.5685,0.5685,0.5685,0.2085577910958905,0.217849609375,3947.2265,6508.0,0.0385,0.0,0.39325,1123.524557528901,0.56825,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.43175,3.746
CDL_C,2.0,bp_nms_20,4000,2427,2426,0.60675,0.60675,0.6065,0.23401712328767127,0.2414384765625,0.0,0.0,0.0,0.0,0.39325,116.10545869485941,0.60675,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,2.0,bp_nms_50,4000,2372,2372,0.593,0.593,0.593,0.23322517123287712,0.24041796875,0.0,0.0,0.0,0.0,0.407,261.67122704186477,0.593,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,3.0,hybrid_bp_nsg,4000,2108,2108,0.527,0.527,0.527,0.1953360445205479,0.2033173828125,3631.69125,6508.0,0.0315,0.0,0.44175,1009.9799536685459,0.52675,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.47325,3.5085
CDL_C,3.0,bp_nms_20,4000,2233,2231,0.55825,0.55825,0.55775,0.22010787671232834,0.226271484375,0.0,0.0,0.0,0.0,0.44175,108.85702714812942,0.55825,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,3.0,bp_nms_50,4000,2191,2191,0.54775,0.54775,0.54775,0.21944691780821934,0.2249453125,0.0,0.0,0.0,0.0,0.45225,243.23921822058037,0.54775,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,4.0,hybrid_bp_nsg,4000,2032,2032,0.508,0.508,0.508,0.19234160958904076,0.1988681640625,3516.2065,6508.0,0.0325,0.0,0.4595,1032.148361690808,0.508,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.492,3.4185
CDL_C,4.0,bp_nms_20,4000,2162,2159,0.5405,0.5405,0.53975,0.21779152397260282,0.222373046875,0.0,0.0,0.0,0.0,0.4595,105.68688088899944,0.5405,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,4.0,bp_nms_50,4000,2121,2119,0.53025,0.53025,0.52975,0.2175402397260277,0.222298828125,0.0,0.0,0.0,0.0,0.46975,235.66482178098522,0.53025,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,5.0,hybrid_bp_nsg,4000,1945,1945,0.48625,0.48625,0.48625,0.1882470034246573,0.1936640625,3394.167,6508.0,0.0355,0.0,0.47825,967.5658337560017,0.48625,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.51375,3.2725
CDL_C,5.0,bp_nms_20,4000,2087,2084,0.52175,0.52175,0.521,0.21558219178082166,0.2187197265625,0.0,0.0,0.0,0.0,0.47825,101.52804817922879,0.52175,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,5.0,bp_nms_50,4000,2047,2047,0.51175,0.51175,0.51175,0.21543749999999984,0.2182587890625,0.0,0.0,0.0,0.0,0.48825,226.8691836752696,0.51175,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,6.0,hybrid_bp_nsg,4000,1885,1885,0.47125,0.47125,0.47125,0.18188013698630115,0.1873349609375,3270.55475,6508.0,0.03175,0.0,0.49725,952.6130735966144,0.471,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.529,3.17825
CDL_C,6.0,bp_nms_20,4000,2011,2007,0.50275,0.50275,0.50175,0.20890196917808268,0.2120517578125,0.0,0.0,0.0,0.0,0.49725,97.93562515021767,0.50275,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
CDL_C,6.0,bp_nms_50,4000,1972,1972,0.493,0.493,0.493,0.20826541095890436,0.2113720703125,0.0,0.0,0.0,0.0,0.507,218.744650388835,0.493,tensorflow,1,outputs/hybrid_bp_nsg_v14_pusch_cdl_full/checkpoints/rescue_net_tf.best.weights.h5,SIONNA_CDL_C_SURROGATE,QPSK,True,one_tap_perfect_csi,0.0,0.0
